split,dimension,segment,trade_count,net_profit,gross_profit,gross_loss,profit_factor,win_rate_percent,expectancy,avg_hold_bars,avg_mae,avg_mfe,avg_realized_over_mfe,net_profit_share_of_split
oos,state_score_band,state_score_high_positive,51,62.65,342.07,279.42,1.224214,54.901961,1.228431,273.72549,11.870529,12.637333,-1.626443,1.0
oos,confidence_band,confidence_ge_0.97,51,62.65,342.07,279.42,1.224214,54.901961,1.228431,273.72549,11.870529,12.637333,-1.626443,1.0
oos,entropy_inv_band,entropy_inv_ge_0.80,51,62.65,342.07,279.42,1.224214,54.901961,1.228431,273.72549,11.870529,12.637333,-1.626443,1.0
oos,p_long_band,p_long_0.90_0.95,51,62.65,342.07,279.42,1.224214,54.901961,1.228431,273.72549,11.870529,12.637333,-1.626443,1.0
oos,session_slice,early,13,26.53,59.83,33.3,1.796697,61.538462,2.040769,195.692308,8.340154,9.493,-2.004047,0.423464
oos,session_slice,late,16,98.08,200.71,102.63,1.955666,56.25,6.13,406.9375,13.71275,19.143938,-1.952247,1.565523
oos,session_slice,mid,22,-61.96,81.53,143.49,0.568193,50.0,-2.816364,222.954545,12.616864,9.763273,-1.166365,-0.988986
oos,month,2025-10,12,75.35,124.14,48.79,2.544374,66.666667,6.279167,278.166667,7.437833,16.829333,-0.612413,1.202713
oos,month,2025-11,3,24.48,54.08,29.6,1.827027,66.666667,8.16,734.0,20.323,23.265,-0.414283,0.390742
oos,month,2025-12,11,-23.6,25.17,48.77,0.516096,36.363636,-2.145455,296.363636,11.228545,7.464727,-3.666818,-0.376696
oos,month,2026-01,11,-12.27,40.78,53.05,0.768709,63.636364,-1.115455,210.181818,12.43,9.522273,-1.482408,-0.19585
oos,month,2026-02,2,44.08,44.08,0.0,,100.0,22.04,560.5,10.285,27.9525,0.763311,0.703591
oos,month,2026-03,7,-52.18,26.31,78.49,0.335202,42.857143,-7.454286,118.0,16.681429,11.165714,-2.457505,-0.832881
oos,month,2026-04,5,6.79,27.51,20.72,1.327703,40.0,1.358,180.2,11.518,10.367,-0.407879,0.10838
oos,hold_bucket,hold_0_12,8,-47.27,8.71,55.98,0.155591,25.0,-5.90875,12.0,12.162875,4.08725,-5.976351,-0.754509
oos,hold_bucket,hold_13_96,16,20.33,63.37,43.04,1.472351,62.5,1.270625,22.5625,5.989375,6.693437,-0.667605,0.324501
oos,hold_bucket,hold_gt_96,27,89.59,269.99,180.4,1.496619,59.259259,3.318148,500.111111,15.269037,18.693,-0.905782,1.430008
oos,volatility_regime,vol_high,7,-33.69,7.05,40.74,0.173049,28.571429,-4.812857,59.571429,11.257,5.004143,-3.658434,-0.537749
oos,volatility_regime,vol_low,31,18.35,209.34,190.99,1.096078,51.612903,0.591935,287.290323,12.114613,12.085645,-1.921193,0.292897
oos,volatility_regime,vol_mid,13,77.99,125.68,47.69,2.635353,76.923077,5.999231,356.692308,11.618846,18.063077,0.170572,1.244852
oos,trend_regime,downtrend,32,44.79,192.98,148.19,1.302247,59.375,1.399687,216.875,11.653969,11.762344,-1.393649,0.714924
oos,trend_regime,range_or_weak_trend,19,17.86,149.09,131.23,1.136097,47.368421,0.94,369.473684,12.235263,14.111,-2.018517,0.285076
oos,adx_bucket,adx_20_25,14,13.49,117.88,104.39,1.129227,57.142857,0.963571,179.428571,15.346214,13.453071,-2.294775,0.215323
oos,adx_bucket,adx_gt25,18,31.3,75.1,43.8,1.714612,61.111111,1.738889,246.0,8.782222,10.447333,-0.692774,0.499601
oos,adx_bucket,adx_lt20,19,17.86,149.09,131.23,1.136097,47.368421,0.94,369.473684,12.235263,14.111,-2.018517,0.285076
validation,state_score_band,state_score_high_positive,77,208.01,477.64,269.63,1.771465,57.142857,2.701429,270.0,8.703364,10.832896,-14.319371,1.0
validation,confidence_band,confidence_0.90_0.97,1,-1.9,0.0,1.9,0.0,0.0,-1.9,244.0,15.513,5.352,-0.355007,-0.009134
validation,confidence_band,confidence_ge_0.97,76,209.91,477.64,267.73,1.784036,57.894737,2.761974,270.342105,8.613763,10.905013,-14.503112,1.009134
validation,entropy_inv_band,entropy_inv_ge_0.80,77,208.01,477.64,269.63,1.771465,57.142857,2.701429,270.0,8.703364,10.832896,-14.319371,1.0
validation,p_long_band,p_long_0.90_0.95,77,208.01,477.64,269.63,1.771465,57.142857,2.701429,270.0,8.703364,10.832896,-14.319371,1.0
validation,session_slice,early,22,27.81,117.36,89.55,1.310553,54.545455,1.264091,207.727273,7.238455,9.2825,-36.914402,0.133695
validation,session_slice,late,23,62.26,159.18,96.92,1.642385,56.521739,2.706957,340.695652,12.509043,12.206783,-0.761174,0.299313
validation,session_slice,mid,32,117.94,201.1,83.16,2.41823,59.375,3.685625,262.0,6.975156,10.911312,-8.530241,0.566992
validation,month,2025-01,6,38.82,81.11,42.29,1.917948,50.0,6.47,265.5,11.0535,15.601167,-43.391589,0.186626
validation,month,2025-02,7,-7.6,19.96,27.56,0.724238,42.857143,-1.085714,91.285714,7.182429,5.461857,-3.756471,-0.036537
validation,month,2025-03,3,-12.13,3.82,15.95,0.239498,33.333333,-4.043333,173.666667,13.336667,7.036,-0.389711,-0.058315
validation,month,2025-04,1,9.72,9.72,0.0,,100.0,9.72,11.0,1.445,10.105,0.9619,0.046729
validation,month,2025-05,9,48.79,78.02,29.23,2.669176,66.666667,5.421111,254.888889,9.851333,14.440889,-80.458048,0.234556
validation,month,2025-06,14,23.1,67.88,44.78,1.515855,50.0,1.65,295.928571,11.382429,10.174143,-1.328384,0.111052
validation,month,2025-07,15,46.91,74.72,27.81,2.686803,66.666667,3.127333,305.266667,6.451867,10.188667,-2.759275,0.225518
validation,month,2025-08,8,-18.47,32.09,50.56,0.634691,37.5,-2.30875,314.25,10.33775,7.971875,-2.236424,-0.088794
validation,month,2025-09,14,78.87,110.32,31.45,3.50779,71.428571,5.633571,321.142857,6.043571,13.004929,-0.981369,0.379164
validation,hold_bucket,hold_0_12,17,10.63,46.46,35.83,1.296679,58.823529,0.625294,10.941176,5.778824,4.507118,-44.118519,0.051103
validation,hold_bucket,hold_13_96,19,-57.97,32.35,90.32,0.358171,42.105263,-3.051053,23.052632,6.929105,4.440526,-17.22718,-0.278689
validation,hold_bucket,hold_gt_96,41,255.35,398.83,143.48,2.779691,63.414634,6.228049,491.853659,10.738195,16.418098,-0.616105,1.227585
validation,volatility_regime,vol_high,5,34.64,34.64,0.0,,100.0,6.928,115.0,3.7898,9.5962,0.611887,0.16653
validation,volatility_regime,vol_low,51,30.48,247.77,217.29,1.140273,54.901961,0.597647,289.45098,9.885647,9.70198,-7.059395,0.146531
