entry_month,side,segment_trade_count,segment_trade_per_business_day,segment_net_profit,segment_profit_factor,segment_expectancy,segment_max_drawdown,segment_recovery_factor,segment_long_count,segment_short_count,segment_long_short_balance,segment_business_days,run_id,claim_boundary
2025-01,long,81,3.6818181818,21.479,1.0996474136,0.2651728395,-61.473,0.34940543,81,0,0.0,22,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-01,short,9,0.4090909091,7.337,1.2004699582,0.8152222222,-27.037,0.2713688649,0,9,0.0,22,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-02,long,64,3.2,5.381,1.0330317242,0.084078125,-60.23,0.08934086,64,0,0.0,20,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-02,short,14,0.875,30.557,1.6847507003,2.1826428571,-23.188,1.3177936864,0,14,0.0,16,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-03,short,8,0.4705882353,-8.436,0.5733791848,-1.0545,-10.162,-0.830151545,0,8,0.0,17,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-04,long,108,4.9090909091,268.228,1.5947432139,2.4835925926,-66.838,4.0131063168,108,0,0.0,22,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-04,short,17,0.85,10.202,1.1243433642,0.6001176471,-28.74,0.3549756437,0,17,0.0,20,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-05,long,73,3.3181818182,76.335,1.7171645998,1.0456849315,-24.601,3.1029226454,73,0,0.0,22,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-05,short,7,0.3888888889,-19.863,0.3303779119,-2.8375714286,-19.863,-1.0,0,7,0.0,18,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-06,long,68,3.2380952381,79.198,1.8120956082,1.1646764706,-21.611,3.6647077877,68,0,0.0,21,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-06,short,1,1.0,-5.563,0.0,-5.563,-5.563,-1.0,0,1,0.0,1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-07,long,37,1.6086956522,-24.465,0.7269927354,-0.6612162162,-36.46,-0.6710093253,37,0,0.0,23,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-07,short,3,0.375,-9.037,0.293984375,-3.0123333333,-12.8,-0.706015625,0,3,0.0,8,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-08,long,46,2.3,-5.53,0.9558169078,-0.1202173913,-30.696,-0.180153766,46,0,0.0,20,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-08,short,6,0.2857142857,-1.764,0.9292305223,-0.294,-14.401,-0.1224914936,0,6,0.0,21,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-09,long,52,2.4761904762,28.059,1.2724121862,0.5395961538,-24.075,1.165482866,52,0,0.0,21,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-09,short,3,0.1666666667,-23.864,0.0,-7.9546666667,-23.864,-1.0,0,3,0.0,18,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-10,long,73,3.1739130435,-15.476,0.9217751719,-0.212,-72.273,-0.2141325253,73,0,0.0,23,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-10,short,9,0.4285714286,2.242,1.0498133665,0.2491111111,-33.171,0.0675891592,0,9,0.0,21,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-11,long,73,4.0555555556,169.266,1.7742652608,2.3187123288,-56.336,3.0045796649,73,0,0.0,18,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-11,short,16,1.1428571429,50.774,2.091890497,3.173375,-22.362,2.2705482515,0,16,0.0,14,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-12,long,64,2.9090909091,-83.865,0.602128245,-1.310390625,-124.954,-0.6711669895,64,0,0.0,22,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2025-12,short,5,1.0,0.225,1.0097826087,0.045,-14.35,0.0156794425,0,5,0.0,5,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-01,long,79,3.7619047619,43.275,1.2800064704,0.5477848101,-47.06,0.9195707607,79,0,0.0,21,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-01,short,8,0.4,10.415,1.3085925926,1.301875,-19.65,0.5300254453,0,8,0.0,20,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-02,long,81,4.05,100.682,1.5318422888,1.2429876543,-37.01,2.7203998919,81,0,0.0,20,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-02,short,12,0.6666666667,64.05,4.0427553444,5.3375,-11.45,5.5938864629,0,12,0.0,18,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-03,long,96,4.3636363636,104.67,1.434144217,1.0903125,-92.165,1.1356805729,96,0,0.0,22,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-03,short,9,0.5,-13.525,0.3657678781,-1.5027777778,-13.525,-1.0,0,9,0.0,18,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
2026-04,long,46,5.1111111111,-2.325,0.980325788,-0.0505434783,-72.14,-0.0322289992,46,0,0.0,9,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
