run_id,reference_run_id,selected_variant_id,metric_id,reference_value,selected_value,delta_selected_minus_reference,claim_boundary
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,combined_net_profit,840.055,858.662,18.607,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,combined_profit_factor,1.2739357721,1.2724135667,-0.0015222054,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,combined_trade_count,1001,1168,167.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,combined_trade_per_business_day,3.006006006,3.5075075075,0.5015015015,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,combined_expectancy,0.8392157842,0.7351558219,-0.1040599623,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,combined_max_drawdown,-142.323,-168.999,-26.676,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,combined_recovery_factor,5.9024542765,5.080870301,-0.8215839755,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,combined_long_count,882,1041,159.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,combined_short_count,119,127,8.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,combined_long_short_balance,0.1349206349,0.1219980788,-0.0129225561,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
