run_id,queue_id,variant_id,source_signal_count,candidate_signal_count,march_source_signal_count,march_block_count,march_restore_count,budget_limited_restore_count,entry_margin_floor_filtered_count,bridge_final_signal_count,session_side_blocked_count,core_signal_count,premarket_signal_count,late_signal_count,final_signal_count_after_session,trade_count,claim_boundary
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,control_replay_density_anchor(대조 재생 밀도 기준점),control_replay_density_anchor_대조_재생_밀도_기준점__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold8,5071,5071,435,423,12,0,0,4648,0,4059,565,24,4648,1001,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_core_short_restore_budget_010(PF통과 핵심 숏 0.10 복원),pfpass_core_short_restore_budget_010_PF통과_핵심_숏_0_10_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,4802,4802,399,399,0,0,0,4403,2,3866,511,24,4401,887,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_core_short_restore_budget_020(PF통과 핵심 숏 0.20 복원),pfpass_core_short_restore_budget_020_PF통과_핵심_숏_0_20_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_49__floor0_02__hold8,4821,4821,401,399,1,1,3002,1420,5,1224,189,2,1415,366,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_late_long_density_patch(PF통과 후반 롱 밀도 패치),pfpass_late_long_density_patch_PF통과_후반_롱_밀도_패치__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,4802,4802,399,397,2,2,0,4405,2,3866,511,26,4403,889,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_non_drag_session_restore(PF통과 비끌림 세션 복원),pfpass_non_drag_session_restore_PF통과_비끌림_세션_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_01__hold8,4802,4802,399,355,44,44,1894,2553,2,2214,327,10,2551,584,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,density_anchor_pf_floor_012(밀도 기준 PF 하한 0.12),density_anchor_pf_floor_012_밀도_기준_PF_하한_0_12__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_12__hold8,5071,5071,435,428,7,0,4559,84,0,75,9,0,84,39,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,density_anchor_hold6_pf_probe(밀도 기준 보유6 PF 탐침),density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,5071,5071,435,423,12,0,0,4648,0,4059,565,24,4648,1168,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,dd_seed_density_restore_core_late(낙폭 씨앗 핵심후반 밀도 복원),dd_seed_density_restore_core_late_낙폭_씨앗_핵심후반_밀도_복원__seed_pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원_ps0_5_floor0_0_hold8__ps0_45__floor0_00__hold8,5071,5071,435,375,54,54,0,4696,571,4101,0,24,4125,926,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_validation_balance_patch(PF통과 검증 균형 패치),pfpass_validation_balance_patch_PF통과_검증_균형_패치__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_01__hold8,4802,4802,399,399,0,0,1893,2510,0,2171,329,10,2510,569,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_month_pocket_observation(PF통과 월 포켓 관찰),pfpass_month_pocket_observation_PF통과_월_포켓_관찰__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,4802,4802,399,399,0,0,0,4403,0,3866,513,24,4403,890,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,density_anchor_short0455_edge(밀도 기준 숏0.455 경계),density_anchor_short0455_edge_밀도_기준_숏0_455_경계__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_455__floor0_00__hold8,5020,5020,426,416,10,0,0,4604,44,4025,511,24,4560,967,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_guardrail_no_trade_split(PF통과 거래쪼개기 금지 가드),pfpass_guardrail_no_trade_split_PF통과_거래쪼개기_금지_가드__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,4802,4802,399,399,0,0,0,4403,2,3866,511,24,4401,887,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
