run_number,run_id,topic_read,axis,split,max_hold_bars,record_view,net_profit,profit_factor,trade_count,win_rate_percent,max_drawdown_amount
run13N,run13N_ebm_q90_hold4_top5_mask_probe_v1,q90_hold4_top5_feature_mask_runtime,feature_mask,validation,4,routed_total,174.76,1.25,243,50.21,144.81
run13N,run13N_ebm_q90_hold4_top5_mask_probe_v1,q90_hold4_top5_feature_mask_runtime,feature_mask,oos,4,routed_total,-90.4,0.79,141,47.52,147.19
run13O,run13O_ebm_q90_hold2_probe_v1,q90_hold2_trade_shape_stress,hold,validation,2,routed_total,69.53,1.06,498,51.41,295.93
run13O,run13O_ebm_q90_hold2_probe_v1,q90_hold2_trade_shape_stress,hold,oos,2,routed_total,25.69,1.03,383,54.57,104.71
run13P,run13P_ebm_q90_hold3_probe_v1,q90_hold3_trade_shape_stress,hold,validation,3,routed_total,-95.92,0.92,423,50.35,326.75
run13P,run13P_ebm_q90_hold3_probe_v1,q90_hold3_trade_shape_stress,hold,oos,3,routed_total,-125.87,0.87,327,49.24,182.56
run13Q,run13Q_ebm_q90_hold5_probe_v1,q90_hold5_trade_shape_stress,hold,validation,5,routed_total,-163.98,0.88,336,45.54,436.29
run13Q,run13Q_ebm_q90_hold5_probe_v1,q90_hold5_trade_shape_stress,hold,oos,5,routed_total,0.7,1,271,48.71,216.59
run13R,run13R_ebm_q90_hold4_mixed_subtype_fallback_probe_v1,q90_hold4_b_mixed_partial_context_fallback_only_filter,subtype_filter,validation,4,routed_total,-115.97,0.92,366,49.18,350.12
run13R,run13R_ebm_q90_hold4_mixed_subtype_fallback_probe_v1,q90_hold4_b_mixed_partial_context_fallback_only_filter,subtype_filter,oos,4,routed_total,143.94,1.18,287,54.7,83.67
run13S,run13S_ebm_q90_hold4_direction_probe_v1,q90_hold4_long_short_direction_asymmetry,side,validation,4,long_only,195.2,1.23,248,56.85,148.38
run13S,run13S_ebm_q90_hold4_direction_probe_v1,q90_hold4_long_short_direction_asymmetry,side,validation,4,short_only,-270.39,0.48,126,36.51,280.54
run13S,run13S_ebm_q90_hold4_direction_probe_v1,q90_hold4_long_short_direction_asymmetry,side,oos,4,long_only,68.64,1.13,190,54.74,76.27
run13S,run13S_ebm_q90_hold4_direction_probe_v1,q90_hold4_long_short_direction_asymmetry,side,oos,4,short_only,-27.16,0.92,105,50.48,115.01
run13I,run13I_ebm_q90_hold4_probe_v1,q90_hold4_trade_shape_stress,hold,validation,4,routed_total,-107.72,0.92,372,49.73,346.66
run13I,run13I_ebm_q90_hold4_probe_v1,q90_hold4_trade_shape_stress,hold,oos,4,routed_total,134.3,1.17,292,54.45,84.07
run13F,run13F_ebm_q90_hold6_probe_v1,q90_hold6_trade_shape_stress,hold,validation,6,routed_total,-188.66,0.85,306,47.06,460.42
run13F,run13F_ebm_q90_hold6_probe_v1,q90_hold6_trade_shape_stress,hold,oos,6,routed_total,39.65,1.04,253,52.17,172.4
