axis,comparison,split,baseline_run,candidate_run,baseline_net_profit,candidate_net_profit,delta_net_profit,baseline_profit_factor,candidate_profit_factor,baseline_trade_count,candidate_trade_count,read
feature_mask,top5_mask_vs_base_hold4,validation,run13I,run13N,-107.72,174.76,282.48,0.92,1.25,372,243,feature_mask_runtime_dependency
feature_mask,top5_mask_vs_base_hold4,oos,run13I,run13N,134.3,-90.4,-224.7,1.17,0.79,292,141,feature_mask_runtime_dependency
tier_b_subtype,mixed_subtype_filter_vs_base_hold4,validation,run13I,run13R,-107.72,-115.97,-8.25,0.92,0.92,372,366,subtype_filter_runtime_dependency
tier_b_subtype,mixed_subtype_filter_vs_base_hold4,oos,run13I,run13R,134.3,143.94,9.64,1.17,1.18,292,287,subtype_filter_runtime_dependency
