artifact_slug,candidate_id,gap_level,pressure_score,pressure_level,pressure_flags,train_signal_proxy_mean,validation_signal_proxy_mean,oos_signal_proxy_mean,session_mt5_net,session_mt5_pf,cost_1_pf,worst_third_net,raw_session_signal_per_day_ratio,exclusive_raw_signal_rate,claim_effect
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,low,4,medium,raw_session_gap_within_review_band;train_validation_proxy_return_sign_flip;fails_plus1_cost_stress;negative_curve_pocket_exists,0.0005662644,-0.0006533169,0.0001164884,43.24,1.15,0.917077,-34.53,1.0498812352,0.0747330961,forward positive evidence is kept as research-only if pressure is medium/high
c56_plain,core56_no_top3_weight_features__l2_plain_c025,low,2,low,raw_session_gap_within_review_band;train_validation_proxy_return_sign_flip;negative_curve_pocket_exists,0.0005160793,-0.0003748959,0.0001494296,165.66,1.87,1.432225,-31.86,1.0296610169,0.0498220641,forward positive evidence is kept as research-only if pressure is medium/high
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,high,8,high,raw_signal_density_explodes_vs_session;raw_row_supply_materially_above_session;exclusive_raw_rows_are_signal_dense;side_mix_shifts_between_raw_and_session;train_validation_proxy_return_sign_flip,0.0005530657,-0.0005975739,0.0001498859,116.19,1.5,1.172244,5.44,5.682038835,0.5220568336,forward positive evidence is kept as research-only if pressure is medium/high
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,high,8,high,raw_signal_density_explodes_vs_session;raw_row_supply_materially_above_session;exclusive_raw_rows_are_signal_dense;train_validation_proxy_return_sign_flip;negative_curve_pocket_exists,0.0004941247,-0.0003024829,0.0001401045,173.42,1.98,1.512868,-2.75,5.5938864629,0.5694181326,forward positive evidence is kept as research-only if pressure is medium/high
u42_bal,us100_technical42_no_external__l2_balanced_c025,high,13,high,raw_signal_density_explodes_vs_session;raw_row_supply_materially_above_session;exclusive_raw_rows_are_signal_dense;side_mix_shifts_between_raw_and_session;train_validation_proxy_return_sign_flip;fails_plus1_cost_stress;negative_curve_pocket_exists;session_mt5_pf_near_flat,0.0004483882,-0.0005493573,0.00025519,3.99,1.01,0.807904,-48.85,6.4033487709,0.4704446382,forward positive evidence is kept as research-only if pressure is medium/high
u42_plain,us100_technical42_no_external__l2_plain_c025,high,8,high,raw_signal_density_explodes_vs_session;raw_row_supply_materially_above_session;exclusive_raw_rows_are_signal_dense;train_validation_proxy_return_sign_flip;negative_curve_pocket_exists,0.0005077857,-0.0001998379,0.0002942737,120.78,1.54,1.192883,-43.54,5.889478556,0.4931124673,forward positive evidence is kept as research-only if pressure is medium/high
