adapter_id,split,atr_enabled,model_risk_enabled,max_model_risk_pct,max_actual_risk_pct_after_floor,risk_floor_applied_count,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,risk_cap_5pct_ok,floor_inflation_observed
s248_cap0305_reference,validation_is,True,True,0.0305,0.0304804771,0,3634.39774,7386.913407,16772.74557,mid,yes,no
s248_cap0305_reference,oos,True,True,0.0305,0.0303111449,0,3903.364499,7933.588343,18014.02716,mid,yes,no
s248_short055,validation_is,True,True,0.0305,0.0304804771,0,3634.39774,7386.913407,16772.74557,mid,yes,no
s248_short055,oos,True,True,0.0305,0.0303111449,0,3903.364499,7933.588343,18014.02716,mid,yes,no
s248_short056,validation_is,True,True,0.0305,0.0304804771,0,3634.39774,7386.913407,16772.74557,mid,yes,no
s248_short056,oos,True,True,0.0305,0.0303111449,0,3903.364499,7933.588343,18014.02716,mid,yes,no
s248_long053,validation_is,True,True,0.0305,0.0304804771,0,3634.39774,7386.913407,16772.74557,mid,yes,no
s248_long053,oos,True,True,0.0305,0.0303111449,0,3903.364499,7933.588343,18014.02716,mid,yes,no
s248_balanced055_053,validation_is,True,True,0.0305,0.0304804771,0,3634.39774,7386.913407,16772.74557,mid,yes,no
s248_balanced055_053,oos,True,True,0.0305,0.0303111449,0,3903.364499,7933.588343,18014.02716,mid,yes,no
