attempt_name,split,tester_status,tester_returncode,runtime_status,runtime_wait_status,report_status,model_ok_count,feature_ready_count,mt5_long_count,mt5_short_count,mt5_flat_count,mt5_order_attempt_count,mt5_order_fill_count,expected_rows,expected_signal_count,expected_long_count,expected_short_count,expected_flat_count,expected_veto_count,signal_count_diff,long_count_diff,short_count_diff,feature_ready_diff,net_profit,profit_factor,trade_count,max_drawdown_percent,recovery_factor,blocker
frontier17c_tier_a_validation_is,validation_is,completed,0,completed,completed,completed,9844,9844,415,312,52081,604,604,9844,727,415,312,9117,2196,0,0,0,0,187.75,1.13,317,35.45,0.58,
frontier17c_tier_a_oos,oos,completed,0,completed,completed,completed,7584,7584,411,256,36670,492,492,7584,667,411,256,6917,1737,0,0,0,0,-93.87,0.92,254,47.5,-0.29,
