attempt_name,split,rows,days_in_scope,decision_mode,signal_count,long_count,short_count,flat_count,raw_signal_count,runtime_veto_count,blocked_pred_trade_count,expected_density_per_day,probability_row_sum_max_abs_error,effect
frontier17c_tier_a_validation_is,validation_is,9844,183,argmax_probe_plus_runtime_veto_tape,727,415,312,9117,759,2196,32,3.9726775956284155,2.220446049250313e-16,Python expected signal counts(파이썬 예상 신호 수)를 MT5 summary(MT5 요약)와 비교합니다.
frontier17c_tier_a_oos,oos,7584,131,argmax_probe_plus_runtime_veto_tape,667,411,256,6917,680,1737,13,5.091603053435114,2.220446049250313e-16,Python expected signal counts(파이썬 예상 신호 수)를 MT5 summary(MT5 요약)와 비교합니다.
