run_id,adapter_id,split,max_drawdown_amount,max_drawdown_percent,drawdown_peak_index,drawdown_trough_index,drawdown_peak_time,drawdown_trough_time,recovered,recovery_index,recovery_time,recovery_trades,max_underwater_trades,final_balance_is_new_high,drawdown_flag
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_short_tight_control,validation_is,141.12,9.0087,263,280,2025.08.15 16:50:00,2025.09.03 16:50:00,True,295,2025.09.24 16:55:00,15,32,False,dd_measurement_only
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_short_tight_control,oos,139.49,11.8815,143,158,2026.02.12 22:50:07,2026.02.24 16:38:51,True,181,2026.03.13 10:06:57,23,37,False,dd_measurement_only
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_lowedge,validation_is,126.98,9.8955,233,260,2025.08.01 16:50:00,2025.09.02 17:45:00,True,272,2025.09.23 16:41:55,12,38,False,dd_measurement_only
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_lowedge,oos,127.78,11.827,133,148,2026.02.12 22:50:07,2026.02.24 16:38:51,True,171,2026.03.13 10:06:57,23,37,False,dd_measurement_only
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_highedge,validation_is,151.52,9.0307,251,268,2025.08.15 16:50:00,2025.09.03 16:50:00,True,282,2025.09.24 16:55:00,14,30,False,dd_measurement_only
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_highedge,oos,103.92,9.5478,133,146,2026.02.12 22:50:07,2026.02.24 16:38:51,True,165,2026.03.09 17:45:00,19,31,False,dd_measurement_only
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_lowedge_only,validation_is,129.08,13.9439,267,296,2025.08.01 16:50:00,2025.08.26 16:41:55,True,319,2025.09.23 16:41:55,23,84,False,dd_above_34d
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_lowedge_only,oos,181.54,15.7251,165,197,2026.02.12 22:50:07,2026.03.05 22:22:10,True,213,2026.03.19 20:30:00,16,56,False,dd_above_34d
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_highedge_only,validation_is,141.89,11.911,293,302,2025.08.20 16:46:58,2025.08.26 16:41:55,True,328,2025.09.23 16:41:55,26,82,False,dd_measurement_only
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_highedge_only,oos,203.63,22.8172,72,110,2025.11.25 16:43:38,2026.01.06 16:45:28,True,134,2026.01.26 17:30:00,24,61,False,dd_above_34d
