run_id,adapter_id,split,top1_winner,top1_winner_share_of_net,top3_winner_share_of_net,top5_winner_share_of_net,worst_loss,worst_loss_share_of_net_abs,last_quarter_net,last_quarter_net_share
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_short_tight_control,validation_is,88.45,0.0847,0.2465,0.3966,-52.13,0.0499,396.09,0.3794
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_short_tight_control,oos,94.16,0.0991,0.2714,0.4193,-37.85,0.0398,367.81,0.3871
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_lowedge,validation_is,80.99,0.0993,0.2715,0.4329,-42.35,0.0519,325.33,0.399
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_lowedge,oos,88.09,0.0986,0.2669,0.4118,-35.56,0.0398,396.41,0.4439
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_highedge,validation_is,97.3,0.0808,0.2313,0.3735,-55.39,0.046,439.69,0.3651
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_highedge,oos,83.57,0.1008,0.2659,0.4152,-34.2,0.0413,291.52,0.3517
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_lowedge_only,validation_is,80.99,0.1857,0.422,0.6395,-35.84,0.0822,184.22,0.4225
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_lowedge_only,oos,89.1,0.1001,0.2748,0.4239,-35.9,0.0403,368.42,0.414
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_highedge_only,validation_is,87.22,0.1234,0.3148,0.4921,-48.88,0.0691,208.01,0.2942
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_highedge_only,oos,85.42,0.1021,0.271,0.4232,-34.41,0.0411,282.16,0.3373
