run_id,adapter_id,split,status,report_path,initial_balance,final_balance,net_profit,closed_trade_count,profit_factor,legacy_34d_pf,legacy_34d_dd_percent,max_drawdown_amount,max_drawdown_percent,report_balance_drawdown_maximal,report_equity_drawdown_maximal,report_balance_drawdown_relative,report_equity_drawdown_relative,late_net_share,weak_segments,split_quality_flag
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_short_tight_control,validation_is,completed,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_short_tight_control_rt_val.htm,500,1543.99,1043.99,304,1.475804,1.583157,12.909136,141.12,9.0087,141.12 (9.01%),150.93 (9.60%),12.76% (89.25),12.98% (91.00),0.4206,early;mid;late,validation_segment_pf_below_34d
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_short_tight_control,oos,completed,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_short_tight_control_rt_oos.htm,500,1450.22,950.22,222,1.690908,1.583157,12.909136,139.49,11.8815,139.49 (11.88%),153.31 (13.01%),13.81% (80.64),15.78% (93.26),0.3521,late,acceptable_measurement_only
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_lowedge,validation_is,completed,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_tight_plus_lowedge_rt_val.htm,500,1315.42,815.42,282,1.483432,1.583157,12.909136,126.98,9.8955,126.98 (9.90%),163.55 (12.43%),13.00% (123.62),14.08% (134.68),0.4688,early;mid;late,validation_segment_pf_below_34d
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_lowedge,oos,completed,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_tight_plus_lowedge_rt_oos.htm,500,1392.99,892.99,209,1.756752,1.583157,12.909136,127.78,11.827,127.78 (11.83%),140.38 (12.94%),12.01% (67.92),14.01% (80.05),0.4331,,acceptable_measurement_only
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_highedge,validation_is,completed,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_tight_plus_highedge_rt_val.htm,500,1704.24,1204.24,291,1.557224,1.583157,12.909136,151.52,9.0307,151.52 (9.03%),166.17 (9.10%),12.79% (97.07),13.01% (98.95),0.4191,mid;late,validation_segment_pf_below_34d
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_tight_plus_highedge,oos,completed,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_tight_plus_highedge_rt_oos.htm,500,1328.96,828.96,208,1.704455,1.583157,12.909136,103.92,9.5478,103.92 (9.55%),117.12 (10.72%),13.90% (82.18),15.85% (94.80),0.3481,late,acceptable_measurement_only
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_lowedge_only,validation_is,completed,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_lowedge_only_rt_val.htm,500,936.04,436.04,331,1.23392,1.583157,12.909136,129.08,13.9439,129.08 (13.94%),154.38 (16.26%),16.57% (110.76),17.67% (119.61),0.4498,early;mid;late,validation_dd_above_34d;validation_segment_pf_below_34d
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_lowedge_only,oos,completed,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_lowedge_only_rt_oos.htm,500,1389.95,889.95,244,1.554783,1.583157,12.909136,181.54,15.7251,181.54 (15.73%),191.15 (16.49%),16.69% (139.70),18.03% (153.00),0.36,late,oos_pf_below_34d;oos_dd_above_34d
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_highedge_only,validation_is,completed,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_highedge_only_rt_val.htm,500,1207.04,707.04,340,1.300803,1.583157,12.909136,141.89,11.911,141.89 (11.91%),152.46 (17.91%),14.20% (116.36),17.91% (152.46),0.4157,early;mid;late,validation_segment_pf_below_34d
run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1,s258_highedge_only,oos,completed,stages/258_adapter_research__short_tight_margin_pf_repair_after_stage256_tradeoff/02_runs/run258A/mt5/reports/Project_Obsidian_Prime_v2_run258A_stage258_short_tight_margin_pf_repair_after_stage256_tradeoff_v1_s258_highedge_only_rt_oos.htm,500,1336.62,836.62,243,1.52015,1.583157,12.909136,203.63,22.8172,203.63 (22.82%),221.54 (24.47%),22.82% (203.63),24.47% (221.54),0.3048,mid;late,oos_pf_below_34d;oos_dd_above_34d
