adapter_id,split,atr_enabled,model_risk_enabled,max_model_risk_pct,max_actual_risk_pct_after_floor,risk_floor_applied_count,avg_executed_lot,avg_atr_points,risk_bucket,read
s256_stage254_control,validation_is,True,True,0.0305,0.0304859339,0,0.009917716375,3634.39774,mid,"ATR/risk(ATR/위험)는 유지됐고, 이번 실패/진전은 주로 source gate(소스 차단문) 공급 변화에서 온다."
s256_stage254_control,oos,True,True,0.0305,0.0303072839,0,0.006565137131,3903.364499,mid,"ATR/risk(ATR/위험)는 유지됐고, 이번 실패/진전은 주로 source gate(소스 차단문) 공급 변화에서 온다."
s256_long_session_relax,validation_is,True,True,0.0305,0.0304566394,0,0.01084721658,3634.39774,mid,"ATR/risk(ATR/위험)는 유지됐고, 이번 실패/진전은 주로 source gate(소스 차단문) 공급 변화에서 온다."
s256_long_session_relax,oos,True,True,0.0305,0.0304017719,0,0.006733913502,3903.364499,mid,"ATR/risk(ATR/위험)는 유지됐고, 이번 실패/진전은 주로 source gate(소스 차단문) 공급 변화에서 온다."
s256_short_margin_relax,validation_is,True,True,0.0305,0.0303621878,0,0.01237809833,3634.39774,mid,"ATR/risk(ATR/위험)는 유지됐고, 이번 실패/진전은 주로 source gate(소스 차단문) 공급 변화에서 온다."
s256_short_margin_relax,oos,True,True,0.0305,0.0303935193,0,0.01101661392,3903.364499,mid,"ATR/risk(ATR/위험)는 유지됐고, 이번 실패/진전은 주로 source gate(소스 차단문) 공급 변화에서 온다."
s256_short_session_relax,validation_is,True,True,0.0305,0.0304145972,0,0.01181633482,3634.39774,mid,"ATR/risk(ATR/위험)는 유지됐고, 이번 실패/진전은 주로 source gate(소스 차단문) 공급 변화에서 온다."
s256_short_session_relax,oos,True,True,0.0305,0.0303755488,0,0.007113660338,3903.364499,mid,"ATR/risk(ATR/위험)는 유지됐고, 이번 실패/진전은 주로 source gate(소스 차단문) 공급 변화에서 온다."
s256_short_tight_margin,validation_is,True,True,0.0305,0.030486622,0,0.01243600163,3634.39774,mid,"ATR/risk(ATR/위험)는 유지됐고, 이번 실패/진전은 주로 source gate(소스 차단문) 공급 변화에서 온다."
s256_short_tight_margin,oos,True,True,0.0305,0.0304802344,0,0.008739451477,3903.364499,mid,"ATR/risk(ATR/위험)는 유지됐고, 이번 실패/진전은 주로 source gate(소스 차단문) 공급 변화에서 온다."
