run_id,source_variant_id,fold_id,attempt_name,split,wfo_split_role,tier_scope,route_role,tester_status,runtime_status,report_status,net_profit,profit_factor,trade_count,report_path
run03K_et_v01_wfo_fold07_mt5_v1,v01_base_leaf20_q90,fold07,tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,44.18,1.1,101,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm
run03K_et_v01_wfo_fold07_mt5_v1,v01_base_leaf20_q90,fold07,tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,140.53,2.09,20,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm
run03K_et_v01_wfo_fold07_mt5_v1,v01_base_leaf20_q90,fold07,routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,50.28,1.1,119,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_routed_validation_is.htm
run03K_et_v01_wfo_fold07_mt5_v1,v01_base_leaf20_q90,fold07,tier_a_only_oos,oos,test,Tier A,tier_only_total,completed,completed,completed,187.72,1.48,116,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_tier_a_only_oos.htm
run03K_et_v01_wfo_fold07_mt5_v1,v01_base_leaf20_q90,fold07,tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,completed,completed,completed,-146.68,0.68,45,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm
run03K_et_v01_wfo_fold07_mt5_v1,v01_base_leaf20_q90,fold07,routed_oos,oos,test,Tier A+B,routed_total,completed,completed,completed,198.38,1.41,165,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v01_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v01_wfo_fold07_mt5_v1_routed_oos.htm
run03K_et_v02_wfo_fold07_mt5_v1,v02_dense_leaf10_q90,fold07,tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,93.56,1.21,105,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm
run03K_et_v02_wfo_fold07_mt5_v1,v02_dense_leaf10_q90,fold07,tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,27.03,1.16,22,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm
run03K_et_v02_wfo_fold07_mt5_v1,v02_dense_leaf10_q90,fold07,routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,108.86,1.24,123,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_routed_validation_is.htm
run03K_et_v02_wfo_fold07_mt5_v1,v02_dense_leaf10_q90,fold07,tier_a_only_oos,oos,test,Tier A,tier_only_total,completed,completed,completed,51.62,1.09,134,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_tier_a_only_oos.htm
run03K_et_v02_wfo_fold07_mt5_v1,v02_dense_leaf10_q90,fold07,tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,completed,completed,completed,153.52,1.46,37,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm
run03K_et_v02_wfo_fold07_mt5_v1,v02_dense_leaf10_q90,fold07,routed_oos,oos,test,Tier A+B,routed_total,completed,completed,completed,59.4,1.09,169,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v02_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v02_wfo_fold07_mt5_v1_routed_oos.htm
run03K_et_v03_wfo_fold07_mt5_v1,v03_smooth_leaf40_q90,fold07,tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,96.27,1.25,87,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm
run03K_et_v03_wfo_fold07_mt5_v1,v03_smooth_leaf40_q90,fold07,tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,37.91,1.19,22,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm
run03K_et_v03_wfo_fold07_mt5_v1,v03_smooth_leaf40_q90,fold07,routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,120.8,1.28,106,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_routed_validation_is.htm
run03K_et_v03_wfo_fold07_mt5_v1,v03_smooth_leaf40_q90,fold07,tier_a_only_oos,oos,test,Tier A,tier_only_total,completed,completed,completed,-12.01,0.97,104,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_tier_a_only_oos.htm
run03K_et_v03_wfo_fold07_mt5_v1,v03_smooth_leaf40_q90,fold07,tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,completed,completed,completed,51.99,1.15,45,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm
run03K_et_v03_wfo_fold07_mt5_v1,v03_smooth_leaf40_q90,fold07,routed_oos,oos,test,Tier A+B,routed_total,completed,completed,completed,34.56,1.06,148,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v03_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v03_wfo_fold07_mt5_v1_routed_oos.htm
run03K_et_v04_wfo_fold07_mt5_v1,v04_log2_features_leaf20_q90,fold07,tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,119.21,1.34,89,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm
run03K_et_v04_wfo_fold07_mt5_v1,v04_log2_features_leaf20_q90,fold07,tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,-67.17,0.72,19,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm
run03K_et_v04_wfo_fold07_mt5_v1,v04_log2_features_leaf20_q90,fold07,routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,192.39,1.46,108,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_routed_validation_is.htm
run03K_et_v04_wfo_fold07_mt5_v1,v04_log2_features_leaf20_q90,fold07,tier_a_only_oos,oos,test,Tier A,tier_only_total,completed,completed,completed,49.66,1.1,122,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_tier_a_only_oos.htm
run03K_et_v04_wfo_fold07_mt5_v1,v04_log2_features_leaf20_q90,fold07,tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,completed,completed,completed,47.61,1.17,36,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm
run03K_et_v04_wfo_fold07_mt5_v1,v04_log2_features_leaf20_q90,fold07,routed_oos,oos,test,Tier A+B,routed_total,completed,completed,completed,84.8,1.15,157,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v04_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v04_wfo_fold07_mt5_v1_routed_oos.htm
run03K_et_v05_wfo_fold07_mt5_v1,v05_half_features_leaf20_q90,fold07,tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,91.99,1.24,89,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm
run03K_et_v05_wfo_fold07_mt5_v1,v05_half_features_leaf20_q90,fold07,tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,71.27,1.55,21,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm
run03K_et_v05_wfo_fold07_mt5_v1,v05_half_features_leaf20_q90,fold07,routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,143.67,1.35,110,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_routed_validation_is.htm
run03K_et_v05_wfo_fold07_mt5_v1,v05_half_features_leaf20_q90,fold07,tier_a_only_oos,oos,test,Tier A,tier_only_total,completed,completed,completed,54.63,1.09,143,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_tier_a_only_oos.htm
run03K_et_v05_wfo_fold07_mt5_v1,v05_half_features_leaf20_q90,fold07,tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,completed,completed,completed,-112.13,0.77,38,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm
run03K_et_v05_wfo_fold07_mt5_v1,v05_half_features_leaf20_q90,fold07,routed_oos,oos,test,Tier A+B,routed_total,completed,completed,completed,98.12,1.15,175,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v05_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v05_wfo_fold07_mt5_v1_routed_oos.htm
run03K_et_v06_wfo_fold07_mt5_v1,v06_entropy_leaf20_q90,fold07,tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,135.3,1.36,96,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v06_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v06_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm
run03K_et_v06_wfo_fold07_mt5_v1,v06_entropy_leaf20_q90,fold07,tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,101.66,1.81,18,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v06_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v06_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm
run03K_et_v06_wfo_fold07_mt5_v1,v06_entropy_leaf20_q90,fold07,routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,188.37,1.46,113,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v06_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v06_wfo_fold07_mt5_v1_routed_validation_is.htm
run03K_et_v06_wfo_fold07_mt5_v1,v06_entropy_leaf20_q90,fold07,tier_a_only_oos,oos,test,Tier A,tier_only_total,completed,completed,completed,148.5,1.37,110,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v06_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v06_wfo_fold07_mt5_v1_tier_a_only_oos.htm
run03K_et_v06_wfo_fold07_mt5_v1,v06_entropy_leaf20_q90,fold07,tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,completed,completed,completed,-180.05,0.66,40,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v06_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v06_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm
run03K_et_v06_wfo_fold07_mt5_v1,v06_entropy_leaf20_q90,fold07,routed_oos,oos,test,Tier A+B,routed_total,completed,completed,completed,147.39,1.29,155,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v06_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v06_wfo_fold07_mt5_v1_routed_oos.htm
run03K_et_v07_wfo_fold07_mt5_v1,v07_balanced_subsample_leaf20_q90,fold07,tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,141.94,1.41,92,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v07_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v07_wfo_fold07_mt5_v1_tier_a_only_validation_is.htm
run03K_et_v07_wfo_fold07_mt5_v1,v07_balanced_subsample_leaf20_q90,fold07,tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,53.65,1.28,20,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v07_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v07_wfo_fold07_mt5_v1_tier_b_fallback_only_validation_is.htm
run03K_et_v07_wfo_fold07_mt5_v1,v07_balanced_subsample_leaf20_q90,fold07,routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,211.58,1.55,113,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v07_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v07_wfo_fold07_mt5_v1_routed_validation_is.htm
run03K_et_v07_wfo_fold07_mt5_v1,v07_balanced_subsample_leaf20_q90,fold07,tier_a_only_oos,oos,test,Tier A,tier_only_total,completed,completed,completed,170.51,1.42,114,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v07_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v07_wfo_fold07_mt5_v1_tier_a_only_oos.htm
run03K_et_v07_wfo_fold07_mt5_v1,v07_balanced_subsample_leaf20_q90,fold07,tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,completed,completed,completed,-73.72,0.81,38,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03K_et_v07_wfo_fold07_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03K_et_v07_wfo_fold07_mt5_v1_tier_b_fallback_only_oos.htm
