run_id,record_view,split,tier_scope,route_role,trade_count,avg_hold_bars,mfe_mean,mae_mean,long_net_profit,short_net_profit,positive_month_ratio,status
run03K_et_v01_wfo_fold07_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,101,28.4752,9.35318,8.32945,62.09,-17.91,0.666667,trade_attribution_recorded
run03K_et_v01_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,20,380.6,26.6654,19.3015,97.48,43.05,1,trade_attribution_recorded
run03K_et_v01_wfo_fold07_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,119,28.8992,8.98374,7.59871,48.34,1.94,0.666667,trade_attribution_recorded
run03K_et_v01_wfo_fold07_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,116,16.2069,9.65898,7.51878,146.33,41.39,1,trade_attribution_recorded
run03K_et_v01_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,45,317.378,18.0649,17.4205,-66.96,-79.72,0.5,trade_attribution_recorded
run03K_et_v01_wfo_fold07_mt5_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,165,22.3455,8.40866,6.82776,134.02,64.36,1,trade_attribution_recorded
run03K_et_v02_wfo_fold07_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,105,27.581,9.63756,7.95511,66.3,27.26,0.666667,trade_attribution_recorded
run03K_et_v02_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,22,355.591,23.1828,17.8801,70.2,-43.17,0.666667,trade_attribution_recorded
run03K_et_v02_wfo_fold07_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,123,19.9431,8.70143,7.2701,79.22,29.64,1,trade_attribution_recorded
run03K_et_v02_wfo_fold07_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,134,19.5448,8.91582,8.27234,72.32,-20.7,0.5,trade_attribution_recorded
run03K_et_v02_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,37,446.676,24.6192,18.4682,113.1,40.42,0.5,trade_attribution_recorded
run03K_et_v02_wfo_fold07_mt5_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,169,20.7929,8.39933,7.57533,62.03,-2.63,0.5,trade_attribution_recorded
run03K_et_v03_wfo_fold07_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,87,20.3448,10.3451,7.95274,78.74,17.53,0.666667,trade_attribution_recorded
run03K_et_v03_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,22,363.545,23.7799,17.1351,36.79,1.12,0.666667,trade_attribution_recorded
run03K_et_v03_wfo_fold07_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,106,20.0943,9.89066,7.22962,73.87,46.93,0.666667,trade_attribution_recorded
run03K_et_v03_wfo_fold07_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,104,12.7788,8.99981,8.80159,96.57,-108.58,0.5,trade_attribution_recorded
run03K_et_v03_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,45,343.556,19.0116,15.567,57.39,-5.4,0.5,trade_attribution_recorded
run03K_et_v03_wfo_fold07_mt5_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,148,17.8176,8.53718,7.21191,117.97,-83.41,0.75,trade_attribution_recorded
run03K_et_v04_wfo_fold07_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,89,26.3371,10.9193,7.51852,66.57,52.64,0.333333,trade_attribution_recorded
run03K_et_v04_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,19,454.684,25.7219,23.8564,67.98,-135.15,0.333333,trade_attribution_recorded
run03K_et_v04_wfo_fold07_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,108,21.9722,10.9445,7.12133,86.33,106.06,0.333333,trade_attribution_recorded
run03K_et_v04_wfo_fold07_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,122,11.8361,8.84574,7.84889,55.58,-5.92,0.5,trade_attribution_recorded
run03K_et_v04_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,36,329.75,20.5296,14.0529,5.06,42.55,0.5,trade_attribution_recorded
run03K_et_v04_wfo_fold07_mt5_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,157,19.8981,8.66148,7.07059,57.22,27.58,0.5,trade_attribution_recorded
run03K_et_v05_wfo_fold07_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,89,52.1461,9.54917,8.65681,134.85,-42.86,1,trade_attribution_recorded
run03K_et_v05_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,21,404.429,24.8478,16.055,77.26,-5.99,0.666667,trade_attribution_recorded
run03K_et_v05_wfo_fold07_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,110,40.3091,8.9991,7.46449,143.78,-0.11,1,trade_attribution_recorded
run03K_et_v05_wfo_fold07_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,143,28.6154,9.46189,8.56611,-12.71,67.34,0.5,trade_attribution_recorded
run03K_et_v05_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,38,436.237,23.1957,22.3697,0.49,-112.62,0.25,trade_attribution_recorded
run03K_et_v05_wfo_fold07_mt5_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,175,25.6857,8.68523,7.75942,1.47,96.65,0.5,trade_attribution_recorded
run03K_et_v06_wfo_fold07_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,96,18.5625,10.0623,7.24098,83.99,51.31,1,trade_attribution_recorded
run03K_et_v06_wfo_fold07_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,18,433.5,25.6101,19.1718,49.21,52.45,0.666667,trade_attribution_recorded
