variant_id,queue_id,candidate_alias,source_run_id,source_variant_id,source_feature_file,source_feature_sha256,runtime_feature_file,runtime_feature_sha256,common_feature_path,common_feature_sha256,feature_count,feature_order_hash,rows,first_bar_time_server,last_bar_time_server,duplicate_bar_time_rows,runtime_missing_feature_cells,score_table_validation,probability_rows_checked,probability_columns,probability_sum_max_abs_error,claim_boundary
run267dd_01_s258_stc_2023h2_session_cross_stress,dc_q01_s258_session_cross_period_stress,s258_stc,run267BW_stage267_aggressive_impulse_dd_shape_cross_period_materialization_v1,run267bw_01_s258_stc_2023h2_impulse_repl_variant,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/features/s258_stc/adjacent_2023_h2_train_pre_2024/run267bw_01_s258_stc_2023h2_impulse_repl_features.csv,f17bee620393e4215b1a6ed8141abeba60c20955ea88116c635599115b43c3e9,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DD/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dd_01_s258_stc_2023h2_session_cross_stress/run267dd_01_s258_stc_2023h2_session_cross_stress_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,OPV2/s267dd/run267DD_shared_weakness_second_followup_or_prune/s258_stc/run267dd_01_s258_stc_2023h2_session_cross_stress/features/run267dd_01_s258_stc_2023h2_session_cross_stress_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,4,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,6090,2023.07.05 16:40:00,2023.12.29 22:00:00,0,0,passed,32,3,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dd_02_s258_stc_2025h1_session_cross_stress,dc_q01_s258_session_cross_period_stress,s258_stc,run267BW_stage267_aggressive_impulse_dd_shape_cross_period_materialization_v1,run267bw_02_s258_stc_2025h1_impulse_repl_variant,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/features/s258_stc/adjacent_2025_h1_validation_post_2024/run267bw_02_s258_stc_2025h1_impulse_repl_features.csv,cbaa55381be054861dbd7349c4a0a8f8905039608702edd5739191ac198acbd0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DD/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dd_02_s258_stc_2025h1_session_cross_stress/run267dd_02_s258_stc_2025h1_session_cross_stress_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267dd/run267DD_shared_weakness_second_followup_or_prune/s258_stc/run267dd_02_s258_stc_2025h1_session_cross_stress/features/run267dd_02_s258_stc_2025h1_session_cross_stress_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,4,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,6867,2025.01.02 16:35:00,2025.06.30 22:00:00,0,0,passed,32,3,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dd_03_s258_stc_2025h2_session_cross_stress,dc_q01_s258_session_cross_period_stress,s258_stc,run267BW_stage267_aggressive_impulse_dd_shape_cross_period_materialization_v1,run267bw_03_s258_stc_2025h2_impulse_repl_variant,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267BW/aggressive_impulse_dd_shape_cross_period_materialization/features/s258_stc/adjacent_2025_h2_oos_followthrough/run267bw_03_s258_stc_2025h2_impulse_repl_features.csv,3ff55331a4b0351bbb65ef9e21728bc6dc32f216d9644004d21e87b2cdc8a35f,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DD/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dd_03_s258_stc_2025h2_session_cross_stress/run267dd_03_s258_stc_2025h2_session_cross_stress_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267dd/run267DD_shared_weakness_second_followup_or_prune/s258_stc/run267dd_03_s258_stc_2025h2_session_cross_stress/features/run267dd_03_s258_stc_2025h2_session_cross_stress_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,4,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,6486,2025.07.01 16:35:00,2025.12.31 22:00:00,0,0,passed,32,3,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dd_04_s264_aia_similar_replacement_watch,dc_q02_s264_aia_adapter_replacement_watch,s264_aia,run267CZ_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267cz_04_s264_aia_aia_val_damage,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CZ/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_aia/run267cz_04_s264_aia_aia_val_damage/run267cz_04_s264_aia_aia_val_damage_features.csv,9b1202b4bd511209f2486f081baa693e0eb0130aa40738519847fdea30ab4e96,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DD/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_aia/run267dd_04_s264_aia_similar_replacement_watch/run267dd_04_s264_aia_similar_replacement_watch_features.csv,6d49f2b4efeaf3ee9d4affa4e5d1536d56e00e7c8d30dc52f45bcb09dd25ed87,OPV2/s267dd/run267DD_shared_weakness_second_followup_or_prune/s264_aia/run267dd_04_s264_aia_similar_replacement_watch/features/run267dd_04_s264_aia_similar_replacement_watch_features.csv,6d49f2b4efeaf3ee9d4affa4e5d1536d56e00e7c8d30dc52f45bcb09dd25ed87,39,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,passed,32,3,2.22044604925e-16,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dd_05_s264_aia_ablation_neutralized_watch,dc_q02_s264_aia_adapter_replacement_watch,s264_aia,run267CZ_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267cz_04_s264_aia_aia_val_damage,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CZ/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_aia/run267cz_04_s264_aia_aia_val_damage/run267cz_04_s264_aia_aia_val_damage_features.csv,9b1202b4bd511209f2486f081baa693e0eb0130aa40738519847fdea30ab4e96,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DD/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_aia/run267dd_05_s264_aia_ablation_neutralized_watch/run267dd_05_s264_aia_ablation_neutralized_watch_features.csv,685f4c105bbfb858170a440a922ea299250797f14f0b70e6f4c2c9f36774d656,OPV2/s267dd/run267DD_shared_weakness_second_followup_or_prune/s264_aia/run267dd_05_s264_aia_ablation_neutralized_watch/features/run267dd_05_s264_aia_ablation_neutralized_watch_features.csv,685f4c105bbfb858170a440a922ea299250797f14f0b70e6f4c2c9f36774d656,39,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,passed,32,3,2.22044604925e-16,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dd_06_s264_aih_december_destructive_prune,dc_q03_s264_aih_destructive_prune_probe,s264_aih,run267CZ_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267cz_05_s264_aih_aih_final_supply,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CZ/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_aih/run267cz_05_s264_aih_aih_final_supply/run267cz_05_s264_aih_aih_final_supply_features.csv,e5f1daad3784870e879d86cee3051215b59ea39782913e305053b9978dba251e,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DD/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_aih/run267dd_06_s264_aih_december_destructive_prune/run267dd_06_s264_aih_december_destructive_prune_features.csv,5367bafb64d2e04180c9765ded5917c0cc22b3e005c3a7ebeba0820c61a633a3,OPV2/s267dd/run267DD_shared_weakness_second_followup_or_prune/s264_aih/run267dd_06_s264_aih_december_destructive_prune/features/run267dd_06_s264_aih_december_destructive_prune_features.csv,5367bafb64d2e04180c9765ded5917c0cc22b3e005c3a7ebeba0820c61a633a3,39,1a614e8eaeb9522a0473dd1b4d0aa7e88a8674f659143b63fafe4ae794e1385f,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,passed,32,3,2.22044604925e-16,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dd_07_s264_lc_weekday_dd_control,dc_q04_control_pair_weekday_dd_audit,s264_lc,run267CZ_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267cz_06_s264_lc_control_rejoin,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CZ/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_lc/run267cz_06_s264_lc_control_rejoin/run267cz_06_s264_lc_control_rejoin_features.csv,75e992f3ce8f2a6ae22d357ecb86a15304b9aebc5bd176490b8329b1fc8d261a,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DD/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_lc/run267dd_07_s264_lc_weekday_dd_control/run267dd_07_s264_lc_weekday_dd_control_features.csv,75e992f3ce8f2a6ae22d357ecb86a15304b9aebc5bd176490b8329b1fc8d261a,OPV2/s267dd/run267DD_shared_weakness_second_followup_or_prune/s264_lc/run267dd_07_s264_lc_weekday_dd_control/features/run267dd_07_s264_lc_weekday_dd_control_features.csv,75e992f3ce8f2a6ae22d357ecb86a15304b9aebc5bd176490b8329b1fc8d261a,37,49d5799544950b0a59ed0df05f2362b142a554e690aa63f7b0ab148332178232,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,passed,32,3,2.22044604925e-16,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dd_08_s262_lih_weekday_dd_control,dc_q04_control_pair_weekday_dd_audit,s262_lih,run267CZ_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267cz_07_s262_lih_control_rejoin,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CZ/shared_weakness_breakout_second_followup_or_prune_materialization/features/s262_lih/run267cz_07_s262_lih_control_rejoin/run267cz_07_s262_lih_control_rejoin_features.csv,18320b5cd0f6a21c345626f46b202e048cefcc9681f9056ec66656bf15941218,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DD/shared_weakness_breakout_second_followup_or_prune_materialization/features/s262_lih/run267dd_08_s262_lih_weekday_dd_control/run267dd_08_s262_lih_weekday_dd_control_features.csv,18320b5cd0f6a21c345626f46b202e048cefcc9681f9056ec66656bf15941218,OPV2/s267dd/run267DD_shared_weakness_second_followup_or_prune/s262_lih/run267dd_08_s262_lih_weekday_dd_control/features/run267dd_08_s262_lih_weekday_dd_control_features.csv,18320b5cd0f6a21c345626f46b202e048cefcc9681f9056ec66656bf15941218,37,c4888e6881df4313ec47f6021274acb1e5833074a8f947122ce2ce453f2c014c,11651,2024.01.02 16:40:00,2024.12.31 22:00:00,0,0,passed,32,3,2.22044604925e-16,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
