candidate_id,candidate_alias,candidate_role,profile_label,target_period,variant_id,source_variant_id,net_profit,profit_factor,trade_count,expectancy,report_max_drawdown_percent,closed_balance_max_drawdown_percent,recovery_factor_closed,positive_month_ratio,negative_month_count,worst_month,worst_month_net,worst_slice_axis,worst_slice_bucket,worst_slice_net,chron_early_net,chron_mid_net,chron_late_net,fragility_flags,curve_read,selection_boundary
s258_short_tight_control,s258_stc,stress_challenger(압박 도전자),aggressive_impulse_dd_shape_followup,2025H2,run267ca_02_s258_stc_2025h2_stress_ddcap_variant,run267bw_03_s258_stc_2025h2_impulse_repl_variant,394.51,1.622904,149,2.647718,16.08,13.877975,4.046671,1.0,0,2025-10,4.6,weekday,Monday,-11.47,66.28,39.07,289.16,dd_watch_ge15(손실폭 15% 이상 관찰),"positive_but_shape_watch_no_selection(양수지만 형태 관찰, 선택 아님)",not_candidate_selection(후보 선택 아님)
s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),aggressive_impulse_dd_shape_followup,2025H2,run267ca_01_s264_aih_2025h2_ddshape_guard_variant,run267bw_06_s264_aih_2025h2_impulse_repl_variant,415.11,1.648457,151,2.749073,15.52,13.816008,3.999518,1.0,0,2025-10,18.81,weekday,Monday,-16.99,55.34,140.92,218.85,dd_watch_ge15(손실폭 15% 이상 관찰),"positive_but_shape_watch_no_selection(양수지만 형태 관찰, 선택 아님)",not_candidate_selection(후보 선택 아님)
