candidate_alias,candidate_id,candidate_role,period_count,positive_period_count,total_net_profit,mean_net_profit,net_profit_std,min_profit_factor,mean_profit_factor,worst_dd_percent,total_trades,min_period_trades,worst_period,worst_period_net,best_period,best_period_net,late_negative_period_count,candidate_read,selection_boundary
s264_aih,s264_allow_inner_high_quarter,challenger_core(핵심 도전자),1,1,415.11,415.11,0.0,1.648457,1.648457,15.52,151,151,2025H2,415.11,2025H2,415.11,0,"single_period_followup_dd_watch_no_selection(단일 기간 후속 관찰, 선택 아님)","watch_or_followup_only_no_selection(관찰 또는 후속만, 선택 아님)"
s258_stc,s258_short_tight_control,stress_challenger(압박 도전자),1,1,394.51,394.51,0.0,1.622904,1.622904,16.08,149,149,2025H2,394.51,2025H2,394.51,0,"single_period_followup_dd_watch_no_selection(단일 기간 후속 관찰, 선택 아님)","watch_or_followup_only_no_selection(관찰 또는 후속만, 선택 아님)"
