attempt_name,record_view,candidate_alias,target_period,report_path,expected_trade_count,parsed_deal_count,parsed_trade_count,trade_count_delta,parser_status
run267ca_01_s264_aih_2025h2_ddshape_guard,mt5_ta_s264_aih_2025h2_ca_adjacent_2025_h2_oos_followthrough,s264_aih,2025H2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CB/aggressive_impulse_dd_shape_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CB_run267ca_01_s264_aih_2025h2_ddshape_guard.htm,151,302,151,0,matched
run267ca_02_s258_stc_2025h2_stress_ddcap,mt5_ta_s258_stc_2025h2_ca_adjacent_2025_h2_oos_followthrough,s258_stc,2025H2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CB/aggressive_impulse_dd_shape_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CB_run267ca_02_s258_stc_2025h2_stress_ddcap.htm,149,298,149,0,matched
