record_view,attempt_name,tier_scope,candidate_id,candidate_alias,candidate_role,variant_id,source_variant_id,profile_label,target_period,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_end,closed_balance_min,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_max_drawdown_percent,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,worst_slice_axis,worst_slice_bucket,worst_slice_net,fragility_flags,curve_read
mt5_ta_s258_stc_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_02_s258_stc_2025h2_stress_ddcap,Tier A,s258_short_tight_control,s258_stc,stress_challenger(압박 도전자),run267ca_02_s258_stc_2025h2_stress_ddcap_variant,run267bw_03_s258_stc_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,149,394.51,1027.85,-633.34,1.622904,2.647718,0.550336,12.534756,-9.452836,1.326031,894.51,490.97,97.49,13.877975,30,0.825503,7,4.046671,16.08,16.08,13.88,3.45,1.0,0,2025-10,4.6,2025-12,157.98,66.28,39.07,289.16,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CB/aggressive_impulse_dd_shape_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CB_run267ca_02_s258_stc_2025h2_stress_ddcap.png,weekday,Monday,-11.47,dd_watch_ge15(손실폭 15% 이상 관찰),"positive_but_shape_watch_no_selection(양수지만 형태 관찰, 선택 아님)"
mt5_ta_s264_aih_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_01_s264_aih_2025h2_ddshape_guard,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),run267ca_01_s264_aih_2025h2_ddshape_guard_variant,run267bw_06_s264_aih_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,151,415.11,1055.26,-640.15,1.648457,2.749073,0.562914,12.414824,-9.699242,1.279979,915.11,492.48,103.79,13.816008,27,0.794702,7,3.999518,15.52,15.52,13.82,3.52,1.0,0,2025-10,18.81,2025-11,214.19,55.34,140.92,218.85,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CB/aggressive_impulse_dd_shape_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CB_run267ca_01_s264_aih_2025h2_ddshape_guard.png,weekday,Monday,-16.99,dd_watch_ge15(손실폭 15% 이상 관찰),"positive_but_shape_watch_no_selection(양수지만 형태 관찰, 선택 아님)"
