record_view,attempt_name,tier_scope,candidate_id,candidate_alias,candidate_role,variant_id,source_variant_id,profile_label,target_period,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_end,closed_balance_min,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aih_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_01_s264_aih_2025h2_ddshape_guard,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),run267ca_01_s264_aih_2025h2_ddshape_guard_variant,run267bw_06_s264_aih_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,month,2025-07,21,63.99,129.9,-65.91,1.970869,3.047143,0.52381,11.809091,-6.591,1.791699,563.99,492.48,26.37,4.604023,6,0.761905,2,2.426621,measured_slice(측정 구간)
mt5_ta_s264_aih_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_01_s264_aih_2025h2_ddshape_guard,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),run267ca_01_s264_aih_2025h2_ddshape_guard_variant,run267bw_06_s264_aih_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,month,2025-08,27,21.51,151.72,-130.21,1.165195,0.796667,0.444444,12.643333,-8.680667,1.456493,521.51,492.07,49.39,9.030901,14,0.925926,7,0.435513,measured_slice(측정 구간)
mt5_ta_s264_aih_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_01_s264_aih_2025h2_ddshape_guard,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),run267ca_01_s264_aih_2025h2_ddshape_guard_variant,run267bw_06_s264_aih_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,month,2025-09,24,67.86,138.01,-70.15,1.967356,2.8275,0.583333,9.857857,-7.015,1.405254,567.86,469.84,35.49,6.032,9,0.708333,3,1.912088,measured_slice(측정 구간)
mt5_ta_s264_aih_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_01_s264_aih_2025h2_ddshape_guard,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),run267ca_01_s264_aih_2025h2_ddshape_guard_variant,run267bw_06_s264_aih_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,month,2025-10,23,18.81,122.32,-103.51,1.181722,0.817826,0.608696,8.737143,-11.501111,0.759678,518.81,500.0,79.06,13.22361,7,0.434783,3,0.237921,measured_slice(측정 구간)
mt5_ta_s264_aih_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_01_s264_aih_2025h2_ddshape_guard,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),run267ca_01_s264_aih_2025h2_ddshape_guard_variant,run267bw_06_s264_aih_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,month,2025-11,35,214.19,326.79,-112.6,2.90222,6.119714,0.657143,14.208261,-9.383333,1.514202,714.19,475.27,35.96,5.080388,9,0.657143,2,5.95634,measured_slice(측정 구간)
mt5_ta_s264_aih_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_01_s264_aih_2025h2_ddshape_guard,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),run267ca_01_s264_aih_2025h2_ddshape_guard_variant,run267bw_06_s264_aih_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,month,2025-12,21,28.75,186.52,-157.77,1.182227,1.369048,0.52381,16.956364,-15.777,1.074752,528.75,434.92,65.08,13.016,12,0.952381,3,0.441764,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_02_s258_stc_2025h2_stress_ddcap,Tier A,s258_short_tight_control,s258_stc,stress_challenger(압박 도전자),run267ca_02_s258_stc_2025h2_stress_ddcap_variant,run267bw_03_s258_stc_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,month,2025-07,21,67.46,133.54,-66.08,2.020884,3.212381,0.52381,12.14,-6.608,1.837167,567.46,490.97,26.61,4.616025,6,0.714286,2,2.535137,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_02_s258_stc_2025h2_stress_ddcap,Tier A,s258_short_tight_control,s258_stc,stress_challenger(압박 도전자),run267ca_02_s258_stc_2025h2_stress_ddcap_variant,run267bw_03_s258_stc_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,month,2025-08,26,29.06,162.0,-132.94,1.218595,1.117692,0.423077,14.727273,-8.862667,1.66172,529.06,499.4,50.58,9.104983,14,0.923077,7,0.574535,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_02_s258_stc_2025h2_stress_ddcap,Tier A,s258_short_tight_control,s258_stc,stress_challenger(압박 도전자),run267ca_02_s258_stc_2025h2_stress_ddcap_variant,run267bw_03_s258_stc_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,month,2025-09,25,44.34,135.28,-90.94,1.487574,1.7736,0.56,9.662857,-8.267273,1.168808,544.34,469.76,30.24,6.048,12,0.8,3,1.46627,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h2_ca_adjacent_2025_h2_oos_followthrough,run267ca_02_s258_stc_2025h2_stress_ddcap,Tier A,s258_short_tight_control,s258_stc,stress_challenger(압박 도전자),run267ca_02_s258_stc_2025h2_stress_ddcap_variant,run267bw_03_s258_stc_2025h2_impulse_repl_variant,aggressive_impulse_dd_shape_followup,2025H2,tier_only_total,month,2025-10,24,4.6,129.3,-124.7,1.036889,0.191667,0.541667,9.946154,-11.336364,0.877367,504.6,486.83,73.28,13.047968,8,0.708333,3,0.062773,measured_slice(측정 구간)
