split,axis,bucket,trade_count,net_profit,profit_factor,win_rate,expectancy,cost_stressed_expectancy,trade_share,net_share,mfe_capture_ratio,quality_flag
validation_is,session_slice,early,165,921.9200000000,1.5702340000,0.5333330000,5.5873940000,5.2826790000,0.6273760000,0.6619850000,0.2070060000,bucket_trade_concentration;bucket_profit_concentration
validation_is,session_slice,late,48,417.7000000000,1.7886040000,0.5833330000,8.7020830000,8.3973690000,0.1825100000,0.2999300000,0.2987730000,acceptable_measurement_only
validation_is,session_slice,mid,50,53.0400000000,1.2172080000,0.5000000000,1.0608000000,0.7560850000,0.1901140000,0.0380850000,0.0831530000,acceptable_measurement_only
validation_is,volatility_regime,vol_high,125,409.5600000000,1.4528530000,0.5120000000,3.2764800000,2.9717650000,0.4752850000,0.2940850000,0.1796490000,acceptable_measurement_only
validation_is,volatility_regime,vol_low,55,584.7200000000,1.7531460000,0.5454550000,10.6312730000,10.3265580000,0.2091250000,0.4198580000,0.2583830000,acceptable_measurement_only
validation_is,volatility_regime,vol_mid,83,398.3800000000,1.5612330000,0.5662650000,4.7997590000,4.4950440000,0.3155890000,0.2860570000,0.2046400000,acceptable_measurement_only
validation_is,trend_regime,downtrend,205,1147.4800000000,1.6414520000,0.5707320000,5.5974630000,5.2927490000,0.7794680000,0.8239480000,0.2302660000,bucket_trade_concentration;bucket_profit_concentration
validation_is,trend_regime,range_or_weak_trend,58,245.1800000000,1.4074650000,0.4137930000,4.2272410000,3.9225270000,0.2205320000,0.1760520000,0.1627780000,acceptable_measurement_only
validation_is,adx_bucket,adx_20_25,59,280.8800000000,1.4555970000,0.5762710000,4.7606780000,4.4559630000,0.2243350000,0.2016860000,0.1980700000,acceptable_measurement_only
validation_is,adx_bucket,adx_gt25,146,866.6000000000,1.7391860000,0.5684930000,5.9356160000,5.6309020000,0.5551330000,0.6222620000,0.2430720000,bucket_profit_concentration
validation_is,adx_bucket,adx_lt20,58,245.1800000000,1.4074650000,0.4137930000,4.2272410000,3.9225270000,0.2205320000,0.1760520000,0.1627780000,acceptable_measurement_only
validation_is,spread_regime,spread_low,263,1392.6600000000,1.5825570000,0.5361220000,5.2952850000,4.9905700000,1.0000000000,1.0000000000,0.2146020000,bucket_trade_concentration;bucket_profit_concentration
oos,session_slice,early,115,364.2000000000,1.3942750000,0.5478260000,3.1669570000,2.8636050000,0.6424580000,0.3304780000,0.1404680000,bucket_trade_concentration
oos,session_slice,late,30,395.7600000000,1.8761760000,0.6000000000,13.1920000000,12.8886480000,0.1675980000,0.3591160000,0.3363970000,acceptable_measurement_only
oos,session_slice,mid,34,342.0800000000,4.4820850000,0.6176470000,10.0611760000,9.7578250000,0.1899440000,0.3104060000,0.5116110000,acceptable_measurement_only
oos,volatility_regime,vol_high,85,870.9000000000,3.4363570000,0.6941180000,10.2458820000,9.9425300000,0.4748600000,0.7902620000,0.4907390000,bucket_profit_concentration
oos,volatility_regime,vol_low,36,-78.5400000000,0.8667530000,0.4444440000,-2.1816670000,-2.4850190000,0.2011170000,-0.0712680000,-0.0686950000,bucket_pf_below_one
oos,volatility_regime,vol_mid,58,309.6800000000,1.5878960000,0.4655170000,5.3393100000,5.0359580000,0.3240220000,0.2810060000,0.2037530000,acceptable_measurement_only
oos,trend_regime,downtrend,132,400.1500000000,1.3537890000,0.5606060000,3.0314390000,2.7280870000,0.7374300000,0.3630990000,0.1375440000,bucket_trade_concentration
oos,trend_regime,range_or_weak_trend,47,701.8900000000,3.0486560000,0.5957450000,14.9338300000,14.6304780000,0.2625700000,0.6369010000,0.4591670000,bucket_profit_concentration
oos,adx_bucket,adx_20_25,25,-215.5600000000,0.4626720000,0.4000000000,-8.6224000000,-8.9257520000,0.1396650000,-0.1956010000,-0.4195570000,bucket_pf_below_one
oos,adx_bucket,adx_gt25,107,615.7100000000,1.8435890000,0.5981310000,5.7542990000,5.4509470000,0.5977650000,0.5587000000,0.2570320000,acceptable_measurement_only
oos,adx_bucket,adx_lt20,47,701.8900000000,3.0486560000,0.5957450000,14.9338300000,14.6304780000,0.2625700000,0.6369010000,0.4591670000,bucket_profit_concentration
oos,spread_regime,spread_low,179,1102.0400000000,1.7478300000,0.5698320000,6.1566480000,5.8532960000,1.0000000000,1.0000000000,0.2483270000,bucket_trade_concentration;bucket_profit_concentration
