split,trade_index,direction,open_time,close_time,hold_bars,net_profit,equity_after_trade,chronological_third,month,session_slice,volatility_regime,trend_regime,adx_bucket,spread_regime
validation_is,1,sell,2025-01-02T16:35:00,2025-01-02T16:50:00,3.0000000000,-8.7500000000,-8.7500000000,early,2025-01,early,vol_mid,downtrend,adx_gt25,spread_low
validation_is,2,buy,2025-01-02T17:30:00,2025-01-02T17:45:00,3.0000000000,-5.8400000000,-14.5900000000,early,2025-01,early,vol_high,downtrend,adx_gt25,spread_low
validation_is,3,buy,2025-01-02T18:30:00,2025-01-02T18:45:00,3.0000000000,0.4400000000,-14.1500000000,early,2025-01,mid,vol_high,downtrend,adx_20_25,spread_low
validation_is,4,buy,2025-01-03T17:35:00,2025-01-03T17:50:00,3.0000000000,2.5000000000,-11.6500000000,early,2025-01,early,vol_high,downtrend,adx_20_25,spread_low
validation_is,5,sell,2025-01-03T18:10:00,2025-01-03T18:25:00,3.0000000000,-7.4200000000,-19.0700000000,early,2025-01,early,vol_high,range_or_weak_trend,adx_lt20,spread_low
validation_is,6,buy,2025-01-06T21:15:00,2025-01-06T21:30:00,3.0000000000,0.0100000000,-19.0600000000,early,2025-01,late,vol_low,downtrend,adx_gt25,spread_low
validation_is,7,sell,2025-01-07T17:50:00,2025-01-07T18:05:00,3.0000000000,-12.0200000000,-31.0800000000,early,2025-01,early,vol_high,downtrend,adx_gt25,spread_low
validation_is,8,sell,2025-01-07T19:15:00,2025-01-07T19:30:00,3.0000000000,6.3500000000,-24.7300000000,early,2025-01,mid,vol_high,downtrend,adx_gt25,spread_low
validation_is,9,sell,2025-01-07T21:50:00,2025-01-07T22:34:08,8.8266670000,32.1500000000,7.4200000000,early,2025-01,late,vol_low,range_or_weak_trend,adx_lt20,spread_low
validation_is,10,buy,2025-01-08T19:05:00,2025-01-08T19:17:30,2.5000000000,-17.8000000000,-10.3800000000,early,2025-01,mid,vol_mid,range_or_weak_trend,adx_lt20,spread_low
validation_is,11,sell,2025-01-08T21:50:00,2025-01-10T15:30:06,500.0200000000,33.8800000000,23.5000000000,early,2025-01,late,vol_high,range_or_weak_trend,adx_lt20,spread_low
validation_is,12,sell,2025-01-10T19:15:00,2025-01-10T19:30:00,3.0000000000,-8.8300000000,14.6700000000,early,2025-01,mid,vol_high,downtrend,adx_gt25,spread_low
validation_is,13,buy,2025-01-13T18:30:00,2025-01-13T18:45:00,3.0000000000,11.4300000000,26.1000000000,early,2025-01,mid,vol_high,range_or_weak_trend,adx_lt20,spread_low
validation_is,14,sell,2025-01-13T21:50:00,2025-01-13T22:55:04,13.0133330000,-17.8900000000,8.2100000000,early,2025-01,late,vol_mid,range_or_weak_trend,adx_lt20,spread_low
validation_is,15,sell,2025-01-14T19:10:00,2025-01-14T19:25:00,3.0000000000,1.4500000000,9.6600000000,early,2025-01,mid,vol_high,downtrend,adx_gt25,spread_low
validation_is,16,buy,2025-01-15T17:20:00,2025-01-15T17:35:00,3.0000000000,-5.3400000000,4.3200000000,early,2025-01,early,vol_mid,downtrend,adx_gt25,spread_low
validation_is,17,buy,2025-01-15T18:30:00,2025-01-15T18:45:00,3.0000000000,-14.5900000000,-10.2700000000,early,2025-01,mid,vol_mid,downtrend,adx_20_25,spread_low
validation_is,18,buy,2025-01-16T17:20:00,2025-01-16T17:35:00,3.0000000000,-5.7300000000,-16.0000000000,early,2025-01,early,vol_high,downtrend,adx_gt25,spread_low
validation_is,19,buy,2025-01-21T17:20:00,2025-01-21T17:45:00,5.0000000000,4.9100000000,-11.0900000000,early,2025-01,early,vol_high,downtrend,adx_gt25,spread_low
validation_is,20,buy,2025-01-21T18:40:00,2025-01-21T19:05:00,5.0000000000,16.1000000000,5.0100000000,early,2025-01,mid,vol_high,downtrend,adx_gt25,spread_low
validation_is,21,buy,2025-01-24T21:15:00,2025-01-24T21:45:00,6.0000000000,4.3200000000,9.3300000000,early,2025-01,late,vol_low,downtrend,adx_gt25,spread_low
validation_is,22,sell,2025-01-27T19:15:00,2025-01-27T19:30:00,3.0000000000,-1.8400000000,7.4900000000,early,2025-01,mid,vol_high,range_or_weak_trend,adx_lt20,spread_low
validation_is,23,sell,2025-01-27T21:50:00,2025-01-27T22:26:57,7.3900000000,-18.1000000000,-10.6100000000,early,2025-01,late,vol_high,range_or_weak_trend,adx_lt20,spread_low
validation_is,24,sell,2025-01-29T16:35:00,2025-01-29T16:50:00,3.0000000000,11.6600000000,1.0500000000,early,2025-01,early,vol_mid,downtrend,adx_gt25,spread_low
