source_run_number,source_run_id,topic_read,threshold_quantile,max_hold_bars,split,routed_net_profit,routed_profit_factor,routed_trade_count,routed_expectancy,routed_max_drawdown,tier_a_only_net_profit,tier_a_only_profit_factor,tier_a_only_trade_count,tier_b_fallback_only_net_profit,tier_b_fallback_only_profit_factor,tier_b_fallback_only_trade_count,tier_a_route_share,tier_b_fallback_route_share,tier_a_signal_count,tier_b_fallback_signal_count
run13I,run13I_ebm_q90_hold4_probe_v1,q90_hold4_trade_shape_stress,0.9,4,oos,134.3,1.17,292,0.46,84.07,128.01,1.16,278,43.14,1.24,20,0.87716863,0.12283137,744,33
run13I,run13I_ebm_q90_hold4_probe_v1,q90_hold4_trade_shape_stress,0.9,4,validation,-107.72,0.92,372,-0.29,346.66,-117.85,0.92,364,51.48,4.57,10,0.80622441,0.19377559,985,26
run13F,run13F_ebm_q90_hold6_probe_v1,q90_hold6_trade_shape_stress,0.9,6,oos,39.65,1.04,253,0.16,172.4,36.56,1.04,236,70.92,1.37,18,0.87716863,0.12283137,744,33
run13F,run13F_ebm_q90_hold6_probe_v1,q90_hold6_trade_shape_stress,0.9,6,validation,-188.66,0.85,306,-0.62,460.42,-184.1,0.85,300,78.95,6.26,9,0.80622441,0.19377559,985,26
run13J,run13J_ebm_q90_hold8_probe_v1,q90_hold8_trade_shape_stress,0.9,8,oos,8.28,1.01,220,0.04,216.52,-6.07,0.99,210,56.05,1.29,16,0.87716863,0.12283137,744,33
run13J,run13J_ebm_q90_hold8_probe_v1,q90_hold8_trade_shape_stress,0.9,8,validation,-177.13,0.87,278,-0.64,445.38,-129.73,0.9,272,131.81,7.56,9,0.80622441,0.19377559,985,26
run13K,run13K_ebm_q90_hold10_probe_v1,q90_hold10_trade_shape_stress,0.9,10,oos,-46.5,0.95,199,-0.23,272.48,4.64,1.01,189,-4.09,0.98,16,0.87716863,0.12283137,744,33
run13K,run13K_ebm_q90_hold10_probe_v1,q90_hold10_trade_shape_stress,0.9,10,validation,-149.25,0.89,255,-0.59,481.85,-124.64,0.9,249,137.28,16.04,8,0.80622441,0.19377559,985,26
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,oos,-52.24,0.95,191,-0.27,283.28,-55.81,0.94,179,-18.85,0.92,16,0.87716863,0.12283137,744,33
run13B,run13B_ebm_q90_runtime_handoff_probe_v1,q90_runtime_handoff_feasibility,0.9,12,validation,-84.61,0.93,234,-0.36,380.54,-72.73,0.94,229,118.96,5.72,8,0.80622441,0.19377559,985,26
run13G,run13G_ebm_q90_hold18_probe_v1,q90_hold18_trade_shape_stress,0.9,18,oos,-92.07,0.91,166,-0.55,300.7,-20.45,0.98,157,25.72,1.1,15,0.87716863,0.12283137,744,33
run13G,run13G_ebm_q90_hold18_probe_v1,q90_hold18_trade_shape_stress,0.9,18,validation,-51.57,0.96,204,-0.25,456.56,-43.85,0.96,197,22.26,1.35,8,0.80622441,0.19377559,985,26
