source_run_number,source_run_id,threshold_quantile,max_hold_bars,split,side_mode,record_view,tier_scope,route_role,net_profit,profit_factor,trade_count,win_rate_percent,max_drawdown_amount,feature_ready_count,order_fill_count,signal_count,long_signal_count,short_signal_count
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,validation,long_only,mt5_tier_a_long_only_validation_is,Tier A,tier_a_long_only,76.35,1.11,193,54.4,276.15,9844,386,,688,0
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,validation,long_only,mt5_tier_b_long_only_validation_is,Tier B,tier_b_long_only,80.66,10.37,6,66.67,352.95,2366,12,,0,0
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,validation,long_only,mt5_routed_long_only_tier_a_used_validation_is,Tier A,primary_used,,,,,,,380,688,688,
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,validation,long_only,mt5_routed_long_only_tier_b_fallback_used_validation_is,Tier B,fallback_used,,,,,,,12,12,12,
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,validation,long_only,mt5_routed_long_only_validation_is,Tier A+B,routed_total,73.58,1.1,196,53.57,274.69,12210,392,,688,0
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,validation,short_only,mt5_tier_a_short_only_validation_is,Tier A,tier_a_short_only,-253.32,0.53,108,36.11,277.79,9844,216,,0,297
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,validation,short_only,mt5_tier_b_short_only_validation_is,Tier B,tier_b_short_only,-1.71,0.73,3,33.33,12.9,2366,6,,0,0
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,validation,short_only,mt5_routed_short_only_tier_a_used_validation_is,Tier A,primary_used,,,,,,,215,297,,297
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,validation,short_only,mt5_routed_short_only_tier_b_fallback_used_validation_is,Tier B,fallback_used,,,,,,,7,14,,14
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,validation,short_only,mt5_routed_short_only_validation_is,Tier A+B,routed_total,-255.11,0.53,111,36.04,278.98,12210,222,,0,297
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,oos,long_only,mt5_tier_a_long_only_oos,Tier A,tier_a_long_only,13.13,1.02,154,54.55,99.25,7584,308,,480,0
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,oos,long_only,mt5_tier_b_long_only_oos,Tier B,tier_b_long_only,97.02,1.64,13,76.92,113.13,1062,26,,0,0
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,oos,long_only,mt5_routed_long_only_tier_a_used_oos,Tier A,primary_used,,,,,,,314,480,480,
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,oos,long_only,mt5_routed_long_only_tier_b_fallback_used_oos,Tier B,fallback_used,,,,,,,16,25,25,
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,oos,long_only,mt5_routed_long_only_oos,Tier A+B,routed_total,18.7,1.03,165,53.94,106.44,8646,330,,480,0
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,oos,short_only,mt5_tier_a_short_only_oos,Tier A,tier_a_short_only,-7.03,0.98,82,47.56,151.57,7584,164,,0,264
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,oos,short_only,mt5_tier_b_short_only_oos,Tier B,tier_b_short_only,-27.48,0.31,5,40,85.68,1062,10,,0,0
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,oos,short_only,mt5_routed_short_only_tier_a_used_oos,Tier A,primary_used,,,,,,,167,264,,264
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,oos,short_only,mt5_routed_short_only_tier_b_fallback_used_oos,Tier B,fallback_used,,,,,,,9,8,,8
run13L,run13L_ebm_q90_hold6_direction_probe_v1,0.9,6,oos,short_only,mt5_routed_short_only_oos,Tier A+B,routed_total,7.14,1.02,88,47.73,151.82,8646,176,,0,264
