mask_id,tier_scope,split,mask_feature_count,features_masked,row_count,base_signal_count,masked_signal_count,base_long_count,base_short_count,masked_long_count,masked_short_count,lost_signal_count,gained_signal_count,retained_same_side_signal_count,decision_flip_count,lost_signal_rate,retained_same_side_signal_rate,chosen_probability_drop_mean,max_abs_base_probability_diff
mask_top5_repeated,Tier A,validation,5,"[""atr_14"",""ema9_ema20_diff"",""ema50_ema200_diff"",""ema20_ema50_diff"",""hl_zscore_50""]",9844,985,593,688,297,499,94,640,248,344,889,0.64974619,0.34923858,0.096483722,0.00034840993
mask_volatility_core,Tier A,validation,6,"[""atr_14"",""atr_50"",""atr_14_over_atr_50"",""bollinger_width_20"",""historical_vol_20"",""historical_vol_5_over_20""]",9844,985,455,688,297,229,226,604,74,381,678,0.61319797,0.38680203,0.087757618,0.00034840993
mask_trend_ema_core,Tier A,validation,6,"[""ema9_ema20_diff"",""ema20_ema50_diff"",""ema50_ema200_diff"",""close_ema20_ratio"",""close_ema50_ratio"",""sma50_sma200_ratio""]",9844,985,774,688,297,680,94,477,266,499,752,0.48426396,0.50659898,0.067263175,0.00034840993
mask_range_momentum_mix,Tier A,validation,6,"[""hl_zscore_50"",""rsi_14"",""rsi_50"",""stoch_kd_diff"",""stochrsi_kd_diff"",""roc_12""]",9844,985,1015,688,297,767,248,167,197,818,364,0.16954315,0.83045685,0.009032942,0.00034840993
mask_top5_repeated,Tier A,oos,5,"[""atr_14"",""ema9_ema20_diff"",""ema50_ema200_diff"",""ema20_ema50_diff"",""hl_zscore_50""]",7584,744,284,480,264,220,64,584,124,157,711,0.78494624,0.21102151,0.12934067,0.0003010609
mask_volatility_core,Tier A,oos,6,"[""atr_14"",""atr_50"",""atr_14_over_atr_50"",""bollinger_width_20"",""historical_vol_20"",""historical_vol_5_over_20""]",7584,744,232,480,264,58,174,555,43,189,598,0.74596774,0.25403226,0.087597035,0.0003010609
mask_trend_ema_core,Tier A,oos,6,"[""ema9_ema20_diff"",""ema20_ema50_diff"",""ema50_ema200_diff"",""close_ema20_ratio"",""close_ema50_ratio"",""sma50_sma200_ratio""]",7584,744,468,480,264,407,61,463,187,277,654,0.62231183,0.37231183,0.076061307,0.0003010609
mask_range_momentum_mix,Tier A,oos,6,"[""hl_zscore_50"",""rsi_14"",""rsi_50"",""stoch_kd_diff"",""stochrsi_kd_diff"",""roc_12""]",7584,744,705,480,264,499,206,189,150,555,339,0.25403226,0.74596774,0.01461164,0.0003010609
mask_top5_repeated,Tier B,validation,5,"[""atr_14"",""ema9_ema20_diff"",""ema50_ema200_diff"",""ema20_ema50_diff"",""hl_zscore_50""]",2366,26,22,12,14,22,0,18,14,8,32,0.69230769,0.30769231,0.092220997,0.00098673817
mask_volatility_core,Tier B,validation,6,"[""atr_14"",""atr_50"",""atr_14_over_atr_50"",""bollinger_width_20"",""historical_vol_20"",""historical_vol_5_over_20""]",2366,26,19,12,14,12,7,12,5,14,17,0.46153846,0.53846154,0.049045183,0.00098673817
mask_trend_ema_core,Tier B,validation,6,"[""ema9_ema20_diff"",""ema20_ema50_diff"",""ema50_ema200_diff"",""close_ema20_ratio"",""close_ema50_ratio"",""sma50_sma200_ratio""]",2366,26,14,12,14,12,2,22,10,4,32,0.84615385,0.15384615,0.10832914,0.00098673817
mask_range_momentum_mix,Tier B,validation,6,"[""hl_zscore_50"",""rsi_14"",""rsi_50"",""stoch_kd_diff"",""stochrsi_kd_diff"",""roc_12""]",2366,26,24,12,14,10,14,6,4,20,10,0.23076923,0.76923077,0.004326568,0.00098673817
mask_top5_repeated,Tier B,oos,5,"[""atr_14"",""ema9_ema20_diff"",""ema50_ema200_diff"",""ema20_ema50_diff"",""hl_zscore_50""]",1062,33,24,25,8,22,2,18,9,15,27,0.54545455,0.45454545,0.087676312,0.00021383294
mask_volatility_core,Tier B,oos,6,"[""atr_14"",""atr_50"",""atr_14_over_atr_50"",""bollinger_width_20"",""historical_vol_20"",""historical_vol_5_over_20""]",1062,33,10,25,8,3,7,24,1,9,25,0.72727273,0.27272727,0.11032238,0.00021383294
mask_trend_ema_core,Tier B,oos,6,"[""ema9_ema20_diff"",""ema20_ema50_diff"",""ema50_ema200_diff"",""close_ema20_ratio"",""close_ema50_ratio"",""sma50_sma200_ratio""]",1062,33,33,25,8,27,6,11,11,22,22,0.33333333,0.66666667,0.046624434,0.00021383294
mask_range_momentum_mix,Tier B,oos,6,"[""hl_zscore_50"",""rsi_14"",""rsi_50"",""stoch_kd_diff"",""stochrsi_kd_diff"",""roc_12""]",1062,33,34,25,8,31,3,11,12,22,23,0.33333333,0.66666667,0.032826063,0.00021383294
