candidate_id,split,initial_balance,final_balance,net_profit,closed_deal_out_count,profit_factor_from_deals,max_balance_drawdown_amount_path,max_balance_drawdown_percent_path,final_below_peak_percent,negative_month_count,worst_month,worst_month_net,early_third_net,late_third_net,max_underwater_event_span,curve_issue_count,curve_grade,curve_flags,read_boundary
s264_allow_inner_high_quarter,validation_is,500,1746.29,1246.29,288,1.5874,151.25,9.0209,5.1507,0,2025.05,25.19,276.57,525.99,56,1,B_shape_watch,final_below_peak_gt_3pct,mt5_report_deal_balance_path_first_pass_not_goal_gate
s264_allow_inner_high_quarter,oos,500,1357.67,857.67,204,1.7354,105.73,9.5171,4.4507,1,2026.04,-41.14,210.75,293.12,62,1,B_shape_watch,final_below_peak_gt_3pct,mt5_report_deal_balance_path_first_pass_not_goal_gate
s264_lowrank_control,validation_is,500,1791.28,1291.28,287,1.6001,155.62,9.0536,5.1781,0,2025.05,26.63,337.36,540.27,56,1,B_shape_watch,final_below_peak_gt_3pct,mt5_report_deal_balance_path_first_pass_not_goal_gate
s264_lowrank_control,oos,500,1275.97,775.97,202,1.6927,100.21,9.5916,4.4554,1,2026.04,-39.22,211.9,275,62,1,B_shape_watch,final_below_peak_gt_3pct,mt5_report_deal_balance_path_first_pass_not_goal_gate
s262_lowrank_inner_half_filter,validation_is,500,1836.78,1336.78,288,1.6156,159.43,9.0447,5.126,0,2025.05,26.63,337.36,575.91,56,1,B_shape_watch,final_below_peak_gt_3pct,mt5_report_deal_balance_path_first_pass_not_goal_gate
s262_lowrank_inner_half_filter,oos,500,1245.71,745.71,205,1.6576,97.87,9.5599,4.4554,1,2026.04,-37.26,219.12,265.07,62,1,B_shape_watch,final_below_peak_gt_3pct,mt5_report_deal_balance_path_first_pass_not_goal_gate
s264_allow_inner_all_oos_anchor,validation_is,500,1663.47,1163.47,290,1.5382,148.72,9.0779,5.1732,1,2025.05,-2.59,319.18,471.62,60,1,B_shape_watch,final_below_peak_gt_3pct,mt5_report_deal_balance_path_first_pass_not_goal_gate
s264_allow_inner_all_oos_anchor,oos,500,1357.64,857.64,205,1.7323,106.43,9.5743,4.4508,1,2026.04,-41.14,213.32,293.28,62,1,B_shape_watch,final_below_peak_gt_3pct,mt5_report_deal_balance_path_first_pass_not_goal_gate
s258_short_tight_control,validation_is,500,1543.99,1043.99,304,1.469,141.12,9.0087,5.1726,1,2025.05,-4.86,252.74,431.46,64,1,B_shape_watch,final_below_peak_gt_3pct,mt5_report_deal_balance_path_first_pass_not_goal_gate
s258_short_tight_control,oos,500,1450.22,950.22,222,1.6875,139.49,11.8815,6.8228,1,2026.04,-81.56,208.46,332.39,74,2,B_shape_watch,dd_gt_10pct;final_below_peak_gt_3pct,mt5_report_deal_balance_path_first_pass_not_goal_gate
