candidate_id,source_stage,split,month,trade_count,net_profit,profit_factor,quality_flag,weakness_read_ko,weakness_read_en
s258_short_tight_control,258,oos,2025.10,29,22.39,1.196801,pf_below_34d,OOS 초반 PF 약함,OOS early PF weak
s258_short_tight_control,258,oos,2026.01,33,102.71,1.555099,pf_below_34d,OOS 1월 PF 약함,OOS January PF weak
s258_short_tight_control,258,oos,2026.02,43,157.69,1.512513,pf_below_34d,OOS 2월 PF 약함,OOS February PF weak
s258_short_tight_control,258,oos,2026.04,15,-81.56,0.509384,negative_month,OOS 마지막 달 손실,OOS final month loss
s258_short_tight_control,258,validation_is,2025.01,36,24.31,1.170632,pf_below_34d,검증 1월 PF 약함,validation January PF weak
s258_short_tight_control,258,validation_is,2025.03,34,67.78,1.305412,pf_below_34d,검증 3월 PF 약함,validation March PF weak
s258_short_tight_control,258,validation_is,2025.05,32,-4.52,0.981291,negative_month,검증 5월 손실,validation May loss
s258_short_tight_control,258,validation_is,2025.08,29,135.51,1.36322,pf_below_34d,검증 8월 PF 약함,validation August PF weak
s258_short_tight_control,258,validation_is,2025.09,27,39.81,1.129295,pf_below_34d,검증 9월 PF 약함,validation September PF weak
s262_lowrank_inner_half_filter,262,oos,2025.10,23,26.71,1.332421,pf_below_34d,OOS 초반 PF 약함,OOS early PF weak
s262_lowrank_inner_half_filter,262,oos,2025.12,21,7.58,1.052797,pf_below_34d,OOS 12월 PF 약함,OOS December PF weak
s262_lowrank_inner_half_filter,262,oos,2026.02,40,116.75,1.482418,pf_below_34d,OOS 2월 PF 약함,OOS February PF weak
s262_lowrank_inner_half_filter,262,oos,2026.04,14,-37.26,0.655638,negative_month,OOS 마지막 달 손실,OOS final month loss
s262_lowrank_inner_half_filter,262,validation_is,2025.01,33,38.68,1.320623,pf_below_34d,검증 1월 PF 약함,validation January PF weak
s262_lowrank_inner_half_filter,262,validation_is,2025.03,34,75.68,1.308785,pf_below_34d,검증 3월 PF 약함,validation March PF weak
s262_lowrank_inner_half_filter,262,validation_is,2025.05,28,26.63,1.128337,pf_below_34d,검증 5월 PF 약함,validation May PF weak
s262_lowrank_inner_half_filter,262,validation_is,2025.08,27,108.86,1.286248,pf_below_34d,검증 8월 PF 약함,validation August PF weak
s262_lowrank_inner_half_filter,262,validation_is,2025.09,25,144.12,1.548548,pf_below_34d,검증 9월 PF 약함,validation September PF weak
s264_allow_inner_all_oos_anchor,264,oos,2025.10,24,28.56,1.355445,pf_below_34d,OOS 초반 PF 약함,OOS early PF weak
s264_allow_inner_all_oos_anchor,264,oos,2025.12,21,6.58,1.045106,pf_below_34d,OOS 12월 PF 약함,OOS December PF weak
s264_allow_inner_all_oos_anchor,264,oos,2026.04,13,-41.14,0.651001,negative_month,OOS 마지막 달 손실,OOS final month loss
s264_allow_inner_all_oos_anchor,264,validation_is,2025.01,33,38.68,1.320623,pf_below_34d,검증 1월 PF 약함,validation January PF weak
s264_allow_inner_all_oos_anchor,264,validation_is,2025.03,34,77.61,1.325518,pf_below_34d,검증 3월 PF 약함,validation March PF weak
s264_allow_inner_all_oos_anchor,264,validation_is,2025.05,29,-2.23,0.990305,negative_month,검증 5월 손실,validation May loss
s264_allow_inner_all_oos_anchor,264,validation_is,2025.08,27,102.23,1.289489,pf_below_34d,검증 8월 PF 약함,validation August PF weak
s264_allow_inner_all_oos_anchor,264,validation_is,2025.09,26,91.28,1.327968,pf_below_34d,검증 9월 PF 약함,validation September PF weak
s264_allow_inner_high_quarter,264,oos,2025.10,23,26.71,1.332421,pf_below_34d,OOS 초반 PF 약함,OOS early PF weak
s264_allow_inner_high_quarter,264,oos,2025.12,21,8.13,1.056329,pf_below_34d,OOS 12월 PF 약함,OOS December PF weak
s264_allow_inner_high_quarter,264,oos,2026.04,13,-41.14,0.651001,negative_month,OOS 마지막 달 손실,OOS final month loss
s264_allow_inner_high_quarter,264,validation_is,2025.01,33,38.68,1.320623,pf_below_34d,검증 1월 PF 약함,validation January PF weak
s264_allow_inner_high_quarter,264,validation_is,2025.03,34,77.61,1.325518,pf_below_34d,검증 3월 PF 약함,validation March PF weak
s264_allow_inner_high_quarter,264,validation_is,2025.05,28,25.19,1.123985,pf_below_34d,검증 5월 PF 약함,validation May PF weak
s264_allow_inner_high_quarter,264,validation_is,2025.08,27,104.29,1.288293,pf_below_34d,검증 8월 PF 약함,validation August PF weak
s264_allow_inner_high_quarter,264,validation_is,2025.09,25,136.02,1.542712,pf_below_34d,검증 9월 PF 약함,validation September PF weak
s264_lowrank_control,264,oos,2025.10,23,26.71,1.332421,pf_below_34d,OOS 초반 PF 약함,OOS early PF weak
s264_lowrank_control,264,oos,2025.12,21,7.58,1.052797,pf_below_34d,OOS 12월 PF 약함,OOS December PF weak
s264_lowrank_control,264,oos,2026.04,13,-39.22,0.645357,negative_month,OOS 마지막 달 손실,OOS final month loss
s264_lowrank_control,264,validation_is,2025.01,33,38.68,1.320623,pf_below_34d,검증 1월 PF 약함,validation January PF weak
s264_lowrank_control,264,validation_is,2025.03,34,75.68,1.308785,pf_below_34d,검증 3월 PF 약함,validation March PF weak
s264_lowrank_control,264,validation_is,2025.05,28,26.63,1.128337,pf_below_34d,검증 5월 PF 약함,validation May PF weak
s264_lowrank_control,264,validation_is,2025.08,27,106.4,1.28735,pf_below_34d,검증 8월 PF 약함,validation August PF weak
s264_lowrank_control,264,validation_is,2025.09,25,140.86,1.548884,pf_below_34d,검증 9월 PF 약함,validation September PF weak
