run_id,adapter_id,split,gate_column,source_feature,decision_binding_feature,total_rows,signal_rows,blocked_signal_rows,asymmetric_added_rows,allowed_signal_rows,rank_counts,allowed_signal_rank_counts,low_penalty,mid_penalty,asymmetric_gate,gate_description,side_filter_feature_index,rank_feature_index
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_binding_control,validation_is,stage252_asymmetric_binding_gate_binding_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/s252_binding_control/features/s252_binding_control_val.csv,9844,468,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}",0,0,none,Stage252 keeps Stage250 control score shape and adds bounded side/rank asymmetry.,2,1
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_binding_control,oos,stage252_asymmetric_binding_gate_binding_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/s252_binding_control/features/s252_binding_control_oos.csv,7584,348,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}",0,0,none,Stage252 keeps Stage250 control score shape and adds bounded side/rank asymmetry.,2,1
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_score006,validation_is,stage252_asymmetric_binding_gate_short_low_score006,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/s252_short_low_score006/features/s252_short_low_score006_val.csv,9844,468,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}",0.06,0,none,Stage252 keeps Stage250 control score shape and adds bounded side/rank asymmetry.,2,1
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_score006,oos,stage252_asymmetric_binding_gate_short_low_score006,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/s252_short_low_score006/features/s252_short_low_score006_oos.csv,7584,348,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}",0.06,0,none,Stage252 keeps Stage250 control score shape and adds bounded side/rank asymmetry.,2,1
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_score006,validation_is,stage252_asymmetric_binding_gate_long_low_score006,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/s252_long_low_score006/features/s252_long_low_score006_val.csv,9844,468,193,0,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}",0.06,0,none,Stage252 keeps Stage250 control score shape and adds bounded side/rank asymmetry.,2,1
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_score006,oos,stage252_asymmetric_binding_gate_long_low_score006,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/s252_long_low_score006/features/s252_long_low_score006_oos.csv,7584,348,148,0,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}",0.06,0,none,Stage252 keeps Stage250 control score shape and adds bounded side/rank asymmetry.,2,1
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_gate,validation_is,stage252_asymmetric_binding_gate_short_low_gate,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/s252_short_low_gate/features/s252_short_low_gate_val.csv,9844,468,290,97,178,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":91,""mid"":37,""vhigh"":17}",0,0,short_low,Stage252 keeps Stage250 control score shape and adds bounded side/rank asymmetry.,2,1
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_gate,oos,stage252_asymmetric_binding_gate_short_low_gate,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/s252_short_low_gate/features/s252_short_low_gate_oos.csv,7584,348,208,60,140,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":67,""mid"":38,""vhigh"":7}",0,0,short_low,Stage252 keeps Stage250 control score shape and adds bounded side/rank asymmetry.,2,1
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_gate,validation_is,stage252_asymmetric_binding_gate_long_low_gate,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/s252_long_low_gate/features/s252_long_low_gate_val.csv,9844,468,284,91,184,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":97,""mid"":37,""vhigh"":17}",0,0,long_low,Stage252 keeps Stage250 control score shape and adds bounded side/rank asymmetry.,2,1
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_gate,oos,stage252_asymmetric_binding_gate_long_low_gate,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/s252_long_low_gate/features/s252_long_low_gate_oos.csv,7584,348,215,67,133,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":60,""mid"":38,""vhigh"":7}",0,0,long_low,Stage252 keeps Stage250 control score shape and adds bounded side/rank asymmetry.,2,1
