run_id,adapter_id,split,max_drawdown_amount,max_drawdown_percent,drawdown_peak_index,drawdown_trough_index,drawdown_peak_time,drawdown_trough_time,recovered,recovery_index,recovery_time,recovery_trades,max_underwater_trades,final_balance_is_new_high,drawdown_flag
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_binding_control,validation_is,134.15,12.9281,143,157,2025.04.25 16:50:00,2025.05.05 17:35:00,True,189,2025.06.12 17:25:00,32,45,False,dd_above_34d
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_binding_control,oos,95.37,9.5066,123,136,2026.02.12 22:50:07,2026.02.24 16:38:51,True,155,2026.03.09 17:45:00,19,32,False,dd_measurement_only
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_score006,validation_is,117.37,9.3294,233,248,2025.08.14 17:35:00,2025.09.02 17:45:00,True,259,2025.09.23 16:41:55,11,45,False,dd_measurement_only
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_score006,oos,82.27,8.5179,123,136,2026.02.12 22:50:07,2026.02.24 16:38:51,True,155,2026.03.09 17:45:00,19,31,False,dd_measurement_only
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_score006,validation_is,124.7,12.3387,143,157,2025.04.25 16:50:00,2025.05.05 17:35:00,True,181,2025.06.02 17:25:00,24,37,False,dd_measurement_only
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_score006,oos,100.69,10.2794,123,151,2026.02.12 22:50:07,2026.03.05 17:22:12,True,159,2026.03.13 10:06:57,8,35,False,dd_measurement_only
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_gate,validation_is,110.86,12.9535,149,162,2025.08.07 21:40:00,2025.09.02 17:45:00,False,,,,50,False,dd_above_34d
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_short_low_gate,oos,47.42,9.1049,11,22,2025.10.20 17:45:00,2025.11.11 17:40:00,True,24,2025.11.13 16:50:00,2,14,False,dd_measurement_only
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_gate,validation_is,96.32,8.8768,153,168,2025.08.01 01:39:00,2025.08.26 16:41:55,True,176,2025.09.23 16:41:55,8,34,False,dd_measurement_only
run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1,s252_long_low_gate,oos,123.19,14.2071,88,105,2026.02.12 22:50:07,2026.03.05 17:22:12,True,113,2026.03.20 17:05:00,8,36,False,dd_above_34d
