variant_id,candidate_alias,source_feature_path,runtime_feature_file,runtime_feature_sha256,common_feature_path,feature_rows,feature_count,first_time,last_time,feature_order_hash,claim_boundary
run267ec_01_s258_stc_2025h1_period_survival_gate,s258_stc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DY/runtime_gap_aware_sixth_followup_or_prune_materialization/features/s258_stc/run267dy_02_s258_stc_2025h1_dd_shape_split/run267dy_02_s258_stc_2025h1_dd_shape_split_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s258_stc/run267ec_01_s258_stc_2025h1_period_survival_gate/run267ec_01_s258_stc_2025h1_period_survival_gate_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_01_s258_stc_2025h1_period_survival_gate/features/run267ec_01_s258_stc_2025h1_period_survival_gate_features.csv,6867,4,2025.01.02 16:35:00,2025.06.30 22:00:00,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_02_s258_stc_2025h2_period_survival_gate,s258_stc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DY/runtime_gap_aware_sixth_followup_or_prune_materialization/features/s258_stc/run267dy_03_s258_stc_2025h2_dd_shape_split/run267dy_03_s258_stc_2025h2_dd_shape_split_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s258_stc/run267ec_02_s258_stc_2025h2_period_survival_gate/run267ec_02_s258_stc_2025h2_period_survival_gate_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_02_s258_stc_2025h2_period_survival_gate/features/run267ec_02_s258_stc_2025h2_period_survival_gate_features.csv,6486,4,2025.07.01 16:35:00,2025.12.31 22:00:00,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_03_s258_stc_2023h2_explosive_impulse_supply,s258_stc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DY/runtime_gap_aware_sixth_followup_or_prune_materialization/features/s258_stc/run267dy_04_s258_stc_2023h2_state_falsification/run267dy_04_s258_stc_2023h2_state_falsification_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s258_stc/run267ec_03_s258_stc_2023h2_explosive_impulse_supply/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_features.csv,94c1500167be289b3e92be82df2c08b674cc7a04fc23958e87d3aeafca76c6c3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_03_s258_stc_2023h2_explosive_impulse_supply/features/run267ec_03_s258_stc_2023h2_explosive_impulse_supply_features.csv,6090,4,2023.07.05 16:40:00,2023.12.29 22:00:00,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_04_s258_stc_2025h1_explosive_impulse_supply,s258_stc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DY/runtime_gap_aware_sixth_followup_or_prune_materialization/features/s258_stc/run267dy_05_s258_stc_2025h1_state_falsification/run267dy_05_s258_stc_2025h1_state_falsification_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s258_stc/run267ec_04_s258_stc_2025h1_explosive_impulse_supply/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_features.csv,98e89db20885c0588ac246f30f9b2753e38455726f99ea628b1d345903ad32f3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_04_s258_stc_2025h1_explosive_impulse_supply/features/run267ec_04_s258_stc_2025h1_explosive_impulse_supply_features.csv,6867,4,2025.01.02 16:35:00,2025.06.30 22:00:00,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_05_s258_stc_2025h2_explosive_impulse_supply,s258_stc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DY/runtime_gap_aware_sixth_followup_or_prune_materialization/features/s258_stc/run267dy_06_s258_stc_2025h2_state_falsification/run267dy_06_s258_stc_2025h2_state_falsification_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s258_stc/run267ec_05_s258_stc_2025h2_explosive_impulse_supply/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_features.csv,81b79505ade108fbb8dc95dd2913d769b0a602a1a23ad4138ddc285b20aa82d3,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s258_stc/run267ec_05_s258_stc_2025h2_explosive_impulse_supply/features/run267ec_05_s258_stc_2025h2_explosive_impulse_supply_features.csv,6486,4,2025.07.01 16:35:00,2025.12.31 22:00:00,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_06_s264_aih_validation_anchor_integrity,s264_aih,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DY/runtime_gap_aware_sixth_followup_or_prune_materialization/features/s264_aih/run267dy_07_s264_aih_validation_anchor_repair/run267dy_07_s264_aih_validation_anchor_repair_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s264_aih/run267ec_06_s264_aih_validation_anchor_integrity/run267ec_06_s264_aih_validation_anchor_integrity_features.csv,49a1fd2ec8ba9c08c046ca7d30bf68d62c3ea3fa7f476d5a03d6769590144d2a,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_06_s264_aih_validation_anchor_integrity/features/run267ec_06_s264_aih_validation_anchor_integrity_features.csv,9844,3,2025.01.02 16:35:00,2025.09.30 22:00:00,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_07_s264_aih_202604_counter_shock_rebuild,s264_aih,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DY/runtime_gap_aware_sixth_followup_or_prune_materialization/features/s264_aih/run267dy_08_s264_aih_202604_counter_shock_probe/run267dy_08_s264_aih_202604_counter_shock_probe_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s264_aih/run267ec_07_s264_aih_202604_counter_shock_rebuild/run267ec_07_s264_aih_202604_counter_shock_rebuild_features.csv,e08c68d38ac80e6799d53850673dbe96533ead7fe98b6c444586929eb96b6320,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_07_s264_aih_202604_counter_shock_rebuild/features/run267ec_07_s264_aih_202604_counter_shock_rebuild_features.csv,7584,3,2025.10.01 16:35:00,2026.04.13 22:00:00,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_08_s264_lc_202604_counter_shock_control,s264_lc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DY/runtime_gap_aware_sixth_followup_or_prune_materialization/features/s264_lc/run267dy_09_s264_lc_202604_same_month_control/run267dy_09_s264_lc_202604_same_month_control_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s264_lc/run267ec_08_s264_lc_202604_counter_shock_control/run267ec_08_s264_lc_202604_counter_shock_control_features.csv,2af47b2765c2d0be55f6c5a6ea12e6161a783eeecb5fd1f271afe5bba78d8b94,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_lc/run267ec_08_s264_lc_202604_counter_shock_control/features/run267ec_08_s264_lc_202604_counter_shock_control_features.csv,7584,3,2025.10.01 16:35:00,2026.04.13 22:00:00,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_09_s264_aih_validation_explosive_counter_impulse,s264_aih,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DY/runtime_gap_aware_sixth_followup_or_prune_materialization/features/s264_aih/run267dy_07_s264_aih_validation_anchor_repair/run267dy_07_s264_aih_validation_anchor_repair_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s264_aih/run267ec_09_s264_aih_validation_explosive_counter_impulse/run267ec_09_s264_aih_validation_explosive_counter_impulse_features.csv,49a1fd2ec8ba9c08c046ca7d30bf68d62c3ea3fa7f476d5a03d6769590144d2a,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_09_s264_aih_validation_explosive_counter_impulse/features/run267ec_09_s264_aih_validation_explosive_counter_impulse_features.csv,9844,3,2025.01.02 16:35:00,2025.09.30 22:00:00,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_10_s264_aih_202604_explosive_counter_impulse,s264_aih,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DY/runtime_gap_aware_sixth_followup_or_prune_materialization/features/s264_aih/run267dy_08_s264_aih_202604_counter_shock_probe/run267dy_08_s264_aih_202604_counter_shock_probe_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267EC/runtime_gap_aware_seventh_followup_or_prune_materialization/features/s264_aih/run267ec_10_s264_aih_202604_explosive_counter_impulse/run267ec_10_s264_aih_202604_explosive_counter_impulse_features.csv,e08c68d38ac80e6799d53850673dbe96533ead7fe98b6c444586929eb96b6320,OPV2/s267ec/run267EC_runtime_gap_aware_seventh_followup_or_prune/s264_aih/run267ec_10_s264_aih_202604_explosive_counter_impulse/features/run267ec_10_s264_aih_202604_explosive_counter_impulse_features.csv,7584,3,2025.10.01 16:35:00,2026.04.13 22:00:00,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
