check_id,variant_id,feature_rows,feature_count,first_time,last_time,feature_order_hash,status,claim_boundary
run267ec_data_run267ec_01_s258_stc_2025h1_period_survival_gate,run267ec_01_s258_stc_2025h1_period_survival_gate,6867,4,2025.01.02 16:35:00,2025.06.30 22:00:00,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_02_s258_stc_2025h2_period_survival_gate,run267ec_02_s258_stc_2025h2_period_survival_gate,6486,4,2025.07.01 16:35:00,2025.12.31 22:00:00,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_03_s258_stc_2023h2_explosive_impulse_supply,run267ec_03_s258_stc_2023h2_explosive_impulse_supply,6090,4,2023.07.05 16:40:00,2023.12.29 22:00:00,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_04_s258_stc_2025h1_explosive_impulse_supply,run267ec_04_s258_stc_2025h1_explosive_impulse_supply,6867,4,2025.01.02 16:35:00,2025.06.30 22:00:00,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_05_s258_stc_2025h2_explosive_impulse_supply,run267ec_05_s258_stc_2025h2_explosive_impulse_supply,6486,4,2025.07.01 16:35:00,2025.12.31 22:00:00,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_06_s264_aih_validation_anchor_integrity,run267ec_06_s264_aih_validation_anchor_integrity,9844,3,2025.01.02 16:35:00,2025.09.30 22:00:00,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_07_s264_aih_202604_counter_shock_rebuild,run267ec_07_s264_aih_202604_counter_shock_rebuild,7584,3,2025.10.01 16:35:00,2026.04.13 22:00:00,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_08_s264_lc_202604_counter_shock_control,run267ec_08_s264_lc_202604_counter_shock_control,7584,3,2025.10.01 16:35:00,2026.04.13 22:00:00,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_09_s264_aih_validation_explosive_counter_impulse,run267ec_09_s264_aih_validation_explosive_counter_impulse,9844,3,2025.01.02 16:35:00,2025.09.30 22:00:00,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_10_s264_aih_202604_explosive_counter_impulse,run267ec_10_s264_aih_202604_explosive_counter_impulse,7584,3,2025.10.01 16:35:00,2026.04.13 22:00:00,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_11_s262_lih_validation_coverage_rejoin,run267ec_11_s262_lih_validation_coverage_rejoin,9844,3,2025.01.02 16:35:00,2025.09.30 22:00:00,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_12_s262_lih_202604_coverage_rejoin,run267ec_12_s262_lih_202604_coverage_rejoin,7584,3,2025.10.01 16:35:00,2026.04.13 22:00:00,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_13_s264_aia_validation_coverage_rejoin,run267ec_13_s264_aia_validation_coverage_rejoin,9844,3,2025.01.02 16:35:00,2025.09.30 22:00:00,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ec_data_run267ec_14_s264_aia_202604_coverage_rejoin,run267ec_14_s264_aia_202604_coverage_rejoin,7584,3,2025.10.01 16:35:00,2026.04.13 22:00:00,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,feature_frame_copied_order_tracked,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
