artifact_slug,candidate_id,view_id,extra_cost_per_round_trip_account_ccy,net_profit_after_cost,profit_factor_after_cost,expectancy_after_cost,max_drawdown_after_cost,survives_pf_gt_1,stress_boundary
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,0.0,166.685,1.9400767018,2.3812142857,43.05,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,0.25,149.185,1.807671485,2.1312142857,44.05,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,0.5,131.685,1.6851100359,1.8812142857,46.35,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,1.0,96.685,1.4666039284,1.3812142857,55.85,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,2.0,26.685,1.1123342454,0.3812142857,74.85,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,3.0,-43.315,0.840780018,-0.6187857143,95.98,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,5.0,-183.315,0.4807308264,-2.6187857143,205.98,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,0.0,160.54,1.9810260014,2.4698461538,43.05,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,0.25,144.29,1.8460523615,2.2198461538,44.05,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,0.5,128.04,1.721169281,1.9698461538,45.05,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
