artifact_slug,candidate_id,view_id,signal_rows,proxy_trade_count,missing_bar_rows,skipped_during_hold_rows,signal_to_proxy_trade_compression,coverage_judgment
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,442,70,0,372,6.3142857143,usable_proxy_coverage
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,421,65,0,356,6.4769230769,usable_proxy_coverage
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,486,76,0,410,6.3947368421,usable_proxy_coverage
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,472,71,0,401,6.6478873239,usable_proxy_coverage
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,2341,297,0,2044,7.8821548822,usable_proxy_coverage
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,412,68,0,344,6.0588235294,usable_proxy_coverage
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,raw_forward,2562,299,0,2263,8.5685618729,usable_proxy_coverage
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,old_session_parity,458,70,0,388,6.5428571429,usable_proxy_coverage
u42_bal,us100_technical42_no_external__l2_balanced_c025,raw_forward,3099,306,0,2793,10.1274509804,usable_proxy_coverage
u42_bal,us100_technical42_no_external__l2_balanced_c025,old_session_parity,401,62,0,339,6.4677419355,usable_proxy_coverage
u42_plain,us100_technical42_no_external__l2_plain_c025,raw_forward,3291,322,0,2969,10.2204968944,usable_proxy_coverage
u42_plain,us100_technical42_no_external__l2_plain_c025,old_session_parity,463,71,0,392,6.5211267606,usable_proxy_coverage
