artifact_slug,candidate_id,feature_set_id,model_id,view_id,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown,total_trade_count,max_underwater_trade_count,max_underwater_start,max_underwater_end,days,signals_per_day,proxy_trades_per_day,signal_rows,signal_to_proxy_trade_compression,recovery_factor,fixed_lot,hold_bars_policy,profit_factor_is_finite,claim_boundary
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,core56_no_top3_weight_features,l2_balanced_c025,raw_forward,70,166.685,343.995,177.31,1.9400767018,2.3812142857,0.5857142857,43.05,70,14,2026-05-15 17:35:00,2026-05-19 18:55:00,29.0,15.2413793103,2.4137931034,442,6.3142857143,3.8718931475,0.1,12,True,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,core56_no_top3_weight_features,l2_balanced_c025,old_session_parity,65,160.54,324.185,163.645,1.9810260014,2.4698461538,0.5846153846,43.05,65,12,2026-05-15 17:35:00,2026-05-19 18:55:00,29.0,14.5172413793,2.2413793103,421,6.4769230769,3.7291521487,0.1,12,True,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,core56_no_top3_weight_features,l2_plain_c025,raw_forward,76,208.66,370.595,161.935,2.2885416988,2.7455263158,0.6315789474,39.085,76,12,2026-05-15 17:35:00,2026-05-18 23:50:00,29.0,16.7586206897,2.6206896552,486,6.3947368421,5.3386209543,0.1,12,True,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain,core56_no_top3_weight_features__l2_plain_c025,core56_no_top3_weight_features,l2_plain_c025,old_session_parity,71,202.4,350.26,147.86,2.3688624374,2.8507042254,0.6338028169,39.085,71,11,2026-05-15 17:35:00,2026-05-19 17:35:00,29.0,16.275862069,2.4482758621,472,6.6478873239,5.1784572086,0.1,12,True,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,macro48_no_equity_breadth_or_top3,l2_balanced_c025,raw_forward,297,103.82,728.38,624.56,1.1662290252,0.3495622896,0.5387205387,108.375,297,125,2026-04-27 15:45:00,2026-05-13 17:35:00,29.0,80.724137931,10.2413793103,2341,7.8821548822,0.9579700115,0.1,12,True,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,macro48_no_equity_breadth_or_top3,l2_balanced_c025,old_session_parity,68,143.065,333.835,190.77,1.7499344761,2.1038970588,0.6029411765,43.05,68,12,2026-05-15 17:35:00,2026-05-19 18:55:00,29.0,14.2068965517,2.3448275862,412,6.0588235294,3.3232288037,0.1,12,True,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,macro48_no_equity_breadth_or_top3,l2_plain_c025,raw_forward,299,123.41,764.665,641.255,1.1924507411,0.4127424749,0.5518394649,99.275,299,114,2026-04-27 15:45:00,2026-05-12 21:30:00,29.0,88.3448275862,10.3103448276,2562,8.5685618729,1.2431125661,0.1,12,True,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,macro48_no_equity_breadth_or_top3,l2_plain_c025,old_session_parity,70,235.75,371.275,135.525,2.7395314518,3.3678571429,0.6428571429,31.325,70,8,2026-05-20 19:45:00,2026-05-22 17:40:00,29.0,15.7931034483,2.4137931034,458,6.5428571429,7.5259377494,0.1,12,True,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal,us100_technical42_no_external__l2_balanced_c025,us100_technical42_no_external,l2_balanced_c025,raw_forward,306,93.24,796.215,702.975,1.1326362957,0.3047058824,0.5326797386,138.575,306,187,2026-04-27 08:00:00,2026-05-19 22:00:00,35.0,88.5428571429,8.7428571429,3099,10.1274509804,0.6728486379,0.1,12,True,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal,us100_technical42_no_external__l2_balanced_c025,us100_technical42_no_external,l2_balanced_c025,old_session_parity,62,84.03,281.36,197.33,1.4258348959,1.3553225806,0.5967741935,54.285,62,30,2026-04-16 17:40:00,2026-05-12 17:35:00,29.0,13.8275862069,2.1379310345,401,6.4677419355,1.5479414203,0.1,12,True,research_development_only_score_curve_proxy_and_session_mt5_reference_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
