artifact_slug,candidate_id,view_id,direction,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown,total_trade_count,max_underwater_trade_count,max_underwater_start,max_underwater_end
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,short,30,11.79,140.725,128.935,1.091441424,0.393,0.4666666667,51.535,30,8,2026-05-12 23:00:00,2026-05-18 22:30:00
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,long,40,154.895,203.27,48.375,4.2019638243,3.872375,0.675,19.44,40,6,2026-05-15 18:40:00,2026-05-19 20:00:00
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,short,27,5.19,122.675,117.485,1.0441758522,0.1922222222,0.4444444444,51.535,27,11,2026-05-12 23:00:00,2026-05-21 22:50:00
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,long,38,155.35,201.51,46.16,4.3654679376,4.0881578947,0.6842105263,17.225,38,4,2026-05-15 18:40:00,2026-05-18 21:25:00
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,long,56,197.72,270.47,72.75,3.7178006873,3.5307142857,0.6785714286,16.49,56,7,2026-05-20 19:45:00,2026-05-22 17:40:00
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,short,20,10.94,100.125,89.185,1.1226663677,0.547,0.5,46.935,20,16,2026-04-21 17:35:00,2026-05-18 22:05:00
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,long,54,198.585,268.71,70.125,3.8318716578,3.6775,0.6851851852,16.125,54,7,2026-05-20 19:45:00,2026-05-22 17:40:00
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,short,17,3.815,81.55,77.735,1.0490769923,0.2244117647,0.4705882353,35.485,17,14,2026-04-21 17:35:00,2026-05-18 22:05:00
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,long,247,139.88,557.43,417.55,1.3350017962,0.5663157895,0.5546558704,62.0,247,63,2026-04-27 15:45:00,2026-05-07 09:10:00
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,short,50,-36.06,170.95,207.01,0.8258055166,-0.7212,0.46,93.375,50,50,2026-04-16 17:55:00,2026-05-21 22:50:00
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,short,32,-24.56,121.9,146.46,0.8323091629,-0.7675,0.40625,64.235,32,32,2026-04-14 17:35:00,2026-05-21 22:50:00
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,long,36,167.625,211.935,44.31,4.7830060934,4.65625,0.7777777778,17.225,36,4,2026-05-15 18:40:00,2026-05-18 21:25:00
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,raw_forward,long,274,150.04,694.48,544.44,1.2755859232,0.5475912409,0.5583941606,79.9,274,97,2026-04-27 15:45:00,2026-05-11 17:40:00
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,raw_forward,short,25,-26.63,70.185,96.815,0.7249393173,-1.0652,0.48,45.025,25,25,2026-04-21 17:35:00,2026-05-21 22:50:00
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,old_session_parity,long,53,218.375,288.025,69.65,4.1353194544,4.1202830189,0.6981132075,14.375,53,7,2026-05-20 19:45:00,2026-05-22 17:40:00
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,old_session_parity,short,17,17.375,83.25,65.875,1.2637571157,1.0220588235,0.4705882353,31.15,17,14,2026-04-21 17:35:00,2026-05-18 22:05:00
u42_bal,us100_technical42_no_external__l2_balanced_c025,raw_forward,long,258,166.21,627.265,461.055,1.3604992897,0.6442248062,0.5426356589,77.175,258,90,2026-04-27 08:00:00,2026-05-08 15:35:00
u42_bal,us100_technical42_no_external__l2_balanced_c025,raw_forward,short,48,-72.97,168.95,241.92,0.6983713624,-1.5202083333,0.4791666667,98.52,48,48,2026-04-21 17:35:00,2026-05-21 22:50:00
u42_bal,us100_technical42_no_external__l2_balanced_c025,old_session_parity,long,31,121.885,165.82,43.935,3.7742119039,3.9317741935,0.7419354839,15.925,31,5,2026-04-28 17:50:00,2026-05-05 17:40:00
u42_bal,us100_technical42_no_external__l2_balanced_c025,old_session_parity,short,31,-37.855,115.54,153.395,0.7532188142,-1.2211290323,0.4516129032,61.905,31,31,2026-04-17 17:35:00,2026-05-21 22:50:00
u42_plain,us100_technical42_no_external__l2_plain_c025,raw_forward,long,294,193.375,743.8,550.425,1.351319435,0.6577380952,0.5714285714,64.335,294,35,2026-05-15 08:00:00,2026-05-20 17:45:00
u42_plain,us100_technical42_no_external__l2_plain_c025,raw_forward,short,28,-68.1,65.7,133.8,0.4910313901,-2.4321428571,0.4285714286,71.725,28,28,2026-04-21 17:35:00,2026-05-21 22:50:00
u42_plain,us100_technical42_no_external__l2_plain_c025,old_session_parity,long,56,158.31,289.095,130.785,2.2104599151,2.8269642857,0.6785714286,42.55,56,8,2026-05-15 18:40:00,2026-05-19 21:10:00
u42_plain,us100_technical42_no_external__l2_plain_c025,old_session_parity,short,15,-11.41,53.8,65.21,0.8250268364,-0.7606666667,0.4,31.56,15,8,2026-05-15 17:35:00,2026-05-21 22:50:00
