artifact_slug,candidate_id,view_id,fixed_lot,net_profit_at_fixed_lot,equity_dd_amount_at_fixed_lot,net_profit_per_1lot_linear,equity_dd_amount_per_1lot_linear,expectancy_per_1lot_linear,normalization_boundary
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,0.1,166.685,43.05,1666.85,430.5,23.8121428571,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,0.1,160.54,43.05,1605.4,430.5,24.6984615385,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,0.1,208.66,39.085,2086.6,390.85,27.4552631579,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,0.1,202.4,39.085,2024.0,390.85,28.5070422535,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,0.1,103.82,108.375,1038.2,1083.75,3.4956228956,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,0.1,143.065,43.05,1430.65,430.5,21.0389705882,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,raw_forward,0.1,123.41,99.275,1234.1,992.75,4.1274247492,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,old_session_parity,0.1,235.75,31.325,2357.5,313.25,33.6785714286,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
u42_bal,us100_technical42_no_external__l2_balanced_c025,raw_forward,0.1,93.24,138.575,932.4,1385.75,3.0470588235,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
u42_bal,us100_technical42_no_external__l2_balanced_c025,old_session_parity,0.1,84.03,54.285,840.3,542.85,13.5532258065,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
u42_plain,us100_technical42_no_external__l2_plain_c025,raw_forward,0.1,125.275,90.2,1252.75,902.0,3.8905279503,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
u42_plain,us100_technical42_no_external__l2_plain_c025,old_session_parity,0.1,146.9,51.26,1469.0,512.6,20.6901408451,linear_lot_normalization_only_not_new_lot_optimization_score_proxy
