rank_by_net_profit_tier_a,candidate_alias,candidate_id,test_id,feature_family,net_profit,profit_factor,trade_count,max_drawdown_percent,recovery_factor,ranking_boundary
1,s264_lc,s264_lowrank_control,abl_gate_variant_rule,source_feature_gate,1700.94,1.47,400,19.42,3.37,not_candidate_selection_requires_curve_timeslice_review
2,s258_stc,s258_short_tight_control,rep_trend_strength_adx,trend_strength(추세 강도),1413.66,1.49,340,19.15,3.25,not_candidate_selection_requires_curve_timeslice_review
3,s258_stc,s258_short_tight_control,abl_volatility_bandwidth,volatility_bandwidth,1393.91,1.5,336,18.57,3.29,not_candidate_selection_requires_curve_timeslice_review
4,s264_aia,s264_allow_inner_all_oos_anchor,rep_trend_strength_adx,trend_strength(추세 강도),1390.83,1.56,332,15.44,4.18,not_candidate_selection_requires_curve_timeslice_review
5,s264_aia,s264_allow_inner_all_oos_anchor,abl_session_timing,session_timing,1275.28,1.53,330,19.17,3.11,not_candidate_selection_requires_curve_timeslice_review
6,s264_aih,s264_allow_inner_high_quarter,abl_volatility_bandwidth,volatility_bandwidth,1269.97,1.53,323,17.52,3.43,not_candidate_selection_requires_curve_timeslice_review
7,s262_lih,s262_lowrank_inner_half_filter,rep_volatility_atr,volatility_risk(변동성 위험),1259.93,1.53,325,16.85,3.66,not_candidate_selection_requires_curve_timeslice_review
8,s264_aia,s264_allow_inner_all_oos_anchor,abl_trend_strength_direction,trend_strength_direction,1237.02,1.5,329,20.98,2.77,not_candidate_selection_requires_curve_timeslice_review
9,s264_lc,s264_lowrank_control,rep_volatility_atr,volatility_risk(변동성 위험),1204.36,1.51,330,18.86,3.15,not_candidate_selection_requires_curve_timeslice_review
10,s264_aia,s264_allow_inner_all_oos_anchor,rep_volatility_atr,volatility_risk(변동성 위험),1191.32,1.53,339,16.07,3.86,not_candidate_selection_requires_curve_timeslice_review
11,s264_aih,s264_allow_inner_high_quarter,rep_volatility_atr,volatility_risk(변동성 위험),1177.35,1.52,337,17.25,3.44,not_candidate_selection_requires_curve_timeslice_review
12,s264_lc,s264_lowrank_control,abl_trend_strength_direction,trend_strength_direction,1166.55,1.51,330,18.28,3.21,not_candidate_selection_requires_curve_timeslice_review
