candidate_id,train_rank,rule_kind,rule_definition,features,side,train_trade_count,train_trades_per_day,train_net_profit,train_profit_factor,train_expectancy,train_win_rate,train_dd_risk,train_underwater_ratio,train_max_loss_streak,train_equity_trend_r2,train_joint_axis_distance,train_density_pass,train_pf_pass,train_dd_pass,train_smoothness_pass,validation_trade_count,validation_trades_per_day,validation_net_profit,validation_profit_factor,validation_expectancy,validation_win_rate,validation_dd_risk,validation_underwater_ratio,validation_max_loss_streak,validation_equity_trend_r2,validation_joint_axis_distance,validation_density_pass,validation_pf_pass,validation_dd_pass,validation_smoothness_pass,oos_trade_count,oos_trades_per_day,oos_net_profit,oos_profit_factor,oos_expectancy,oos_win_rate,oos_dd_risk,oos_underwater_ratio,oos_max_loss_streak,oos_equity_trend_r2,oos_joint_axis_distance,oos_density_pass,oos_pf_pass,oos_dd_pass,oos_smoothness_pass,strict_pass,seed_surface_flag,handoff_candidate_flag,forward_read_score
f20b_pair_0359,416,pair(쌍),vix_zscore_20 <= q30 & close_ema50_ratio >= q70,vix_zscore_20|close_ema50_ratio,long(롱),4400,7.678883071553229,1.1204525807418397,1.1836193808937332,0.0002546483138049636,0.553409090909091,33.31213546644434,0.9120454545454545,21,0.8918786026568423,3.2984789395474428,True,False,False,False,1570,8.579234972677595,0.7213111537181105,1.3266614376938166,0.00045943385587140796,0.5121019108280255,31.744253285360656,0.910828025477707,17,0.7768979506214407,3.1213631433744773,True,False,False,False,1298,9.908396946564885,0.31596877771002047,1.220645208969599,0.00024342740963792024,0.5608628659476117,20.776566454978163,0.8921417565485362,36,0.6560555010146583,2.123572856003262,True,False,False,False,False,True,False,4.458216466926116
f20b_pair_0446,406,pair(쌍),ppo_hist_12_26_9 >= q70 & bb_position_20 >= q80,ppo_hist_12_26_9|bb_position_20,long(롱),4319,7.537521815008726,1.0239240721373544,1.1709549998228095,0.00023707433946222606,0.5496642741375318,28.349378071776098,0.9249826348691826,24,0.9101959925602051,2.806114296305245,True,False,False,False,1347,7.360655737704918,0.5777865156458452,1.2897830651502793,0.00042894321874227553,0.5233853006681515,24.143721815662524,0.9094283593170007,19,0.7595204836336276,2.386939193048631,True,False,False,False,997,7.6106870229007635,0.2554879290468002,1.216877149282759,0.00025625669914423286,0.5576730190571715,15.593164474469623,0.9067201604814443,24,0.7172475564307044,1.5861405446284156,True,False,False,False,False,True,False,4.426995239681123
f20b_pair_0736,258,pair(쌍),bb_position_20 >= q80 & vix_zscore_20 <= q20,bb_position_20|vix_zscore_20,long(롱),2971,5.184991273996509,1.0356422149783389,1.256425874071493,0.00034858371423033955,0.552002692696062,21.12040836049719,0.8963312016156176,21,0.9429328217220433,2.012857169966081,True,False,False,False,1097,5.994535519125683,0.5523656173204349,1.381505677809961,0.0005035238079493481,0.5460346399270738,19.81404714001087,0.8769371011850501,16,0.8211725487383607,1.865745923697117,True,False,False,False,848,6.473282442748092,0.2061894200381154,1.2162102614168782,0.00024314790098834365,0.5613207547169812,17.609839962595373,0.8502358490566038,17,0.39409111680430153,1.9081439950646342,True,False,False,False,False,True,False,4.339639178057046
f20b_pair_0194,187,pair(쌍),roc_12 >= q70 & vix_zscore_20 <= q30,roc_12|vix_zscore_20,long(롱),4898,8.547993019197207,1.5568076982337131,1.2330708191051174,0.0003178455896761358,0.5549203756635361,32.6086276707412,0.8928133932217232,35,0.9152305780522935,3.184239624347805,True,False,False,False,1600,8.743169398907105,0.5488102120515764,1.2183080644447082,0.00034300638253223525,0.525625,31.78019845319684,0.95875,25,0.7217948970740996,3.2254956094139846,True,False,False,False,1279,9.763358778625955,0.37005036698767513,1.2494321214572568,0.0002893278866205435,0.5566849100860047,22.68965600853128,0.8764659890539483,25,0.6338677509965591,2.303418747250325,True,False,False,False,False,True,False,4.267444464922416
f20b_pair_0337,71,pair(쌍),vix_zscore_20 <= q30 & ppo_hist_12_26_9 >= q70,vix_zscore_20|ppo_hist_12_26_9,long(롱),4652,8.118673647469459,1.6041040812277085,1.2545484275071923,0.00034482030980819187,0.5505159071367154,28.40820435923337,0.8845657781599312,32,0.9437687753283129,2.736904873443969,True,False,False,False,1466,8.010928961748634,0.6264704970131058,1.2629477624344374,0.0004273332176078484,0.5334242837653479,32.46840496148536,0.9379263301500682,21,0.724723109940348,3.261308064025691,True,False,False,False,1187,9.061068702290076,0.3815344345907711,1.2670750589351603,0.0003214274933367911,0.5391743892165122,18.401019480452153,0.8744734625105307,23,0.8029619399281437,1.7887446037397092,True,False,False,False,False,True,False,4.05095324816544
f20b_pair_0455,472,pair(쌍),ppo_hist_12_26_9 >= q70 & close_ema50_ratio >= q70,ppo_hist_12_26_9|close_ema50_ratio,long(롱),4234,7.389179755671902,0.9872836126958835,1.159499781597222,0.00023317988018325072,0.548181388757676,33.89258522457986,0.9272555503070382,23,0.9147093023713401,3.3651544432304394,True,False,False,False,1380,7.540983606557377,0.7062021848596091,1.3255199331328467,0.0005117407136663834,0.5202898550724637,30.707283197221614,0.9289855072463769,29,0.7864480560475311,3.0221102061952188,True,False,False,False,1014,7.740458015267175,0.26792506508878156,1.2154700714325652,0.00026422590245441966,0.5660749506903353,14.93179879538793,0.8954635108481263,26,0.741582006099399,1.5046915209594376,True,False,False,False,False,True,False,3.9871665800971448
f20b_pair_0344,437,pair(쌍),vix_zscore_20 <= q30 & ema9_ema20_diff >= q80,vix_zscore_20|ema9_ema20_diff,long(롱),3061,5.342059336823735,0.9834460252894888,1.2327548437546938,0.0003212825956515808,0.5632146357399542,32.52435380246539,0.8895785690950669,24,0.8782426347093393,3.19115912884277,True,False,False,False,1370,7.4863387978142075,0.7488936192843034,1.3784990753084043,0.0005466376783097106,0.5255474452554745,33.5739997630333,0.8992700729927007,14,0.750068783586673,3.28529101888184,True,False,False,False,1201,9.16793893129771,0.29735210071526247,1.2286673861388693,0.00024758709468381554,0.5628642797668609,18.97020594167603,0.8867610324729392,25,0.7228330282436763,1.9064545030013367,True,False,False,False,False,True,False,3.915594228656991
f20b_pair_0345,385,pair(쌍),vix_zscore_20 <= q30 & close_ema20_ratio >= q80,vix_zscore_20|close_ema20_ratio,long(롱),3637,6.347294938917975,1.0733352449764737,1.1979647966012439,0.00029511554714777943,0.5545779488589497,28.865768134896907,0.9018421776189167,28,0.9203179333175642,2.829280325124677,True,False,False,False,1286,7.027322404371585,0.7320837417541981,1.3544812787085572,0.0005692719609286143,0.5233281493001555,33.501336920270184,0.9175738724727839,21,0.7766742306771752,3.2862978914807637,True,False,False,False,1020,7.786259541984733,0.33877092732602615,1.2801713358841336,0.00033212836012355506,0.5686274509803921,18.041915605947768,0.8705882352941177,23,0.7450335401177771,1.7706055054820635,True,False,False,False,False,True,False,3.7685001200499455
f20b_pair_0353,357,pair(쌍),vix_zscore_20 <= q30 & close_ema50_ratio >= q80,vix_zscore_20|close_ema50_ratio,long(롱),3076,5.368237347294939,1.0997137196996403,1.249973790087848,0.00035751421316633297,0.5744473342002601,29.251354746974357,0.8761378413524057,26,0.9298239520406256,2.8259898298438126,True,False,False,False,1110,6.065573770491803,0.7232869581893575,1.4293361435024354,0.0006516098722426644,0.5198198198198198,29.830249128584274,0.9153153153153153,15,0.756833462423343,2.8896736749085967,True,False,False,False,979,7.473282442748092,0.3050421734263773,1.2908531635919351,0.0003115854682598338,0.5801838610827375,15.55024329642789,0.86414708886619,29,0.7459899695087021,1.5127684515576911,True,False,False,False,False,True,False,3.744580876770905
f20b_pair_0739,512,pair(쌍),bb_position_20 >= q80 & ppo_hist_12_26_9 >= q80,bb_position_20|ppo_hist_12_26_9,long(롱),3325,5.802792321116929,0.7715580348265031,1.1566417031364007,0.00023204752927112875,0.5494736842105263,28.177010010573976,0.9290225563909774,19,0.8508302851943551,2.824566671527678,True,False,False,False,1024,5.595628415300546,0.5000214258028509,1.2986175496455585,0.0004883021736355966,0.517578125,21.461530612869794,0.92578125,22,0.7340002865730934,2.133145720006308,True,False,False,False,786,6.0,0.23702224988883538,1.2416009910731023,0.0003015550253038618,0.5623409669211196,13.988055683689604,0.8918575063613231,22,0.7186314279010476,1.4059568081395333,True,False,False,False,False,True,False,3.711663091574397
