condition_id,feature,operator,quantile,quantile_label,threshold_value,side,side_name,train_rank_score,train_trade_count,train_trades_per_day,train_net_profit,train_profit_factor,train_dd_risk,definition
c0179,vortex_indicator,>=,0.7,q70,0.18958741426467896,1,long(롱),1.6193114970004694,8767,15.300174520069808,2.711479868289544,1.2574698865724898,32.111777613355066,vortex_indicator >= q70
c0180,vortex_indicator,>=,0.8,q80,0.3021976947784424,1,long(롱),1.2699831966414674,5845,10.200698080279231,2.001034026904985,1.2885287695683096,30.605102797751627,vortex_indicator >= q80
c0121,roc_12,>=,0.8,q80,0.0028234270866960287,1,long(롱),1.2526040945843482,5845,10.200698080279231,2.280431654443386,1.28656616830375,36.845227928292424,roc_12 >= q80
c0093,rsi_50,>=,0.8,q80,56.863216400146484,1,long(롱),1.2180249672303372,5845,10.200698080279231,1.8704273298735314,1.2684962936291602,28.95864533618513,rsi_50 >= q80
c0120,roc_12,>=,0.7,q70,0.001732436241582036,1,long(롱),1.1295292654100213,8767,15.300174520069808,2.5207041175139153,1.2178962891499314,44.358152281264715,roc_12 >= q70
c0181,vortex_indicator,>=,0.9,q90,0.45206865668296814,1,long(롱),1.048522402508773,2923,5.101221640488657,1.232877289541682,1.380267597576993,22.45902177142456,vortex_indicator >= q90
c0053,close_ema20_ratio,>=,0.7,q70,1.001065731048584,1,long(롱),1.0346892203918745,8767,15.300174520069808,2.3465087393657456,1.2008165439411462,44.465175807392576,close_ema20_ratio >= q70
c0173,di_spread_14,>=,0.7,q70,5.568155765533447,1,long(롱),1.0084948492946846,8767,15.300174520069808,2.1531083626979495,1.1928540946871187,40.93420414681464,di_spread_14 >= q70
c0192,vix_zscore_20,<=,0.3,q30,-1.037143588066101,1,long(롱),0.989694746044512,8767,15.300174520069808,2.180525496566489,1.1946795805259856,42.643086082364775,vix_zscore_20 <= q30
c0214,usdx_zscore_20,<=,0.3,q30,-0.8246918320655823,1,long(롱),0.9825195422269553,8767,15.300174520069808,1.8914774417043108,1.1676195490335028,34.95637883159125,usdx_zscore_20 <= q30
c0153,bb_position_20,>=,0.7,q70,0.7350935339927673,1,long(롱),0.975498333086984,8767,15.300174520069808,1.9418582686704584,1.1761565436708308,36.825898766029255,bb_position_20 >= q70
c0114,ppo_hist_12_26_9,>=,0.7,q70,0.01748933270573616,1,long(롱),0.9645806223022827,8767,15.300174520069808,2.1282184431205593,1.179497733975841,42.04808749059921,ppo_hist_12_26_9 >= q70
c0094,rsi_50,>=,0.9,q90,61.04692840576172,1,long(롱),0.9638228779160505,2923,5.101221640488657,1.1568849750715688,1.3633203851963664,22.728106086310095,rsi_50 >= q90
c0088,rsi_14,>=,0.8,q80,61.25181579589844,1,long(롱),0.9365188703505883,5845,10.200698080279231,1.5051799698958022,1.209646151639569,28.88304263271967,rsi_14 >= q80
c0103,rsi_14_minus_50,>=,0.8,q80,11.25181770324707,1,long(롱),0.9365188703505883,5845,10.200698080279231,1.5051799698958022,1.209646151639569,28.88304263271967,rsi_14_minus_50 >= q80
c0175,di_spread_14,>=,0.9,q90,16.72295379638672,1,long(롱),0.9228239334617607,2923,5.101221640488657,1.0122914024691796,1.2739918250723228,17.950098053892116,di_spread_14 >= q90
c0174,di_spread_14,>=,0.8,q80,10.286602973937988,1,long(롱),0.883221095113249,5845,10.200698080279231,1.541596369167077,1.2051623178417674,32.07041393647025,di_spread_14 >= q80
c0122,roc_12,>=,0.9,q90,0.004591085482388735,1,long(롱),0.860223305102086,2923,5.101221640488657,1.388732177376403,1.317170993616928,32.528439559669884,roc_12 >= q90
c0062,ema9_ema20_diff,>=,0.8,q80,12.58233642578125,1,long(롱),0.8399551197946283,5845,10.200698080279231,1.6020257549339147,1.207490284614298,36.06033082476032,ema9_ema20_diff >= q80
c0054,close_ema20_ratio,>=,0.8,q80,1.0017303228378296,1,long(롱),0.8389992362003291,5845,10.200698080279231,1.8225472408502934,1.2187405033627474,42.949086146388595,close_ema20_ratio >= q80
c0102,rsi_14_minus_50,>=,0.7,q70,6.890437126159668,1,long(롱),0.820523631952199,8767,15.300174520069808,1.8314915259899323,1.1653730878763986,42.02460604295394,rsi_14_minus_50 >= q70
c0087,rsi_14,>=,0.7,q70,56.890438079833984,1,long(롱),0.820523631952199,8767,15.300174520069808,1.8314915259899323,1.1653730878763986,42.02460604295394,rsi_14 >= q70
c0058,close_ema50_ratio,>=,0.9,q90,1.004671335220337,1,long(롱),0.8114723891354586,2923,5.101221640488657,1.279959858624386,1.3057721549256525,31.192675565830076,close_ema50_ratio >= q90
c0154,bb_position_20,>=,0.8,q80,0.828700065612793,1,long(롱),0.796126182771711,5845,10.200698080279231,1.2643748449201795,1.1681515313536235,27.10420391291243,bb_position_20 >= q80
c0191,vix_zscore_20,<=,0.2,q20,-1.3821895122528076,1,long(롱),0.7942857969046199,5847,10.204188481675393,1.5433022514272912,1.2020251354522602,36.71084652514395,vix_zscore_20 <= q20
c0213,usdx_zscore_20,<=,0.2,q20,-1.2198740243911743,1,long(롱),0.7832092328590481,5845,10.200698080279231,1.395423488381279,1.185087738184165,32.22879905585686,usdx_zscore_20 <= q20
c0127,trix_15,>=,0.8,q80,0.0001232630165759474,1,long(롱),0.7712176624364971,5845,10.200698080279231,1.3986780630725333,1.1763392361663172,32.66810693000188,trix_15 >= q80
c0115,ppo_hist_12_26_9,>=,0.8,q80,0.029029106721282005,1,long(롱),0.754458137593424,5845,10.200698080279231,1.5137487017736604,1.1765355495630618,37.21213999818798,ppo_hist_12_26_9 >= q80
c0057,close_ema50_ratio,>=,0.8,q80,1.0028579235076904,1,long(롱),0.7439513951395021,5845,10.200698080279231,1.5443823080122128,1.1910104366664065,39.44880698020836,close_ema50_ratio >= q80
c0077,ema20_ema50_spread_zscore_50,>=,0.7,q70,1.0368465185165405,1,long(롱),0.7362541156751298,8767,15.300174520069808,1.7569269502502187,1.1589552575871658,45.31241680929479,ema20_ema50_spread_zscore_50 >= q70
c0078,ema20_ema50_spread_zscore_50,>=,0.8,q80,1.5066677331924438,1,long(롱),0.7306152537040704,5845,10.200698080279231,1.4242898251363512,1.1918429974242313,36.4685029715767,ema20_ema50_spread_zscore_50 >= q80
c0061,ema9_ema20_diff,>=,0.7,q70,7.580512523651123,1,long(롱),0.7183717286235658,8767,15.300174520069808,1.7026126484414734,1.147496282059102,44.39361283375817,ema9_ema20_diff >= q70
c0063,ema9_ema20_diff,>=,0.9,q90,20.78980255126953,1,long(롱),0.6980679793174066,2923,5.101221640488657,1.11227163283005,1.2822734899070132,30.86239365249728,ema9_ema20_diff >= q90
c0176,vortex_indicator,<=,0.1,q10,-0.45235973596572876,-1,short(숏),0.6698312903776273,2923,5.101221640488657,0.9854915701330696,1.2256423947414627,26.064611055553122,vortex_indicator <= q10
c0056,close_ema50_ratio,>=,0.7,q70,1.0016655921936035,1,long(롱),0.6443393325877877,8767,15.300174520069808,1.6157359602972439,1.1367695693873188,47.010937527407904,close_ema50_ratio >= q70
c0128,trix_15,>=,0.9,q90,0.00021342029504012316,1,long(롱),0.6292569948553297,2923,5.101221640488657,1.004646498201089,1.240497366947485,29.610567571616286,trix_15 >= q90
c0069,ema20_ema50_diff,>=,0.9,q90,36.0333366394043,1,long(롱),0.5982706394822904,2923,5.101221640488657,1.0042317436955615,1.2728978531178612,32.732647943046025,ema20_ema50_diff >= q90
c0055,close_ema20_ratio,>=,0.9,q90,1.0028226375579834,1,long(롱),0.5953391553995987,2923,5.101221640488657,1.0639669994434713,1.2310291758297767,34.00094993099659,close_ema20_ratio >= q90
c0079,ema20_ema50_spread_zscore_50,>=,0.9,q90,2.049574851989746,1,long(롱),0.5874687026782965,2923,5.101221640488657,1.0177222866823628,1.2720191602607436,34.07255203834263,ema20_ema50_spread_zscore_50 >= q90
c0164,adx_14,<=,0.1,q10,14.871162414550781,1,long(롱),0.5580779594884201,2923,5.101221640488657,0.7175195911609422,1.235613800249762,21.772518291198473,adx_14 <= q10
c0190,vix_zscore_20,<=,0.1,q10,-1.7850524187088013,1,long(롱),0.5543140521399482,2923,5.101221640488657,0.8699525969564434,1.2134295003510518,28.087655940839905,vix_zscore_20 <= q10
c0223,nvda_xnas_log_return_1,>=,0.9,q90,0.003214365104213357,1,long(롱),0.5466355144841937,2923,5.101221640488657,0.6129852034005467,1.1242451727942098,15.214082790344152,nvda_xnas_log_return_1 >= q90
c0134,atr_14,>=,0.9,q90,34.621578216552734,1,long(롱),0.5110231587708615,2923,5.101221640488657,1.4360307682204958,1.248199198138692,60.151515548008014,atr_14 >= q90
c0089,rsi_14,>=,0.9,q90,67.18830108642578,1,long(롱),0.5101856261427754,2923,5.101221640488657,0.8067985325888344,1.2197091220918879,28.576528991177874,rsi_14 >= q90
c0104,rsi_14_minus_50,>=,0.9,q90,17.188297271728516,1,long(롱),0.5101856261427754,2923,5.101221640488657,0.8067985325888344,1.2197091220918879,28.576528991177874,rsi_14_minus_50 >= q90
