candidate_id,rule_kind,rule_definition,features,side,train_rank_score,train_net_profit,train_profit_factor,train_expectancy,train_win_rate,train_max_drawdown_percent,train_max_monthly_drawdown_percent,train_underwater_ratio,train_max_loss_streak,train_equity_trend_r2,train_trade_count,train_days_in_scope,train_trades_per_day,train_dd_risk
f20b_pair_0031,pair(쌍),vortex_indicator >= q70 & roc_12 >= q80,vortex_indicator|roc_12,long(롱),1.5563270461412937,2.203401387107427,1.343085608236721,0.00044639412218545926,0.5615883306320908,28.03001045994986,27.253929366658735,0.8845218800648298,22,0.9354926532409764,4936,573,8.614310645724258,28.03001045994986
f20b_pair_0035,pair(쌍),vortex_indicator >= q70 & di_spread_14 >= q70,vortex_indicator|di_spread_14,long(롱),1.500073779161504,2.2894168423390884,1.2850011683721676,0.0003412456166849141,0.5601430913698018,29.223448315203292,29.223448315203303,0.8838873155462811,36,0.9385979747303325,6709,573,11.708551483420594,29.223448315203303
f20b_pair_0034,pair(쌍),vortex_indicator >= q70 & close_ema20_ratio >= q70,vortex_indicator|close_ema20_ratio,long(롱),1.4897904527489965,2.291352311328388,1.2814058020915762,0.0003473851290673723,0.555942995755003,29.416981642677097,28.740554225089475,0.8815949060036385,28,0.9397787891224987,6596,573,11.511343804537521,29.416981642677097
f20b_pair_0033,pair(쌍),vortex_indicator >= q70 & roc_12 >= q70,vortex_indicator|roc_12,long(롱),1.4811487611118381,2.3868295406207554,1.2821393517890225,0.00035235157080318205,0.5563920873929731,31.322629574968307,30.73317906009575,0.8912016533805728,23,0.9133070014565451,6774,573,11.821989528795811,31.322629574968307
f20b_pair_0038,pair(쌍),vortex_indicator >= q70 & bb_position_20 >= q70,vortex_indicator|bb_position_20,long(롱),1.4775422831901415,2.1416777373401916,1.2705469568939776,0.0003226876205123085,0.554316709356637,26.8328157208478,26.50211712421816,0.8888051830646376,23,0.9143558316304143,6637,573,11.582897033158813,26.8328157208478
f20b_pair_0317,pair(쌍),di_spread_14 >= q70 & trix_15 >= q80,di_spread_14|trix_15,long(롱),1.434687645518387,1.830489436173626,1.372743983329532,0.0004405510075026777,0.5805054151624549,25.029134988441058,25.029134988441058,0.8505415162454874,38,0.9245773686145847,4155,573,7.2513089005235605,25.029134988441058
f20b_pair_0039,pair(쌍),vortex_indicator >= q70 & ppo_hist_12_26_9 >= q70,vortex_indicator|ppo_hist_12_26_9,long(롱),1.369828876200765,2.0684686982916745,1.2854788373052626,0.0003725628058882699,0.5497118155619597,28.82196942229749,28.208587204905523,0.9045389048991355,27,0.8813238339931343,5552,573,9.68935427574171,28.82196942229749
f20b_pair_0173,pair(쌍),rsi_50 >= q80 & trix_15 >= q80,rsi_50|trix_15,long(롱),1.3312398235759682,1.6187000323414416,1.3459705281380796,0.00040196176616375505,0.588527439781475,22.732231996715146,22.20830308452213,0.867146759374224,39,0.9316369636398277,4027,573,7.027923211169284,22.732231996715146
f20b_pair_0479,pair(쌍),rsi_50 >= q90 & trix_15 >= q80,rsi_50|trix_15,long(롱),1.2882366086466241,1.1915033487979911,1.4882341514010713,0.000499163531126096,0.6112274821952242,17.529662847461104,17.25404665180631,0.8177628822790113,18,0.9314774929707066,2387,573,4.165794066317627,17.529662847461104
f20b_pair_0326,pair(쌍),di_spread_14 >= q70 & ema20_ema50_diff >= q90,di_spread_14|ema20_ema50_diff,long(롱),1.2880382524968794,1.2561803157247668,1.4857928368041975,0.0005368291947541739,0.5948717948717949,18.98087399532128,14.013634563448552,0.8414529914529915,31,0.8770869926573392,2340,573,4.0837696335078535,18.98087399532128
f20b_single_0002,single(단일),vortex_indicator >= q80,vortex_indicator,long(롱),1.2699831966414674,2.001034026904985,1.2885287695683096,0.0003423497052018794,0.5522668947818649,30.605102797751627,29.149818630057634,0.8863986313088109,31,0.9272368618142296,5845,573,10.200698080279231,30.605102797751627
f20b_pair_0048,pair(쌍),vortex_indicator >= q70 & rsi_14_minus_50 >= q70,vortex_indicator|rsi_14_minus_50,long(롱),1.2540677548344994,1.9457087300842724,1.2421917046571802,0.00028889513438519265,0.5569413511507053,28.5456564826309,27.860878781340393,0.8954714179658501,24,0.9473402921690892,6735,573,11.75392670157068,28.5456564826309
f20b_pair_0049,pair(쌍),vortex_indicator >= q70 & rsi_14 >= q70,vortex_indicator|rsi_14,long(롱),1.2540677548344994,1.9457087300842724,1.2421917046571802,0.00028889513438519265,0.5569413511507053,28.5456564826309,27.860878781340393,0.8954714179658501,24,0.9473402921690892,6735,573,11.75392670157068,28.5456564826309
f20b_single_0003,single(단일),roc_12 >= q80,roc_12,long(롱),1.2526040945843482,2.280431654443386,1.28656616830375,0.0003901508390835562,0.5544910179640719,36.845227928292424,36.64799359844595,0.8944396920444825,29,0.9325009424472787,5845,573,10.200698080279231,36.845227928292424
f20b_pair_0047,pair(쌍),vortex_indicator >= q70 & close_ema20_ratio >= q80,vortex_indicator|close_ema20_ratio,long(롱),1.2435208320994386,1.8762515326728355,1.2902845655282078,0.0003832995980945527,0.5636363636363636,28.936193607133966,28.255158591049444,0.8845760980592441,20,0.9563821517932911,4895,573,8.542757417102967,28.936193607133966
f20b_pair_0037,pair(쌍),vortex_indicator >= q70 & usdx_zscore_20 <= q30,vortex_indicator|usdx_zscore_20,long(롱),1.2318386183549055,1.6769661759774854,1.3627000735213377,0.0004201869646648673,0.5640190428464044,27.10229403830763,25.110867382494806,0.8722124780756703,22,0.9638781616802641,3991,573,6.965095986038395,27.10229403830763
f20b_pair_0079,pair(쌍),vortex_indicator >= q80 & bb_position_20 >= q70,vortex_indicator|bb_position_20,long(롱),1.226013641553582,1.7028200153177266,1.2939882022264912,0.00034772718303404667,0.5562589340412497,25.944608373918687,24.67844917692141,0.8807433122319788,20,0.9430074148222717,4897,573,8.546247818499127,25.944608373918687
f20b_pair_0180,pair(쌍),rsi_50 >= q80 & close_ema50_ratio >= q70,rsi_50|close_ema50_ratio,long(롱),1.2240107033169,1.838974663573529,1.273710714814833,0.0003287405548039916,0.5804433321415803,28.272896256858505,28.226826177704602,0.8802288165892027,49,0.865016328947556,5594,573,9.762652705061083,28.272896256858505
f20b_pair_0586,pair(쌍),di_spread_14 >= q80 & trix_15 >= q80,di_spread_14|trix_15,long(롱),1.2228909964295809,1.4054630438521678,1.3589519587043601,0.00041966648069637736,0.5828605553896685,21.236745742767084,21.236745742767084,0.8339802926246641,29,0.9408893290064592,3349,573,5.844677137870855,21.236745742767084
f20b_single_0004,single(단일),rsi_50 >= q80,rsi_50,long(롱),1.2180249672303372,1.8704273298735314,1.2684962936291602,0.00032000467576963755,0.5806672369546622,28.95864533618513,28.364878511682925,0.8821214713430282,49,0.8807486567305474,5845,573,10.200698080279231,28.95864533618513
f20b_pair_0076,pair(쌍),vortex_indicator >= q80 & di_spread_14 >= q70,vortex_indicator|di_spread_14,long(롱),1.2139018819030696,1.7397783685596575,1.2904765714347637,0.00034608680496511985,0.5603739805052715,26.990522176231522,25.459436441514228,0.8800477421921623,32,0.953041459188573,5027,573,8.773123909249565,26.990522176231522
f20b_pair_0078,pair(쌍),vortex_indicator >= q80 & usdx_zscore_20 <= q30,vortex_indicator|usdx_zscore_20,long(롱),1.2036661815136496,1.2808672379945247,1.3958690911852958,0.0004495848501209283,0.5647595647595648,19.707954163505104,19.707954163505125,0.8571428571428571,20,0.9734844801740881,2849,573,4.972076788830716,19.707954163505125
f20b_pair_0074,pair(쌍),vortex_indicator >= q80 & roc_12 >= q70,vortex_indicator|roc_12,long(롱),1.1998112752431003,1.8781806767475437,1.3005328491909696,0.0003676219762668905,0.556273243296144,30.71699803506165,29.33416254372927,0.8853004501859464,24,0.9232199894310796,5109,573,8.916230366492147,30.71699803506165
f20b_pair_0052,pair(쌍),vortex_indicator >= q70 & vix_zscore_20 <= q20,vortex_indicator|vix_zscore_20,long(롱),1.1960624775361963,1.4140522948299834,1.347156281042854,0.0004303263222245841,0.5566037735849056,21.853677654487313,15.595479005245927,0.8776628119293974,20,0.8947803364331908,3286,573,5.734729493891797,21.853677654487313
f20b_pair_0178,pair(쌍),rsi_50 >= q80 & ema9_ema20_diff >= q70,rsi_50|ema9_ema20_diff,long(롱),1.185203330166428,1.732646633901973,1.2914449638503558,0.0003473629979755359,0.5779871692060946,27.75922177287107,24.990377194199066,0.873897353648757,49,0.8474559546149728,4988,573,8.705061082024432,27.75922177287107
f20b_pair_0075,pair(쌍),vortex_indicator >= q80 & close_ema20_ratio >= q70,vortex_indicator|close_ema20_ratio,long(롱),1.1739341738763889,1.771142007493534,1.2903685532703346,0.00035316889481426403,0.5551345962113658,28.936185702800653,27.445902583837988,0.8775672981056829,20,0.9340936657095121,5015,573,8.7521815008726,28.936185702800653
