attempt_name,record_view,report_path,expected_trade_count,parsed_trade_count,trade_count_delta,parser_status
run267cr_01_s264_aih_state_phase_repl_ta_2024,mt5_ta_s264_aih_state_phase_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_01_s264_aih_state_phase_repl_ta_2024.htm,437,437,0,matched
run267cr_01_s264_aih_state_phase_repl_rt_2024,mt5_rt_s264_aih_state_phase_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_01_s264_aih_state_phase_repl_rt_2024.htm,437,437,0,matched
run267cr_02_s264_lc_state_phase_repl_ta_2024,mt5_ta_s264_lc_state_phase_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_02_s264_lc_state_phase_repl_ta_2024.htm,473,473,0,matched
run267cr_02_s264_lc_state_phase_repl_rt_2024,mt5_rt_s264_lc_state_phase_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_02_s264_lc_state_phase_repl_rt_2024.htm,473,473,0,matched
run267cr_03_s262_lih_state_phase_repl_ta_2024,mt5_ta_s262_lih_state_phase_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_03_s262_lih_state_phase_repl_ta_2024.htm,462,462,0,matched
run267cr_03_s262_lih_state_phase_repl_rt_2024,mt5_rt_s262_lih_state_phase_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_03_s262_lih_state_phase_repl_rt_2024.htm,462,462,0,matched
run267cr_04_s264_aia_state_phase_repl_ta_2024,mt5_ta_s264_aia_state_phase_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_04_s264_aia_state_phase_repl_ta_2024.htm,461,461,0,matched
run267cr_04_s264_aia_state_phase_repl_rt_2024,mt5_rt_s264_aia_state_phase_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_04_s264_aia_state_phase_repl_rt_2024.htm,461,461,0,matched
run267cr_05_s258_stc_state_phase_repl_ta_2024,mt5_ta_s258_stc_state_phase_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_05_s258_stc_state_phase_repl_ta_2024.htm,471,471,0,matched
run267cr_05_s258_stc_state_phase_repl_rt_2024,mt5_rt_s258_stc_state_phase_repl_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_05_s258_stc_state_phase_repl_rt_2024.htm,471,471,0,matched
run267cr_06_s264_aih_aggr_supply_expand_ta_2024,mt5_ta_s264_aih_aggr_supply_expand_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_06_s264_aih_aggr_supply_expand_ta_2024.htm,251,251,0,matched
run267cr_06_s264_aih_aggr_supply_expand_rt_2024,mt5_rt_s264_aih_aggr_supply_expand_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_06_s264_aih_aggr_supply_expand_rt_2024.htm,251,251,0,matched
run267cr_07_s258_stc_redzone_stress_ta_2024,mt5_ta_s258_stc_redzone_stress_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_07_s258_stc_redzone_stress_ta_2024.htm,472,472,0,matched
run267cr_07_s258_stc_redzone_stress_rt_2024,mt5_rt_s258_stc_redzone_stress_historical_2024,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CS/shared_weakness_breakout_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267CS_run267cr_07_s258_stc_redzone_stress_rt_2024.htm,472,472,0,matched
