source_adapter_id,candidate_adapter_id,split,stage83_pf,stage87_pf,delta_pf_vs_stage83,target_34d_pf,gap_pf_vs_34d,stage83_net,stage87_net,delta_net_vs_stage83,target_34d_net,gap_net_vs_34d,stage83_dd_pct,stage87_dd_pct,delta_dd_vs_stage83,target_34d_dd_pct,dd_excess_vs_34d,read
s83_v41_h3_risk5_gate08_sl225_tp40_cd10,s87_v41_h3_risk475_gate08_sl215_tp38_cd10,validation_is,1.47,1.54,0.07,1.583157,-0.043157,826.89,910.48,83.59,987.60,-77.12,27.50,25.98,-1.52,12.909136,13.070864,stage87_best_improves_stage83_but_dd_far_above_34d
s83_v41_h3_risk5_gate08_sl225_tp40_cd10,s87_v41_h3_risk475_gate08_sl215_tp38_cd10,oos,1.53,1.54,0.01,1.583157,-0.043157,541.61,534.74,-6.87,987.60,-452.86,19.22,18.69,-0.53,12.909136,5.780864,oos_pf_and_dd_slightly_better_but_net_erodes_and_window_target_is_lesson_only
