run_id,group_column,group_value,trade_count,net_profit_after_cost,profit_before_swap,swap,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,claim_boundary(주장 경계)
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-01,74,-23.76,-18.95,-4.81,242.83,-266.59,0.910874376,-0.321081,40,34,54.054054,-56.05,16.32,8.0,1100,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-02,62,-1.36,0.49,-1.85,165.58,-166.94,0.99185336,-0.021935,31,31,50.0,-20.16,14.47,8.0,239,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-03,74,-6.67,0.36,-7.03,367.01,-373.68,0.982150503,-0.090135,40,34,54.054054,-37.11,45.76,8.0,819,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-04,106,271.12,277.04,-5.92,687.57,-416.45,1.651026534,2.557736,67,39,63.207547,-40.91,89.79,8.0,1094,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-05,66,63.95,69.13,-5.18,203.84,-139.89,1.4571449,0.968939,39,27,59.090909,-17.54,24.58,8.0,1670,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-06,66,72.93,76.26,-3.33,193.87,-120.94,1.603026294,1.105,37,29,56.060606,-19.46,24.66,8.0,808,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-07,40,7.09,7.83,-0.74,83.95,-76.86,1.092245641,0.17725,22,18,55.0,-9.45,18.45,9.0,232,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-08,46,3.63,4.37,-0.74,132.91,-129.28,1.028078589,0.078913,23,23,50.0,-19.92,27.76,8.5,249,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-09,49,19.5,20.98,-1.48,128.71,-109.21,1.178555077,0.397959,22,27,44.897959,-14.15,31.8,9.0,233,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-10,66,81.38,83.23,-1.85,235.81,-154.43,1.526970148,1.23303,43,23,65.151515,-18.4,23.85,8.0,806,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-11,61,118.38,122.82,-4.44,351.87,-233.49,1.507002441,1.940656,36,25,59.016393,-33.68,66.25,8.0,808,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2025-12,60,-12.18,-10.7,-1.48,147.48,-159.66,0.92371289,-0.203,30,30,50.0,-23.32,19.99,8.0,234,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2026-01,70,34.42,35.9,-1.48,217.3,-182.88,1.188210849,0.491714,40,30,57.142857,-20.47,33.04,8.0,232,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2026-02,76,18.09,22.9,-4.81,272.24,-254.15,1.071178438,0.238026,36,40,47.368421,-28.76,24.37,8.0,1095,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2026-03,87,72.37,74.96,-2.59,331.04,-258.67,1.279777322,0.831839,52,35,59.770115,-25.65,23.67,8.0,818,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,exit_month,2026-04,44,99.78,100.89,-1.11,170.27,-70.49,2.415519932,2.267727,30,14,68.181818,-12.93,30.1,8.0,231,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
