run_id,trade_index,exit_time,exit_month,entry_hour,side,net_profit_after_cost,balance_after,closed_balance_peak,closed_balance_drawdown_amount,closed_balance_drawdown_percent,hold_m5_calendar,claim_boundary(주장 경계)
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,166,2025-03-11 20:15:00,2025-03,19,long,-13.3,361.83,549.62,187.79,34.167243,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,164,2025-03-11 18:25:00,2025-03,17,long,-14.93,362.76,549.62,186.86,33.998035,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,165,2025-03-11 19:30:00,2025-03,18,long,12.37,375.13,549.62,174.49,31.747389,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,163,2025-03-10 18:30:00,2025-03,17,long,-17.1,377.69,549.62,171.93,31.281613,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,168,2025-03-12 18:25:00,2025-03,17,long,-7.33,392.34,549.62,157.28,28.616135,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,162,2025-03-10 17:45:00,2025-03,21,long,-37.11,394.79,549.62,154.83,28.170372,818,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,173,2025-03-13 19:10:00,2025-03,18,long,-8.66,397.51,549.62,152.11,27.675485,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,171,2025-03-13 17:40:00,2025-03,20,long,-14.0,399.18,549.62,150.44,27.371639,254,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,167,2025-03-12 17:40:00,2025-03,20,long,37.84,399.67,549.62,149.95,27.282486,254,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,169,2025-03-12 19:40:00,2025-03,19,long,9.48,401.82,549.62,147.8,26.891307,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
