adapter_id,split,segment_type,segment,profit_factor,net_profit,expectancy,trade_count,flag
s91_v41_h3_risk475_gate08_sl205_tp40_cd10,validation_is,chronological_third,early,1.455307198,197.79,2.908676471,68,ok
s91_v41_h3_risk475_gate08_sl205_tp40_cd10,validation_is,chronological_third,mid,1.303289711,184.94,2.760298507,67,validation_mid_softness
s91_v41_h3_risk475_gate08_sl205_tp40_cd10,validation_is,chronological_third,late,1.60578323,391.13,5.837761194,67,ok
s91_v41_h3_risk475_gate08_sl205_tp40_cd10,oos,chronological_third,early,1.048662836,13.72,0.2540740741,54,oos_early_flatline_risk
s91_v41_h3_risk475_gate08_sl205_tp40_cd10,oos,chronological_third,mid,2.355638992,386.33,7.289245283,53,ok
s91_v41_h3_risk475_gate08_sl205_tp40_cd10,oos,chronological_third,late,1.418258174,209.15,3.946226415,53,ok
s91_v41_h3_risk45_gate08_sl205_tp38_cd10,validation_is,chronological_third,early,1.452098373,184.75,2.716911765,68,ok
s91_v41_h3_risk45_gate08_sl205_tp38_cd10,validation_is,chronological_third,mid,1.294867174,163.61,2.441940299,67,validation_mid_softness
s91_v41_h3_risk45_gate08_sl205_tp38_cd10,validation_is,chronological_third,late,1.710559862,412.48,6.15641791,67,ok
s91_v41_h3_risk45_gate08_sl205_tp38_cd10,oos,chronological_third,early,1.024720027,6.6,0.1222222222,54,oos_early_flatline_risk
s91_v41_h3_risk45_gate08_sl205_tp38_cd10,oos,chronological_third,mid,2.338973185,345.04,6.510188679,53,ok
s91_v41_h3_risk45_gate08_sl205_tp38_cd10,oos,chronological_third,late,1.411721267,183.99,3.471509434,53,ok
s91_v41_h3_risk475_gate08_sl210_tp38_cd10,validation_is,chronological_third,early,1.702972272,281.92,4.145882353,68,ok
s91_v41_h3_risk475_gate08_sl210_tp38_cd10,validation_is,chronological_third,mid,1.272924978,181.97,2.715970149,67,validation_mid_softness
s91_v41_h3_risk475_gate08_sl210_tp38_cd10,validation_is,chronological_third,late,1.698233883,480.35,7.169402985,67,ok
s91_v41_h3_risk475_gate08_sl210_tp38_cd10,oos,chronological_third,early,1.013229796,3.68,0.06814814815,54,oos_early_flatline_risk
s91_v41_h3_risk475_gate08_sl210_tp38_cd10,oos,chronological_third,mid,2.297266176,349.25,6.589622642,53,ok
s91_v41_h3_risk475_gate08_sl210_tp38_cd10,oos,chronological_third,late,1.393751342,183.37,3.459811321,53,ok
