queue_id,thesis_id,guard_family,source_artifact,scoring_mode,signal_payload_path,signal_payload_sha256,signal_rows,source_signal_rows,guarded_signal_drop_rows,runtime_probe_status,runtime_probe_reason,claim_boundary
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__control_no_veto_signals.csv,a4106dfb3007bceca584c001380ea68dc98fec188ba521ff58aaac267a9ed064,486,486,0,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__hard_veto_signals.csv,190c9d298546ae0cefc990887df9252e42fdd0fb5414194e4e21e744dccecf7b,434,486,52,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__soft_veto_signals.csv,45aed75da7df3f27c426a9657e825615e1181e51a7b06650d252f62ab8d1a71c,486,486,0,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__negative_control_signals.csv,f4b0dc2f24cde1ee49595c153d3239461470aed4ae60f399f5519309a1a0844d,484,486,2,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__control_no_veto_signals.csv,e98f2efeea8b6c1e5659ef1b65ccd6ad6408ee8b5493c098e7e1af44fce69960,486,486,0,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__hard_veto_signals.csv,9c38a790b461a0d796da1b8671738ebf7c04a502524005ec48c12cf356fe7f5b,468,486,18,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__soft_veto_signals.csv,07681898b7330df72c53c884e667db53b10f2530086f1087f2335ff7fe3bf051,486,486,0,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__negative_control_signals.csv,b2c1cfec5c8d228edf7b58a0e2dd54e3b26a8037cb4f7c6700db55faaab761af,418,486,68,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,control_no_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_macro_rate_volatility_guard__control_no_veto_signals.csv,43164db6b0b0c55fcb297fe60113a690e68b9bc2d9911a954c0f8781b2c7f174,2562,2562,0,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,hard_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_macro_rate_volatility_guard__hard_veto_signals.csv,4efae5a50a30720a1d222c08240758c737df8a04c5a9ddd48c4c72f4199ed4dd,2414,2562,148,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,soft_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_macro_rate_volatility_guard__soft_veto_signals.csv,96e121391493114aabd4a11268abd30262c38565c117ebf2d9055434f9d28ac6,2562,2562,0,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,negative_control,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_macro_rate_volatility_guard__negative_control_signals.csv,4d929656984a8da2e645144da4b37e9657e1217718437b1b7ed2c76194808e5c,2535,2562,27,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,control_no_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_breadth_reintroduction_control__control_no_veto_signals.csv,858599d87f0eafb501bca35b0edee4731e318e2209b504af6820e890e5fed09a,2562,2562,0,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__hard_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,hard_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_breadth_reintroduction_control__hard_veto_signals.csv,297f02ec1c12cb1dbce56db96cc6a9eee8a831d49582b1e1f56964f3c847105d,313,2562,2249,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__soft_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,soft_veto,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_breadth_reintroduction_control__soft_veto_signals.csv,de7ad1045942869d67c1a6592467070623ec4a42479f77c05932662ffe16010c,473,2562,2089,deferred_until_run333D_curve_screen,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__negative_control,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,negative_control,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_breadth_reintroduction_control__negative_control_signals.csv,5da82c209c76f2c87fecf4203ce4f1cc174db8b89cd5daccfc3156794fdbd120,0,2562,2562,excluded_expected_invalid_control,cost_curve_and_pocket_screen_required_before_mt5_runtime_probe,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
