queue_id,thesis_id,guard_family,source_artifact,scoring_mode,source_signal_payload_path,source_signal_rows,feature_rows,valid_score_rows,abstain_rows,hard_veto_rows,soft_zone_rows,negative_control_rows,output_signal_rows,dropped_signal_rows,invalid_expected_flag,scored_payload_path,scored_payload_sha256,signal_payload_path,signal_payload_sha256,materialization_status,claim_boundary
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_raw_forward_signals.csv,486,2070,2070,0,100,364,106,486,0,0,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/scored_payloads/pv_c56_volatility_cost_shape_sentry__control_no_veto_scored_payload.csv,b25c3544df0006c0aa2f8ab3d01b2ff85e36538e62d966aef51ba938cb7b0503,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__control_no_veto_signals.csv,a4106dfb3007bceca584c001380ea68dc98fec188ba521ff58aaac267a9ed064,materialized_scored_signal_payload,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,hard_veto,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_raw_forward_signals.csv,486,2070,2070,0,100,364,106,434,52,0,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/scored_payloads/pv_c56_volatility_cost_shape_sentry__hard_veto_scored_payload.csv,ca17e55f70352671e8dda000b276b4bc575b6ea91e719d22f1fa6c2af6fdb718,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__hard_veto_signals.csv,190c9d298546ae0cefc990887df9252e42fdd0fb5414194e4e21e744dccecf7b,materialized_scored_signal_payload,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,soft_veto,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_raw_forward_signals.csv,486,2070,2070,0,100,364,106,486,0,0,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/scored_payloads/pv_c56_volatility_cost_shape_sentry__soft_veto_scored_payload.csv,9e98ad69232de225352b58025772e4e1c16d4835a21fc4ff89a5bf25d5790735,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__soft_veto_signals.csv,45aed75da7df3f27c426a9657e825615e1181e51a7b06650d252f62ab8d1a71c,materialized_scored_signal_payload,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,negative_control,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_raw_forward_signals.csv,486,2070,2070,0,100,364,106,484,2,0,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/scored_payloads/pv_c56_volatility_cost_shape_sentry__negative_control_scored_payload.csv,cb5113c64f9224337fb781bd95e6d5c84303c7e392579e06b251b9443679a14c,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_volatility_cost_shape_sentry__negative_control_signals.csv,f4b0dc2f24cde1ee49595c153d3239461470aed4ae60f399f5519309a1a0844d,materialized_scored_signal_payload,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,control_no_veto,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_raw_forward_signals.csv,486,2070,2070,0,309,309,338,486,0,0,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/scored_payloads/pv_c56_session_liquidity_veto__control_no_veto_scored_payload.csv,a756401b0f65f5021e8fba6b1954cf3383b4bf7505ec03e4193edfd78ee1cfda,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__control_no_veto_signals.csv,e98f2efeea8b6c1e5659ef1b65ccd6ad6408ee8b5493c098e7e1af44fce69960,materialized_scored_signal_payload,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_raw_forward_signals.csv,486,2070,2070,0,309,309,338,468,18,0,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/scored_payloads/pv_c56_session_liquidity_veto__hard_veto_scored_payload.csv,d950310ccc91af7cdaa0ddce0373adb0f29782e666f1d3d5d5b3617d586ccb84,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__hard_veto_signals.csv,9c38a790b461a0d796da1b8671738ebf7c04a502524005ec48c12cf356fe7f5b,materialized_scored_signal_payload,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_raw_forward_signals.csv,486,2070,2070,0,309,309,338,486,0,0,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/scored_payloads/pv_c56_session_liquidity_veto__soft_veto_scored_payload.csv,04bcbb60906e3372dc73f4c14fb22b35037d36b4288932bb84b57e6cf2102704,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__soft_veto_signals.csv,07681898b7330df72c53c884e667db53b10f2530086f1087f2335ff7fe3bf051,materialized_scored_signal_payload,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/c56_plain_raw_forward_signals.csv,486,2070,2070,0,309,309,338,418,68,0,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/scored_payloads/pv_c56_session_liquidity_veto__negative_control_scored_payload.csv,6b7ef08bc8ee2c999c31daa523fb73649e5768817c3fd8134a74d8ad94fe97aa,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_c56_session_liquidity_veto__negative_control_signals.csv,b2c1cfec5c8d228edf7b58a0e2dd54e3b26a8037cb4f7c6700db55faaab761af,materialized_scored_signal_payload,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,control_no_veto,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/m48_plain_raw_forward_signals.csv,2562,5484,5484,0,267,1055,63,2562,0,0,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/scored_payloads/pv_m48_macro_rate_volatility_guard__control_no_veto_scored_payload.csv,c158edb6a3c231a0e3049536bf3d9835608a9d41e54e1b62ed04717299cf3ca5,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_macro_rate_volatility_guard__control_no_veto_signals.csv,43164db6b0b0c55fcb297fe60113a690e68b9bc2d9911a954c0f8781b2c7f174,materialized_scored_signal_payload,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,hard_veto,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330B/signal_payloads/m48_plain_raw_forward_signals.csv,2562,5484,5484,0,267,1055,63,2414,148,0,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/scored_payloads/pv_m48_macro_rate_volatility_guard__hard_veto_scored_payload.csv,928d8349752b8f19f47fe02843c78b04bdf57b60e6843c1e645f0e0e4905253c,stages/333_overfit_guard__timestamp_safe_pocket_veto_materialization/02_runs/run333C/signal_payloads/pv_m48_macro_rate_volatility_guard__hard_veto_signals.csv,4efae5a50a30720a1d222c08240758c737df8a04c5a9ddd48c4c72f4199ed4dd,materialized_scored_signal_payload,research_development_only_guarded_veto_scoring_payload_materialization_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
