attempt_name,artifact_slug,direction,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
c56_bal_sp,c56_bal,buy,41,107.21,211.98,-104.77,2.023289,2.614878,0.658537,40.99
c56_bal_sp,c56_bal,sell,29,-63.97,121.98,-185.95,0.655983,-2.205862,0.413793,68.4
c56_plain_sp,c56_plain,buy,55,155.51,287.22,-131.71,2.1807,2.827455,0.6,38.91
c56_plain_sp,c56_plain,sell,15,10.15,69.44,-59.29,1.171192,0.676667,0.533333,28.55
m48_bal_sp,m48_bal,buy,40,145.37,225.86,-80.49,2.806063,3.63425,0.725,32.93
m48_bal_sp,m48_bal,sell,31,-29.18,123.04,-152.22,0.808304,-0.94129,0.451613,56.23
m48_plain_sp,m48_plain,buy,54,171.13,288.91,-117.78,2.452963,3.169074,0.666667,36.45
m48_plain_sp,m48_plain,sell,15,2.29,61.58,-59.29,1.038624,0.152667,0.533333,28.55
u42_bal_sp,u42_bal,buy,38,81.75,193.89,-112.14,1.728999,2.151316,0.684211,31.15
u42_bal_sp,u42_bal,sell,32,-77.76,122.02,-199.78,0.610772,-2.43,0.40625,77.76
u42_plain_sp,u42_plain,buy,57,140.98,286.89,-145.91,1.966212,2.473333,0.666667,40.25
u42_plain_sp,u42_plain,sell,15,-20.2,58.09,-78.29,0.741985,-1.346667,0.533333,52.6
