attempt_name,artifact_slug,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
u42_bal_sp,u42_bal,hour,22,1,-25.77,0,-25.77,0.0,-25.77,0.0,25.77
u42_plain_sp,u42_plain,hour,16,25,74.82,149.58,-74.76,2.000803,2.9928,0.64,31.79
u42_plain_sp,u42_plain,hour,17,16,42.2,98.3,-56.1,1.752228,2.6375,0.8125,28.17
u42_plain_sp,u42_plain,hour,18,14,3.93,17.22,-13.29,1.295711,0.280714,0.571429,5.11
u42_plain_sp,u42_plain,hour,19,5,27.05,37.8,-10.75,3.516279,5.41,0.6,10.64
u42_plain_sp,u42_plain,hour,20,6,16.05,19.36,-3.31,5.848943,2.675,0.833333,3.31
u42_plain_sp,u42_plain,hour,21,5,-25.66,22.72,-48.38,0.469616,-5.132,0.2,41.16
u42_plain_sp,u42_plain,hour,22,1,-17.61,0,-17.61,0.0,-17.61,0.0,17.61
c56_bal_sp,c56_bal,month,2026-04,26,-16.08,99.17,-115.25,0.860477,-0.618462,0.423077,80.24
c56_bal_sp,c56_bal,month,2026-05,44,59.32,234.79,-175.47,1.338063,1.348182,0.636364,59.51
c56_plain_sp,c56_plain,month,2026-04,24,29.9,83.28,-53.38,1.560135,1.245833,0.541667,30.37
c56_plain_sp,c56_plain,month,2026-05,46,135.76,273.38,-137.62,1.986485,2.951304,0.608696,40.92
m48_bal_sp,m48_bal,month,2026-04,25,5.33,97.29,-91.96,1.05796,0.2132,0.48,42.06
m48_bal_sp,m48_bal,month,2026-05,46,110.86,251.61,-140.75,1.787638,2.41,0.673913,32.65
m48_plain_sp,m48_plain,month,2026-04,24,64.45,103.5,-39.05,2.650448,2.685417,0.666667,20.47
m48_plain_sp,m48_plain,month,2026-05,45,108.97,246.99,-138.02,1.789523,2.421556,0.622222,40.25
u42_bal_sp,u42_bal,month,2026-04,25,-50.66,76.17,-126.83,0.600568,-2.0264,0.4,62.75
u42_bal_sp,u42_bal,month,2026-05,45,54.65,239.74,-185.09,1.295262,1.214444,0.644444,51.16
u42_plain_sp,u42_plain,month,2026-04,25,67.81,105.48,-37.67,2.800106,2.7124,0.6,14.9
u42_plain_sp,u42_plain,month,2026-05,47,52.97,239.5,-186.53,1.283976,1.127021,0.659574,63.93
c56_bal_sp,c56_bal,volatility_regime,vol_high,38,69.91,209.16,-139.25,1.502047,1.839737,0.578947,44.04
c56_bal_sp,c56_bal,volatility_regime,vol_low,12,-41.29,35.37,-76.66,0.461388,-3.440833,0.333333,54.79
c56_bal_sp,c56_bal,volatility_regime,vol_mid,20,14.62,89.43,-74.81,1.195428,0.731,0.65,35.32
c56_plain_sp,c56_plain,volatility_regime,vol_high,35,67.87,184.76,-116.89,1.580631,1.939143,0.542857,45.11
c56_plain_sp,c56_plain,volatility_regime,vol_low,12,29.09,69.28,-40.19,1.723812,2.424167,0.5,40.19
c56_plain_sp,c56_plain,volatility_regime,vol_mid,23,68.7,102.62,-33.92,3.025354,2.986957,0.695652,10.16
m48_bal_sp,m48_bal,volatility_regime,vol_high,39,88.76,206.49,-117.73,1.753928,2.275897,0.615385,32.65
m48_bal_sp,m48_bal,volatility_regime,vol_low,12,-25.6,40.76,-66.36,0.614225,-2.133333,0.416667,39.0
m48_bal_sp,m48_bal,volatility_regime,vol_mid,20,53.03,101.65,-48.62,2.090703,2.6515,0.7,22.34
m48_plain_sp,m48_plain,volatility_regime,vol_high,36,71.09,188.38,-117.29,1.606105,1.974722,0.583333,37.02
m48_plain_sp,m48_plain,volatility_regime,vol_low,11,30.66,56.52,-25.86,2.185615,2.787273,0.727273,23.48
m48_plain_sp,m48_plain,volatility_regime,vol_mid,22,71.67,105.59,-33.92,3.112913,3.257727,0.681818,10.16
u42_bal_sp,u42_bal,volatility_regime,vol_high,36,69.42,203.83,-134.41,1.516479,1.928333,0.638889,30.86
u42_bal_sp,u42_bal,volatility_regime,vol_low,13,-58.73,28.63,-87.36,0.327724,-4.517692,0.384615,59.38
u42_bal_sp,u42_bal,volatility_regime,vol_mid,21,-6.7,83.45,-90.15,0.925679,-0.319048,0.52381,25.37
u42_plain_sp,u42_plain,volatility_regime,vol_high,41,19.38,175.6,-156.22,1.124056,0.472683,0.634146,57.22
u42_plain_sp,u42_plain,volatility_regime,vol_low,9,23.15,46.72,-23.57,1.982181,2.572222,0.555556,19.95
u42_plain_sp,u42_plain,volatility_regime,vol_mid,22,78.25,122.66,-44.41,2.761991,3.556818,0.681818,17.61
c56_bal_sp,c56_bal,adx_bucket,adx_20_25,15,-25.37,66.21,-91.58,0.722974,-1.691333,0.533333,60.85
c56_bal_sp,c56_bal,adx_bucket,adx_gt25,34,-8.21,139.11,-147.32,0.944271,-0.241471,0.5,53.5
c56_bal_sp,c56_bal,adx_bucket,adx_lt20,21,76.82,128.64,-51.82,2.482439,3.658095,0.666667,29.18
c56_plain_sp,c56_plain,adx_bucket,adx_20_25,19,-20.69,67.63,-88.32,0.765738,-1.088947,0.578947,59.26
c56_plain_sp,c56_plain,adx_bucket,adx_gt25,33,65.67,153.85,-88.18,1.744727,1.99,0.515152,37.14
c56_plain_sp,c56_plain,adx_bucket,adx_lt20,18,120.68,135.18,-14.5,9.322759,6.704444,0.722222,9.73
m48_bal_sp,m48_bal,adx_bucket,adx_20_25,18,0.08,74.17,-74.09,1.00108,0.004444,0.611111,43.36
m48_bal_sp,m48_bal,adx_bucket,adx_gt25,33,39.58,142.45,-102.87,1.384757,1.199394,0.545455,29.37
m48_bal_sp,m48_bal,adx_bucket,adx_lt20,20,76.53,132.28,-55.75,2.372735,3.8265,0.7,29.18
m48_plain_sp,m48_plain,adx_bucket,adx_20_25,18,-1.26,81.84,-83.1,0.984838,-0.07,0.666667,52.18
m48_plain_sp,m48_plain,adx_bucket,adx_gt25,32,31.88,113.36,-81.48,1.391262,0.99625,0.53125,37.14
m48_plain_sp,m48_plain,adx_bucket,adx_lt20,19,142.8,155.29,-12.49,12.433147,7.515789,0.789474,9.73
u42_bal_sp,u42_bal,adx_bucket,adx_20_25,20,-65.38,57.12,-122.5,0.466286,-3.269,0.5,66.6
u42_bal_sp,u42_bal,adx_bucket,adx_gt25,32,-28.52,132.83,-161.35,0.823241,-0.89125,0.5,46.97
u42_bal_sp,u42_bal,adx_bucket,adx_lt20,18,97.89,125.96,-28.07,4.487353,5.438333,0.722222,17.12
u42_plain_sp,u42_plain,adx_bucket,adx_20_25,21,44.53,107.77,-63.24,1.704143,2.120476,0.761905,50.8
u42_plain_sp,u42_plain,adx_bucket,adx_gt25,35,31.61,134.42,-102.81,1.30746,0.903143,0.571429,54.28
