record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count,queue_id,candidate_id,candidate_alias,candidate_role,test_id,feature_family,model_materialization_type,materialization_boundary
mt5_ta_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1269.97,1.53,323,3.93,370.6,17.52,3.43,579,579,0,59283,11651,11651,run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,supervised_ebm_true_internal_ablation_main_effect_v1,true_internal_feature_order_supervised_score_table
mt5_rt_s264_aih_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,1269.97,1.53,323,3.93,370.6,17.52,3.43,579,579,0,59283,11651,11651,run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,volatility_bandwidth,supervised_ebm_true_internal_ablation_main_effect_v1,true_internal_feature_order_supervised_score_table
mt5_ta_s264_aih_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1130.52,1.44,354,3.19,387.04,19.46,2.92,638,638,0,59283,11651,11651,run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,trend_strength_direction,supervised_ebm_true_internal_ablation_main_effect_v1,true_internal_feature_order_supervised_score_table
mt5_rt_s264_aih_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,1130.52,1.44,354,3.19,387.04,19.46,2.92,638,638,0,59283,11651,11651,run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,trend_strength_direction,supervised_ebm_true_internal_ablation_main_effect_v1,true_internal_feature_order_supervised_score_table
mt5_ta_s264_aih_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1097.96,1.51,308,3.56,340.25,18.19,3.23,561,561,0,59283,11651,11651,run267W_03_s264_aih_rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength(추세 강도),supervised_ebm_true_internal_ablation_main_effect_v1,true_internal_feature_order_supervised_score_table
mt5_rt_s264_aih_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,1097.96,1.51,308,3.56,340.25,18.19,3.23,561,561,0,59283,11651,11651,run267W_03_s264_aih_rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength(추세 강도),supervised_ebm_true_internal_ablation_main_effect_v1,true_internal_feature_order_supervised_score_table
mt5_ta_s264_aih_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1177.35,1.52,337,3.49,342.33,17.25,3.44,608,608,0,59283,11651,11651,run267W_04_s264_aih_rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_risk(변동성 위험),supervised_ebm_true_internal_ablation_main_effect_v1,true_internal_feature_order_supervised_score_table
mt5_rt_s264_aih_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,1177.35,1.52,337,3.49,342.33,17.25,3.44,608,608,0,59283,11651,11651,run267W_04_s264_aih_rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_risk(변동성 위험),supervised_ebm_true_internal_ablation_main_effect_v1,true_internal_feature_order_supervised_score_table
mt5_ta_s264_lc_abl_gate_rank_bucket_true_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,52.75,1.09,165,0.32,126.65,20.42,0.42,308,308,0,59283,11651,11651,run267W_05_s264_lc_abl_gate_rank_bucket,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,source_feature_rank_bucket,supervised_ebm_true_internal_ablation_main_effect_v1,true_internal_feature_order_supervised_score_table
mt5_rt_s264_lc_abl_gate_rank_bucket_true_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,52.75,1.09,165,0.32,126.65,20.42,0.42,308,308,0,59283,11651,11651,run267W_05_s264_lc_abl_gate_rank_bucket,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,source_feature_rank_bucket,supervised_ebm_true_internal_ablation_main_effect_v1,true_internal_feature_order_supervised_score_table
