attempt_name,artifact_slug,dimension,proxy_expected_value,mt5_runtime_value,difference_proxy_minus_mt5,difference_status,proxy_source,mt5_source,usable_for_runtime_signal_parity,usable_for_forward_pass_fail,runtime_skip_reason,claim_boundary
m48_bal_rf,m48_bal,feature_ready_count,5640,5553,87,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 19:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,model_ok_count,5640,5553,87,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 19:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,long_count,2077,2056,21,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 19:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,short_count,341,336,5,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 19:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,flat_count,3222,3161,61,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 19:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,feature_ready_count,5640,5553,87,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 19:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,model_ok_count,5640,5553,87,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 19:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,long_count,2489,2457,32,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 19:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,short_count,161,160,1,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 19:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,flat_count,2990,2936,54,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 19:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
