run_id,adapter_id,split,max_drawdown_amount,max_drawdown_percent,drawdown_peak_index,drawdown_trough_index,drawdown_peak_time,drawdown_trough_time,recovered,recovery_index,recovery_time,recovery_trades,max_underwater_trades,final_balance_is_new_high,drawdown_flag
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_highedge_control,validation_is,151.52,9.0307,251,268,2025.08.15 16:50:00,2025.09.03 16:50:00,True,282,2025.09.24 16:55:00,14,30,False,dd_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_highedge_control,oos,103.92,9.5478,133,146,2026.02.12 22:50:07,2026.02.24 16:38:51,True,165,2026.03.09 17:45:00,19,31,False,dd_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_lowedge_filter,validation_is,155.62,9.0536,248,265,2025.08.15 16:50:00,2025.09.03 16:50:00,True,277,2025.09.23 16:41:55,12,28,False,dd_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_lowedge_filter,oos,100.21,9.5916,128,141,2026.02.12 22:50:07,2026.02.24 16:38:51,True,160,2026.03.09 17:45:00,19,31,False,dd_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_midlow_lowedge_filter,validation_is,134.15,12.9281,143,157,2025.04.25 16:50:00,2025.05.05 17:35:00,True,189,2025.06.12 17:25:00,32,45,False,dd_above_34d
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_midlow_lowedge_filter,oos,95.37,9.5066,123,136,2026.02.12 22:50:07,2026.02.24 16:38:51,True,155,2026.03.09 17:45:00,19,32,False,dd_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_vhigh_highedge_relax,validation_is,151.52,9.0307,251,268,2025.08.15 16:50:00,2025.09.03 16:50:00,True,282,2025.09.24 16:55:00,14,30,False,dd_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_vhigh_highedge_relax,oos,103.92,9.5478,133,146,2026.02.12 22:50:07,2026.02.24 16:38:51,True,165,2026.03.09 17:45:00,19,31,False,dd_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_filter_vhigh_relax,validation_is,155.62,9.0536,248,265,2025.08.15 16:50:00,2025.09.03 16:50:00,True,277,2025.09.23 16:41:55,12,28,False,dd_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_filter_vhigh_relax,oos,100.21,9.5916,128,141,2026.02.12 22:50:07,2026.02.24 16:38:51,True,160,2026.03.09 17:45:00,19,31,False,dd_measurement_only
