run_id,adapter_id,split,status,report_path,initial_balance,final_balance,net_profit,closed_trade_count,profit_factor,legacy_34d_pf,legacy_34d_dd_percent,max_drawdown_amount,max_drawdown_percent,report_balance_drawdown_maximal,report_equity_drawdown_maximal,report_balance_drawdown_relative,report_equity_drawdown_relative,late_net_share,weak_segments,split_quality_flag
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_highedge_control,validation_is,completed,stages/260_adapter_research__tight_plus_highedge_pf_oos_recovery_repair/02_runs/run260A/mt5/reports/Project_Obsidian_Prime_v2_run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1_s260_highedge_control_rt_val.htm,500,1704.24,1204.24,291,1.557224,1.583157,12.909136,151.52,9.0307,151.52 (9.03%),166.17 (9.10%),12.79% (97.07),13.01% (98.95),0.4191,mid;late,validation_segment_pf_below_34d
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_highedge_control,oos,completed,stages/260_adapter_research__tight_plus_highedge_pf_oos_recovery_repair/02_runs/run260A/mt5/reports/Project_Obsidian_Prime_v2_run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1_s260_highedge_control_rt_oos.htm,500,1328.96,828.96,208,1.704455,1.583157,12.909136,103.92,9.5478,103.92 (9.55%),117.12 (10.72%),13.90% (82.18),15.85% (94.80),0.3481,late,acceptable_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_lowedge_filter,validation_is,completed,stages/260_adapter_research__tight_plus_highedge_pf_oos_recovery_repair/02_runs/run260A/mt5/reports/Project_Obsidian_Prime_v2_run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1_s260_lowrank_lowedge_filter_rt_val.htm,500,1791.28,1291.28,287,1.605087,1.583157,12.909136,155.62,9.0536,155.62 (9.05%),174.31 (9.09%),11.07% (137.59),12.16% (151.97),0.4123,late,validation_segment_pf_below_34d
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_lowedge_filter,oos,completed,stages/260_adapter_research__tight_plus_highedge_pf_oos_recovery_repair/02_runs/run260A/mt5/reports/Project_Obsidian_Prime_v2_run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1_s260_lowrank_lowedge_filter_rt_oos.htm,500,1275.97,775.97,202,1.695825,1.583157,12.909136,100.21,9.5916,100.21 (9.59%),112.81 (10.75%),13.84% (81.56),15.80% (94.18),0.3667,late,acceptable_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_midlow_lowedge_filter,validation_is,completed,stages/260_adapter_research__tight_plus_highedge_pf_oos_recovery_repair/02_runs/run260A/mt5/reports/Project_Obsidian_Prime_v2_run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1_s260_midlow_lowedge_filter_rt_val.htm,500,1472.15,972.15,269,1.586973,1.583157,12.909136,134.15,12.9281,134.15 (12.93%),146.22 (14.01%),12.93% (134.15),14.01% (146.22),0.4621,mid,validation_dd_above_34d;validation_segment_pf_below_34d
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_midlow_lowedge_filter,oos,completed,stages/260_adapter_research__tight_plus_highedge_pf_oos_recovery_repair/02_runs/run260A/mt5/reports/Project_Obsidian_Prime_v2_run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1_s260_midlow_lowedge_filter_rt_oos.htm,500,1276.02,776.02,195,1.775973,1.583157,12.909136,95.37,9.5066,95.37 (9.51%),107.36 (10.66%),12.23% (70.03),14.13% (81.69),0.4163,,acceptable_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_vhigh_highedge_relax,validation_is,completed,stages/260_adapter_research__tight_plus_highedge_pf_oos_recovery_repair/02_runs/run260A/mt5/reports/Project_Obsidian_Prime_v2_run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1_s260_vhigh_highedge_relax_rt_val.htm,500,1704.24,1204.24,291,1.557224,1.583157,12.909136,151.52,9.0307,151.52 (9.03%),166.17 (9.10%),12.79% (97.07),13.01% (98.95),0.4191,mid;late,validation_segment_pf_below_34d
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_vhigh_highedge_relax,oos,completed,stages/260_adapter_research__tight_plus_highedge_pf_oos_recovery_repair/02_runs/run260A/mt5/reports/Project_Obsidian_Prime_v2_run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1_s260_vhigh_highedge_relax_rt_oos.htm,500,1328.96,828.96,208,1.704455,1.583157,12.909136,103.92,9.5478,103.92 (9.55%),117.12 (10.72%),13.90% (82.18),15.85% (94.80),0.3481,late,acceptable_measurement_only
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_filter_vhigh_relax,validation_is,completed,stages/260_adapter_research__tight_plus_highedge_pf_oos_recovery_repair/02_runs/run260A/mt5/reports/Project_Obsidian_Prime_v2_run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1_s260_lowrank_filter_vhigh_relax_rt_val.htm,500,1791.28,1291.28,287,1.605087,1.583157,12.909136,155.62,9.0536,155.62 (9.05%),174.31 (9.09%),11.07% (137.59),12.16% (151.97),0.4123,late,validation_segment_pf_below_34d
run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1,s260_lowrank_filter_vhigh_relax,oos,completed,stages/260_adapter_research__tight_plus_highedge_pf_oos_recovery_repair/02_runs/run260A/mt5/reports/Project_Obsidian_Prime_v2_run260A_stage260_tight_plus_highedge_pf_oos_recovery_repair_v1_s260_lowrank_filter_vhigh_relax_rt_oos.htm,500,1275.97,775.97,202,1.695825,1.583157,12.909136,100.21,9.5916,100.21 (9.59%),112.81 (10.75%),13.84% (81.56),15.80% (94.18),0.3667,late,acceptable_measurement_only
