episode_id,entry_ticket,exit_ticket,symbol,side,volume,entry_time_server,exit_time_server,entry_price,exit_price,profit,balance_after_exit,duration_minutes,target_adverse_loss,target_positive_payoff,target_large_loss,episode_index
f89b_ep_001,2,3,US100,sell,0.1,2025.01.02 16:35:00,2025.01.02 16:40:00,21014.82,20924.02,9.08,509.08,5.0,0,1,0,0
f89b_ep_002,4,5,US100,buy,0.1,2025.01.02 16:40:00,2025.01.02 17:40:00,20924.02,21001.19,7.72,516.8,60.0,0,1,0,1
f89b_ep_003,6,7,US100,buy,0.1,2025.01.02 17:45:00,2025.01.02 18:35:00,20988.77,21043.19,5.44,522.24,50.0,0,1,0,2
f89b_ep_004,8,9,US100,sell,0.1,2025.01.02 18:35:00,2025.01.02 18:50:00,21043.19,21093.52,-5.03,517.21,15.0,1,0,0,3
f89b_ep_005,10,11,US100,buy,0.1,2025.01.02 18:50:00,2025.01.02 19:50:00,21093.52,20748.19,-34.53,482.68,60.0,1,0,1,4
f89b_ep_006,12,13,US100,buy,0.1,2025.01.02 19:55:00,2025.01.02 20:55:00,20793.64,20744.19,-4.95,477.73,60.0,1,0,0,5
f89b_ep_007,14,15,US100,buy,0.1,2025.01.02 21:00:00,2025.01.02 22:00:00,20796.27,20810.19,1.39,479.12,60.0,0,1,0,6
f89b_ep_008,16,17,US100,sell,0.1,2025.01.03 16:35:00,2025.01.03 16:40:00,21079.29,21161.86,-8.26,470.86,5.0,1,0,0,7
f89b_ep_009,18,19,US100,buy,0.1,2025.01.03 16:40:00,2025.01.03 16:45:00,21161.86,21172.29,1.04,471.9,5.0,0,1,0,8
f89b_ep_010,20,21,US100,sell,0.1,2025.01.03 16:45:00,2025.01.03 17:45:00,21172.29,21124.74,4.76,476.66,60.0,0,1,0,9
f89b_ep_011,22,23,US100,sell,0.1,2025.01.03 17:50:00,2025.01.03 18:50:00,21123.79,21226.49,-10.27,466.39,60.0,1,0,1,10
f89b_ep_012,24,25,US100,sell,0.1,2025.01.06 16:35:00,2025.01.06 17:45:00,21538.62,21629.57,-9.1,457.29,70.0,1,0,1,11
f89b_ep_013,26,27,US100,sell,0.1,2025.01.06 17:50:00,2025.01.06 19:15:00,21632.75,21601.32,3.14,460.43,85.0,0,1,0,12
f89b_ep_014,28,29,US100,sell,0.1,2025.01.06 21:00:00,2025.01.06 22:00:00,21464.87,21420.07,4.48,464.91,60.0,0,1,0,13
f89b_ep_015,30,31,US100,sell,0.1,2025.01.07 16:35:00,2025.01.07 17:05:00,21512.13,21366.71,14.54,479.45,30.0,0,1,0,14
f89b_ep_016,32,33,US100,buy,0.1,2025.01.07 17:05:00,2025.01.07 18:05:00,21366.71,21307.26,-5.95,473.5,60.0,1,0,0,15
f89b_ep_017,34,35,US100,buy,0.1,2025.01.07 18:10:00,2025.01.07 19:10:00,21301.71,21208.76,-9.3,464.2,60.0,1,0,1,16
f89b_ep_018,36,37,US100,buy,0.1,2025.01.07 19:15:00,2025.01.07 20:15:00,21229.58,21254.38,2.48,466.68,60.0,0,1,0,17
f89b_ep_019,38,39,US100,buy,0.1,2025.01.08 16:35:00,2025.01.08 17:35:00,21137.23,21067.66,-6.96,459.72,60.0,1,0,0,18
f89b_ep_020,40,41,US100,buy,0.1,2025.01.08 17:40:00,2025.01.08 18:40:00,21091.36,21156.53,6.52,466.24,60.0,0,1,0,19
f89b_ep_021,42,43,US100,buy,0.1,2025.01.08 18:45:00,2025.01.08 19:45:00,21175.48,21009.28,-16.62,449.62,60.0,1,0,1,20
f89b_ep_022,44,45,US100,buy,0.1,2025.01.08 19:50:00,2025.01.08 20:50:00,20995.86,21107.53,11.17,460.79,60.0,0,1,0,21
f89b_ep_023,46,47,US100,buy,0.1,2025.01.08 20:55:00,2025.01.08 21:55:00,21059.11,21089.16,3.01,463.8,60.0,0,1,0,22
