record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count,queue_id,candidate_id,candidate_alias,candidate_role,source_test_id,guard_rule_family,model_materialization_type,materialization_boundary
mt5_ta_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1250.12,1.59,314,3.98,315.86,15.75,3.96,568,568,0,59283,11651,11651,run267AB_q01_s264_aia_rep_trend_strength_adx,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,research_score_table_noncalendar_state_guard_extension_not_retrained_v1,noncalendar_state_guard_score_table_extension_not_retrained
mt5_rt_s264_aia_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,1250.12,1.59,314,3.98,315.86,15.75,3.96,568,568,0,59283,11651,11651,run267AB_q01_s264_aia_rep_trend_strength_adx,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,constructive_axis_soft_state_guard,research_score_table_noncalendar_state_guard_extension_not_retrained_v1,noncalendar_state_guard_score_table_extension_not_retrained
mt5_ta_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1097.15,1.57,317,3.46,275.46,15.07,3.98,569,569,0,59283,11651,11651,run267AB_q02_s264_aia_rep_volatility_atr,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,research_score_table_noncalendar_state_guard_extension_not_retrained_v1,noncalendar_state_guard_score_table_extension_not_retrained
mt5_rt_s264_aia_rep_volatility_atr_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,1097.15,1.57,317,3.46,275.46,15.07,3.98,569,569,0,59283,11651,11651,run267AB_q02_s264_aia_rep_volatility_atr,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,constructive_axis_soft_state_guard,research_score_table_noncalendar_state_guard_extension_not_retrained_v1,noncalendar_state_guard_score_table_extension_not_retrained
mt5_ta_s262_lih_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1036.02,1.58,302,3.43,298.76,16.67,3.47,547,547,0,59283,11651,11651,run267AB_q03_s262_lih_rep_trend_strength_adx,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,constructive_axis_soft_state_guard,research_score_table_noncalendar_state_guard_extension_not_retrained_v1,noncalendar_state_guard_score_table_extension_not_retrained
mt5_rt_s262_lih_rep_trend_strength_adx_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,1036.02,1.58,302,3.43,298.76,16.67,3.47,547,547,0,59283,11651,11651,run267AB_q03_s262_lih_rep_trend_strength_adx,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,constructive_axis_soft_state_guard,research_score_table_noncalendar_state_guard_extension_not_retrained_v1,noncalendar_state_guard_score_table_extension_not_retrained
mt5_ta_s258_stc_abl_price_return_range_state_guard_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,969.98,1.52,297,3.27,298.77,17.75,3.25,537,537,0,59283,11651,11651,run267AB_q04_s258_stc_abl_price_return_range,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,constructive_axis_soft_state_guard,research_score_table_noncalendar_state_guard_extension_not_retrained_v1,noncalendar_state_guard_score_table_extension_not_retrained
mt5_rt_s258_stc_abl_price_return_range_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,969.98,1.52,297,3.27,298.77,17.75,3.25,537,537,0,59283,11651,11651,run267AB_q04_s258_stc_abl_price_return_range,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,constructive_axis_soft_state_guard,research_score_table_noncalendar_state_guard_extension_not_retrained_v1,noncalendar_state_guard_score_table_extension_not_retrained
mt5_ta_s258_stc_abl_trend_strength_direction_state_guard_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,970.89,1.45,306,3.17,332.76,19.29,2.92,553,553,0,59283,11651,11651,run267AB_q05_s258_stc_abl_trend_strength_direction,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,constructive_axis_soft_state_guard,research_score_table_noncalendar_state_guard_extension_not_retrained_v1,noncalendar_state_guard_score_table_extension_not_retrained
mt5_rt_s258_stc_abl_trend_strength_direction_state_guard_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,970.89,1.45,306,3.17,332.76,19.29,2.92,553,553,0,59283,11651,11651,run267AB_q05_s258_stc_abl_trend_strength_direction,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,constructive_axis_soft_state_guard,research_score_table_noncalendar_state_guard_extension_not_retrained_v1,noncalendar_state_guard_score_table_extension_not_retrained
