record_type,feature_index,item_index,value,score_short,score_flat,score_long
intercept,-1,-1,,-0.15743226446460659,-0.12387309843586923,0
cut,0,0,-0.5,,,
cut,0,1,0.5,,,
score,0,0,,0,0,0
score,0,1,,0.27787302042837603,-0.026531847890926843,-0.27918516269400923
score,0,2,,-0.0021446693774755032,0.006217231429441538,-0.00011055549430484947
score,0,3,,-0.43137618095856539,-0.32096414282284685,0.56986387429942065
score,0,4,,0,0,0
cut,1,0,0.5,,,
cut,1,1,1.5,,,
score,1,0,,0,0,0
score,1,1,,-0.0032285846085577932,0.0012138640977286841,0.0029190370119877677
score,1,2,,0.2284432788109636,-0.010717011353657968,-0.23967710391780794
score,1,3,,-0.093272274063091368,-0.40783579761879868,0.27956522459420902
score,1,4,,0,0,0
cut,2,0,13.047600746154785,,,
cut,2,1,14.334038257598877,,,
cut,2,2,15.204872131347656,,,
cut,2,3,16.056653022766113,,,
cut,2,4,16.80323314666748,,,
cut,2,5,17.45524787902832,,,
cut,2,6,18.097109794616699,,,
cut,2,7,18.724605560302734,,,
cut,2,8,19.283627510070801,,,
cut,2,9,19.811806678771973,,,
cut,2,10,20.374255180358887,,,
cut,2,11,20.951473236083984,,,
cut,2,12,21.513334274291992,,,
cut,2,13,22.085512161254883,,,
cut,2,14,22.664056777954102,,,
cut,2,15,23.230297088623047,,,
cut,2,16,23.834548950195312,,,
cut,2,17,24.454257011413574,,,
cut,2,18,25.135722160339355,,,
cut,2,19,25.914843559265137,,,
cut,2,20,26.708145141601562,,,
cut,2,21,27.607204437255859,,,
cut,2,22,28.563857078552246,,,
cut,2,23,29.68226432800293,,,
cut,2,24,30.934930801391602,,,
cut,2,25,32.497461318969727,,,
cut,2,26,34.615589141845703,,,
cut,2,27,38.140586853027344,,,
cut,2,28,43.559650421142578,,,
score,2,0,,0,0,0
score,2,1,,-0.056742330477196533,0.056424920283392861,-0.0048000778187594507
score,2,2,,-0.036004030513109506,0.044625234928469412,-0.010027271327269683
score,2,3,,-0.029114909110903076,0.038979209884931421,-0.0099255549004917711
score,2,4,,-0.022754452390787879,0.032348797806500969,-0.0082847549740897898
score,2,5,,-0.012313126118514822,0.018179962340924258,-0.0038684960549100937
score,2,6,,-0.011593802090550663,0.018813648969305163,-0.0051997258343141929
score,2,7,,-0.007660145665280337,0.014075958449414967,-0.0038832231167924029
score,2,8,,-0.007660145665280337,0.014075958449414967,-0.0038832231167924029
score,2,9,,-0.00850267936153715,0.019065507889652857,-0.0082904846285011616
score,2,10,,-0.0066471696762905588,0.016622358405807544,-0.0075123732266381051
score,2,11,,-0.0023184566563076506,0.0098254977379052498,-0.0047864157786947845
score,2,12,,-0.0023184566563076506,0.0098254977379052498,-0.0047864157786947845
score,2,13,,0.0042245024966195491,0.0040308107276366472,-0.0051771364119589224
score,2,14,,0.0044681586834475449,0.0047532833247069953,-0.0060927839209953625
score,2,15,,0.0032056102383950678,0.0082035056514595077,-0.0081820560845492045
score,2,16,,0.0028699418080715879,0.0092139358098771544,-0.0088062421915335656
