record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count,candidate_id,candidate_alias,candidate_role,variant_id,profile_label,source_test_id,tier_pair_boundary
mt5_ta_s264_aih_loss_shape_proxy_historical_2024,Tier A,historical_2024,completed,tier_only_total,694.85,1.98,194,3.58,109.6,14.68,6.34,354,354,0,59283,11651,11651,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267cf_01_s264_aih_loss_shape_proxy,loss_shape_proxy_minimal,rep_volatility_atr,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
mt5_rt_s264_aih_loss_shape_proxy_historical_2024,Tier A+B,historical_2024,completed,routed_total_duplicate_boundary,694.85,1.98,194,3.58,109.6,14.68,6.34,354,354,0,59283,11651,11651,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267cf_01_s264_aih_loss_shape_proxy,loss_shape_proxy_minimal,rep_volatility_atr,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
mt5_ta_s264_lc_loss_shape_proxy_historical_2024,Tier A,historical_2024,completed,tier_only_total,698.39,1.92,206,3.39,88.57,11.79,7.89,376,376,0,59283,11651,11651,s264_lowrank_control,s264_lc,defensive_control,run267cf_02_s264_lc_loss_shape_proxy,loss_shape_proxy_minimal,rep_volatility_atr,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
mt5_rt_s264_lc_loss_shape_proxy_historical_2024,Tier A+B,historical_2024,completed,routed_total_duplicate_boundary,698.39,1.92,206,3.39,88.57,11.79,7.89,376,376,0,59283,11651,11651,s264_lowrank_control,s264_lc,defensive_control,run267cf_02_s264_lc_loss_shape_proxy,loss_shape_proxy_minimal,rep_volatility_atr,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
mt5_ta_s262_lih_loss_shape_proxy_historical_2024,Tier A,historical_2024,completed,tier_only_total,617.93,1.71,226,2.73,108.49,9.06,5.7,415,415,0,59283,11651,11651,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267cf_03_s262_lih_loss_shape_proxy,loss_shape_proxy_minimal,rep_volatility_atr,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
mt5_rt_s262_lih_loss_shape_proxy_historical_2024,Tier A+B,historical_2024,completed,routed_total_duplicate_boundary,617.93,1.71,226,2.73,108.49,9.06,5.7,415,415,0,59283,11651,11651,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267cf_03_s262_lih_loss_shape_proxy,loss_shape_proxy_minimal,rep_volatility_atr,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
mt5_ta_s264_aia_loss_shape_proxy_historical_2024,Tier A,historical_2024,completed,tier_only_total,565.26,1.8,194,2.91,108.61,15.0,5.2,353,353,0,59283,11651,11651,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267cf_04_s264_aia_loss_shape_proxy,loss_shape_proxy_minimal,rep_volatility_atr,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
mt5_rt_s264_aia_loss_shape_proxy_historical_2024,Tier A+B,historical_2024,completed,routed_total_duplicate_boundary,565.26,1.8,194,2.91,108.61,15.0,5.2,353,353,0,59283,11651,11651,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267cf_04_s264_aia_loss_shape_proxy,loss_shape_proxy_minimal,rep_volatility_atr,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
mt5_ta_s258_stc_loss_shape_proxy_historical_2024,Tier A,historical_2024,completed,tier_only_total,825.03,1.7,239,3.45,212.9,14.26,3.88,433,433,0,59283,11651,11651,s258_short_tight_control,s258_stc,stress_challenger,run267cf_05_s258_stc_loss_shape_proxy,loss_shape_proxy_minimal,rep_trend_strength_adx,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
mt5_rt_s258_stc_loss_shape_proxy_historical_2024,Tier A+B,historical_2024,completed,routed_total_duplicate_boundary,825.03,1.7,239,3.45,212.9,14.26,3.88,433,433,0,59283,11651,11651,s258_short_tight_control,s258_stc,stress_challenger,run267cf_05_s258_stc_loss_shape_proxy,loss_shape_proxy_minimal,rep_trend_strength_adx,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
mt5_ta_s264_aih_similar_repl_historical_2024,Tier A,historical_2024,completed,tier_only_total,1166.51,1.44,369,3.16,329.73,24.89,3.54,668,668,0,59283,11651,11651,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267cf_06_s264_aih_similar_repl,similar_replacement_impulse,rep_trend_strength_adx,Tier_A_and_Tier_A_plus_B_duplicate_2024_execution_inputs_materialized; true_Tier_B_fallback_and_runtime_results_remain_future_work
