run_id,queue_id,variant_id,review_status,source_candidate_status,combined_net_profit,combined_profit_factor,combined_trade_count,combined_trade_per_business_day,combined_max_drawdown,combined_recovery_factor,combined_long_count,combined_short_count,validation_profit_factor,oos_profit_factor,selection_score,claim_boundary(주장 경계)
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_non_hour16_margin_0_1,stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,"pf_lift_seed_density_safe(PF 상승 씨앗, 밀도 안전)",watch_pf_below_target(PF 목표 미만 관찰),840.055,1.2739357721,1001.0,3.006006006,-142.323,5.9024542765,882.0,119.0,1.2146673268,1.3368770697,884.172870032,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_march_short_p0_475,stress3_restore_march_short_p0_475__ps0_45__adx40_0__hold8,"pf_lift_seed_density_safe(PF 상승 씨앗, 밀도 안전)",watch_pf_below_target(PF 목표 미만 관찰),834.818,1.2721814278,999.0,3.0,-142.323,5.8656576941,882.0,117.0,1.2112812541,1.3368770697,876.958204586,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress4_short050_pf_lift,stress4_short050_pf_lift__ps0_5__adx40_0__hold8,"pf_pass_density_fail_seed(PF 통과, 밀도 실패 씨앗)",fail_density_floor(밀도 하한 실패),799.943,1.3066323163,890.0,2.6726726727,-120.303,6.6494019268,882.0,8.0,1.2818487108,1.3317299161,-219.39776566,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,adx38_stress3_month_block,adx38_stress3_month_block__ps0_45__adx38_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),848.542,1.2835497807,971.0,2.9159159159,-128.661,6.5951764715,858.0,113.0,1.251690834,1.3162516557,-114.645804016,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_long_p0_42_adx35_0,stress3_restore_long_p0_42_adx35_0__ps0_45__adx40_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),846.467,1.277866063,995.0,2.987987988,-142.323,5.9475067277,883.0,112.0,1.221575049,1.3368770697,-112.40765103,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_non_hour16_margin_0_14,stress3_restore_non_hour16_margin_0_14__ps0_45__adx40_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),844.03,1.2768298079,997.0,2.993993994,-142.323,5.9303837047,882.0,115.0,1.2196456655,1.3368770697,-113.478676972,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_march_short_p0_49,stress3_restore_march_short_p0_49__ps0_45__adx40_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),841.18,1.2761305224,995.0,2.987987988,-142.323,5.9103588317,882.0,113.0,1.218183964,1.3368770697,-118.223578082,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress_zone_3_control,stress_zone_3_control__ps0_45__adx40_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),840.192,1.2758061959,994.0,2.984984985,-142.323,5.9034168757,882.0,112.0,1.2175502602,1.3368770697,-120.148395812,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_long_p0_4_adx45_0,stress3_restore_long_p0_4_adx45_0__ps0_45__adx40_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),840.192,1.2758061959,994.0,2.984984985,-142.323,5.9034168757,882.0,112.0,1.2175502602,1.3368770697,-120.148395812,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,adx38_stress4_month_long_block,adx38_stress4_month_long_block__ps0_45__adx38_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),816.394,1.2657323219,990.0,2.972972973,-128.661,6.3453105448,858.0,132.0,1.2189729325,1.3162516557,-139.065725292,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress_zone_4_control,stress_zone_4_control__ps0_45__adx40_0__hold8,"density_safe_low_pf_watch(밀도 안전, 낮은 PF 관찰)",watch_pf_below_target(PF 목표 미만 관찰),808.044,1.2584924377,1013.0,3.042042042,-142.323,5.6775363083,882.0,131.0,1.1873560651,1.3368770697,853.120714624,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,baseline_replay_control,baseline_replay_control__ps0_45__adx40_0__hold8,"density_safe_low_pf_watch(밀도 안전, 낮은 PF 관찰)",watch_pf_below_target(PF 목표 미만 관찰),771.564,1.2218406503,1081.0,3.2462462462,-155.007,4.9776074629,952.0,129.0,1.1359021692,1.3368770697,822.459352504,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AE_review_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress4_short0475_pf_lift,stress4_short0475_pf_lift__ps0_475__adx40_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),628.996,1.216407956,932.0,2.7987987988,-122.656,5.128130707,882.0,50.0,1.1760616711,1.2569343489,-393.48223552,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
