run_id,split,quarter,trade_count,net_profit
run13AA_ebm_q90_hold4_core_only_fallback_probe_v1,oos,2025Q4,104,15.40000000000001
run13AA_ebm_q90_hold4_core_only_fallback_probe_v1,oos,2026Q1,158,137.66000000000003
run13AA_ebm_q90_hold4_core_only_fallback_probe_v1,oos,2026Q2,16,-23.110000000000003
run13AA_ebm_q90_hold4_core_only_fallback_probe_v1,validation,2025Q1,183,-174.51999999999995
run13AA_ebm_q90_hold4_core_only_fallback_probe_v1,validation,2025Q2,156,57.43000000000002
run13AA_ebm_q90_hold4_core_only_fallback_probe_v1,validation,2025Q3,25,-5.589999999999995
run13AB_ebm_q92_hold4_direction_probe_v1,oos,2025Q4,87,-96.21000000000001
run13AB_ebm_q92_hold4_direction_probe_v1,oos,2026Q1,133,98.27999999999993
run13AB_ebm_q92_hold4_direction_probe_v1,oos,2026Q2,11,-20.320000000000004
run13AB_ebm_q92_hold4_direction_probe_v1,validation,2025Q1,149,-37.24000000000001
run13AB_ebm_q92_hold4_direction_probe_v1,validation,2025Q2,138,171.3100000000001
run13AB_ebm_q92_hold4_direction_probe_v1,validation,2025Q3,21,-12.520000000000003
run13AC_ebm_q95_hold4_direction_probe_v1,oos,2025Q4,56,-166.89000000000001
run13AC_ebm_q95_hold4_direction_probe_v1,oos,2026Q1,85,-34.620000000000005
run13AC_ebm_q95_hold4_direction_probe_v1,oos,2026Q2,5,-8.55
run13AC_ebm_q95_hold4_direction_probe_v1,validation,2025Q1,92,-83.42999999999999
run13AC_ebm_q95_hold4_direction_probe_v1,validation,2025Q2,100,180.76000000000002
run13AC_ebm_q95_hold4_direction_probe_v1,validation,2025Q3,16,0.13999999999999702
run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,oos,2025Q4,108,-28.569999999999975
run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,oos,2026Q1,166,102.79999999999994
run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,oos,2026Q2,16,-23.110000000000003
run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,validation,2025Q1,185,-165.15999999999994
run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,validation,2025Q2,158,89.40000000000006
run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,validation,2025Q3,25,-5.5900000000000025
run13AH_ebm_q90_hold4_keep_ema50_ema200_top5_probe_v1,oos,2025Q4,73,-45.360000000000014
run13AH_ebm_q90_hold4_keep_ema50_ema200_top5_probe_v1,oos,2026Q1,91,105.19999999999996
run13AH_ebm_q90_hold4_keep_ema50_ema200_top5_probe_v1,oos,2026Q2,7,-13.280000000000001
run13AH_ebm_q90_hold4_keep_ema50_ema200_top5_probe_v1,validation,2025Q1,125,-113.92000000000004
run13AH_ebm_q90_hold4_keep_ema50_ema200_top5_probe_v1,validation,2025Q2,154,129.85000000000005
run13AH_ebm_q90_hold4_keep_ema50_ema200_top5_probe_v1,validation,2025Q3,33,-21.010000000000012
run13B_ebm_q90_runtime_handoff_probe_v1,oos,2025Q4,70,-173.06
run13B_ebm_q90_runtime_handoff_probe_v1,oos,2026Q1,112,121.26
run13B_ebm_q90_runtime_handoff_probe_v1,oos,2026Q2,9,-0.4400000000000013
run13B_ebm_q90_runtime_handoff_probe_v1,validation,2025Q1,115,-277.7600000000001
run13B_ebm_q90_runtime_handoff_probe_v1,validation,2025Q2,98,136.4000000000001
run13B_ebm_q90_runtime_handoff_probe_v1,validation,2025Q3,21,56.74999999999999
run13C_ebm_q80_signal_density_probe_v1,oos,2025Q4,133,-258.96
run13C_ebm_q80_signal_density_probe_v1,oos,2026Q1,200,-102.97000000000001
run13C_ebm_q80_signal_density_probe_v1,oos,2026Q2,15,1.1900000000000008
run13C_ebm_q80_signal_density_probe_v1,validation,2025Q1,191,-142.23
run13C_ebm_q80_signal_density_probe_v1,validation,2025Q2,188,362.8800000000001
run13C_ebm_q80_signal_density_probe_v1,validation,2025Q3,43,-56.900000000000034
run13D_ebm_q95_sparse_tail_probe_v1,oos,2025Q4,41,-118.91000000000004
run13D_ebm_q95_sparse_tail_probe_v1,oos,2026Q1,57,-29.590000000000003
run13D_ebm_q95_sparse_tail_probe_v1,oos,2026Q2,3,-3.3599999999999994
run13D_ebm_q95_sparse_tail_probe_v1,validation,2025Q1,64,-56.36999999999998
run13D_ebm_q95_sparse_tail_probe_v1,validation,2025Q2,59,216.45000000000005
run13D_ebm_q95_sparse_tail_probe_v1,validation,2025Q3,12,77.53
run13E_ebm_q80_direction_asymmetry_probe_v1,oos,2025Q4,130,-276.93999999999994
run13E_ebm_q80_direction_asymmetry_probe_v1,oos,2026Q1,183,11.850000000000017
run13E_ebm_q80_direction_asymmetry_probe_v1,oos,2026Q2,15,33.23000000000001
run13E_ebm_q80_direction_asymmetry_probe_v1,validation,2025Q1,181,-75.29000000000002
run13E_ebm_q80_direction_asymmetry_probe_v1,validation,2025Q2,167,625.3999999999999
run13E_ebm_q80_direction_asymmetry_probe_v1,validation,2025Q3,43,-128.01999999999998
run13F_ebm_q90_hold6_probe_v1,oos,2025Q4,96,-65.69000000000001
run13F_ebm_q90_hold6_probe_v1,oos,2026Q1,143,103.6
run13F_ebm_q90_hold6_probe_v1,oos,2026Q2,14,1.740000000000001
run13F_ebm_q90_hold6_probe_v1,validation,2025Q1,152,-321.9600000000001
run13F_ebm_q90_hold6_probe_v1,validation,2025Q2,131,146.20000000000005
run13F_ebm_q90_hold6_probe_v1,validation,2025Q3,23,-12.900000000000006
run13G_ebm_q90_hold18_probe_v1,oos,2025Q4,64,-179.31000000000006
run13G_ebm_q90_hold18_probe_v1,oos,2026Q1,96,86.06999999999996
run13G_ebm_q90_hold18_probe_v1,oos,2026Q2,6,1.17
run13G_ebm_q90_hold18_probe_v1,validation,2025Q1,103,-350.59000000000003
run13G_ebm_q90_hold18_probe_v1,validation,2025Q2,83,218.22999999999993
run13G_ebm_q90_hold18_probe_v1,validation,2025Q3,18,80.79
run13I_ebm_q90_hold4_probe_v1,oos,2025Q4,107,27.90999999999999
run13I_ebm_q90_hold4_probe_v1,oos,2026Q1,169,132.07999999999996
run13I_ebm_q90_hold4_probe_v1,oos,2026Q2,16,-25.69
run13I_ebm_q90_hold4_probe_v1,validation,2025Q1,185,-167.43999999999997
run13I_ebm_q90_hold4_probe_v1,validation,2025Q2,162,60.649999999999984
run13I_ebm_q90_hold4_probe_v1,validation,2025Q3,25,-0.9299999999999997
run13J_ebm_q90_hold8_probe_v1,oos,2025Q4,83,-84.62000000000002
