audit_kind,target_id,candidate_id,model_id,model_instance_id,split,rows,days_in_scope,adverse_veto_rate,continuation_trigger_rate,oracle_trade_count,oracle_trades_per_day,oracle_long_count,oracle_short_count,density_floor_pass,raw_model_trade_count,raw_model_trades_per_day,post_firewall_trade_count,post_firewall_trades_per_day,blocked_pred_trade_count,blocked_pred_trade_fraction
profile_firewall_transfer(프로필 방화벽 전이),f17b_firewall_h8_ddq70_contq60,,,,train,29222,573,0.3000136883170214,0.40000684415851073,7969.0,13.907504363001745,4483.0,3486.0,True,,,,,,
profile_firewall_transfer(프로필 방화벽 전이),f17b_firewall_h8_ddq70_contq60,,,,validation,9844,183,0.2732629012596505,0.38459975619666803,2589.0,14.147540983606557,1453.0,1136.0,True,,,,,,
profile_firewall_transfer(프로필 방화벽 전이),f17b_firewall_h8_ddq70_contq60,,,,oos,7584,131,0.2732067510548523,0.37987869198312235,1930.0,14.732824427480915,1096.0,834.0,True,,,,,,
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h8_ddq70_contq60,f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,train,29222,573,0.3000136883170214,0.40000684415851073,,,,,True,2797.0,4.881326352530541,2768.0,4.830715532286213,29.0,0.010368251698248123
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h8_ddq70_contq60,f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,validation,9844,183,0.2732629012596505,0.38459975619666803,,,,,True,1135.0,6.202185792349726,1105.0,6.038251366120218,30.0,0.02643171806167401
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h8_ddq70_contq60,f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,oos,7584,131,0.2732067510548523,0.37987869198312235,,,,,True,1163.0,8.877862595419847,1142.0,8.717557251908397,21.0,0.018056749785038694
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h8_ddq70_contq60,f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,train,29222,573,0.3000136883170214,0.40000684415851073,,,,,True,18731.0,32.689354275741714,17051.0,29.75741710296684,1680.0,0.08969088676525545
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h8_ddq70_contq60,f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,validation,9844,183,0.2732629012596505,0.38459975619666803,,,,,True,6587.0,35.994535519125684,6090.0,33.278688524590166,497.0,0.07545164718384698
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h8_ddq70_contq60,f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,oos,7584,131,0.2732067510548523,0.37987869198312235,,,,,True,5477.0,41.80916030534351,4894.0,37.3587786259542,583.0,0.1064451341975534
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h8_ddq70_contq60,f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,train,29222,573,0.3000136883170214,0.40000684415851073,,,,,True,24067.0,42.00174520069808,19490.0,34.01396160558464,4577.0,0.19017742136535504
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h8_ddq70_contq60,f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,validation,9844,183,0.2732629012596505,0.38459975619666803,,,,,True,8181.0,44.704918032786885,6825.0,37.295081967213115,1356.0,0.16574990832416575
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h8_ddq70_contq60,f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,oos,7584,131,0.2732067510548523,0.37987869198312235,,,,,True,6419.0,49.0,5283.0,40.32824427480916,1136.0,0.17697460663654774
profile_firewall_transfer(프로필 방화벽 전이),f17b_firewall_h10_ddq75_contq65,,,,train,29222,573,0.2500171103962768,0.35001026623776604,7404.0,12.921465968586388,4097.0,3307.0,True,,,,,,
profile_firewall_transfer(프로필 방화벽 전이),f17b_firewall_h10_ddq75_contq65,,,,validation,9844,183,0.2230800487606664,0.3258837870784234,2331.0,12.737704918032787,1265.0,1066.0,True,,,,,,
profile_firewall_transfer(프로필 방화벽 전이),f17b_firewall_h10_ddq75_contq65,,,,oos,7584,131,0.22903481012658228,0.3204113924050633,1728.0,13.19083969465649,930.0,798.0,True,,,,,,
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h10_ddq75_contq65,f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,train,29222,573,0.2500171103962768,0.35001026623776604,,,,,False,1707.0,2.979057591623037,1686.0,2.9424083769633507,21.0,0.012302284710017574
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h10_ddq75_contq65,f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,validation,9844,183,0.2230800487606664,0.3258837870784234,,,,,True,759.0,4.147540983606557,727.0,3.9726775956284155,32.0,0.04216073781291173
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h10_ddq75_contq65,f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,oos,7584,131,0.22903481012658228,0.3204113924050633,,,,,True,680.0,5.190839694656488,667.0,5.091603053435114,13.0,0.01911764705882353
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h10_ddq75_contq65,f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,train,29222,573,0.2500171103962768,0.35001026623776604,,,,,True,19265.0,33.62129144851658,17750.0,30.977312390924958,1515.0,0.07864002076304179
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h10_ddq75_contq65,f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,validation,9844,183,0.2230800487606664,0.3258837870784234,,,,,True,6749.0,36.87978142076503,6300.0,34.42622950819672,449.0,0.06652837457401096
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h10_ddq75_contq65,f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,oos,7584,131,0.22903481012658228,0.3204113924050633,,,,,True,5570.0,42.51908396946565,5101.0,38.93893129770992,469.0,0.08420107719928187
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h10_ddq75_contq65,f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,train,29222,573,0.2500171103962768,0.35001026623776604,,,,,True,24523.0,42.79755671902269,20667.0,36.068062827225134,3856.0,0.15724014190759694
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h10_ddq75_contq65,f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,validation,9844,183,0.2230800487606664,0.3258837870784234,,,,,True,8298.0,45.34426229508197,7208.0,39.387978142076506,1090.0,0.13135695348276694
candidate_model_firewall_transfer(후보 모델 방화벽 전이),f17b_firewall_h10_ddq75_contq65,f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,oos,7584,131,0.22903481012658228,0.3204113924050633,,,,,True,6498.0,49.603053435114504,5570.0,42.51908396946565,928.0,0.1428131732840874
profile_firewall_transfer(프로필 방화벽 전이),f17b_firewall_h12_ddq80_contq70,,,,train,29222,573,0.20002053247553214,0.3000136883170214,6806.0,11.877835951134381,3678.0,3128.0,True,,,,,,
profile_firewall_transfer(프로필 방화벽 전이),f17b_firewall_h12_ddq80_contq70,,,,validation,9844,183,0.17726533929297034,0.2704185290532304,2023.0,11.05464480874317,1051.0,972.0,True,,,,,,
profile_firewall_transfer(프로필 방화벽 전이),f17b_firewall_h12_ddq80_contq70,,,,oos,7584,131,0.18710443037974683,0.26239451476793246,1502.0,11.465648854961833,761.0,741.0,True,,,,,,
