candidate_id,target_id,model_id,model_instance_id,split,rows,accuracy,balanced_accuracy,macro_f1,pred_short,pred_flat,pred_long,true_short,true_flat,true_long
f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,f17b_firewall_h8_ddq70_contq60,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,train,29222,0.7115871603586339,0.40290790251182584,0.4148598139832509,1013,26425,1784,3486,21253,4483
f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,f17b_firewall_h8_ddq70_contq60,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,validation,9844,0.7090613571718813,0.4102791657878755,0.42590600461951184,426,8709,709,1136,7255,1453
f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,f17b_firewall_h8_ddq70_contq60,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_plain__firewall_continuation,oos,7584,0.6921149789029536,0.4173804171594857,0.43291227201426535,416,6421,747,834,5654,1096
f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,f17b_firewall_h8_ddq70_contq60,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,train,29222,0.5451372253781398,0.7023404139487998,0.5259930878712772,8786,10491,9945,3486,21253,4483
f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,f17b_firewall_h8_ddq70_contq60,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,validation,9844,0.5052824055262088,0.6796126091456164,0.4889811679386389,3079,3257,3508,1136,7255,1453
f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,f17b_firewall_h8_ddq70_contq60,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__lr_bal__firewall_continuation,oos,7584,0.46387130801687765,0.6800256465874733,0.4565483792885838,2494,2107,2983,834,5654,1096
f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,f17b_firewall_h8_ddq70_contq60,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,train,29222,0.4227978919991787,0.704716099666787,0.43376210798925596,11486,5155,12581,3486,21253,4483
f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,f17b_firewall_h8_ddq70_contq60,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,validation,9844,0.40197074360016255,0.6918783591016604,0.4131009879189051,3800,1663,4381,1136,7255,1453
f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,f17b_firewall_h8_ddq70_contq60,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h8_ddq70_contq60__rf_bal__firewall_continuation,oos,7584,0.37763713080168776,0.6801063263781214,0.39016099114819336,2822,1165,3597,834,5654,1096
f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,f17b_firewall_h10_ddq75_contq65,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,train,29222,0.7340702210663199,0.37687999925757115,0.3773126869205537,692,27515,1015,3307,21818,4097
f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,f17b_firewall_h10_ddq75_contq65,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,validation,9844,0.741162129215766,0.3884535228802691,0.39797009876204137,324,9085,435,1066,7513,1265
f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,f17b_firewall_h10_ddq75_contq65,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation,oos,7584,0.7407700421940928,0.3921094021630844,0.40415041265742474,264,6904,416,798,5856,930
