stage_num,stage_id,candidate_id,split,attempt_name,report_path,telemetry_path,summary_path,max_hold_bars,atr_sltp_enabled,atr_stop_multiplier,atr_take_profit_multiplier,signal_count,expected_signal_count,signal_count_diff,long_count,short_count,flat_count,order_attempt_count,order_fill_count,trade_count,deal_count,deal_in_count,deal_out_count,order_fill_rate,order_attempt_to_signal_ratio,trade_to_signal_ratio,deal_to_order_fill_ratio,deal_minus_order_fill,deal_count_equals_2x_trade,order_fill_equals_deal_count,net_profit,gross_profit,gross_loss,deal_profit_sum,deal_commission_sum,deal_swap_sum,deal_cost_sum,net_reconciliation_error,profit_factor,expectancy,win_rate_percent,average_win,average_loss,payoff_ratio,recovery_factor,max_drawdown_amount,max_drawdown_percent,short_trade_count,long_trade_count,net_per_signal,net_per_order_fill,net_per_trade,swap_per_trade,dd_per_trade,report_metric_status,deal_table_encoding,runtime_summary_status,last_skip_reason,conversion_read,economics_read,claim_boundary
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,validation_is,f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_e6749184,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_e6749184.htm,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_e6749184_telemetry.csv,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_e6749184_summary.csv,12,false,,,614,614,0,327,287,52194,184,184,92,184,92,92,1.0,0.2996742671009772,0.1498371335504886,1.0,0,true,true,-203.19,514.95,-718.14,-202.73,0.0,-0.4599999999999999,-0.4599999999999999,0.0,0.72,-2.21,51.09,10.956382978723406,-15.958666666666666,0.6865475172564588,-0.66,309.24,59.46,50,42,-0.330928338762215,-1.1042934782608695,-2.208586956521739,-0.004999999999999999,0.6463043478260869,completed,utf-16,completed,feature_csv_timestamp_not_found:2025.09.30 23:55:00,heavy_lifecycle_compression_lt20pct,negative_net_per_signal_or_pf_dd_fail,runtime_native_order_intent_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,oos,f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_9f762d86,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_9f762d86.htm,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_9f762d86_telemetry.csv,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_9f762d86_summary.csv,12,false,,,254,254,0,82,172,37083,122,122,61,122,61,61,1.0,0.48031496062992124,0.24015748031496062,1.0,0,true,true,282.71,522.04,-239.33,283.57,0.0,-0.86,-0.86,0.0,2.18,4.63,57.38,14.91542857142857,-9.205,1.6203616047179328,3.92,72.17,10.87,43,18,1.1130314960629921,2.317295081967213,4.634590163934426,-0.014098360655737704,0.1781967213114754,completed,utf-16,completed,feature_csv_timestamp_not_found:2026.04.13 23:55:00,moderate_lifecycle_compression_20_to_50pct,pf_ge2_but_dd_gt10,runtime_native_order_intent_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,validation_is,f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__tar_fd4dcbed,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__tar_fd4dcbed.htm,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__tar_fd4dcbed_telemetry.csv,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__tar_fd4dcbed_summary.csv,12,false,,,1094,1094,0,647,447,51714,400,400,200,400,200,200,1.0,0.3656307129798903,0.18281535648994515,1.0,0,true,true,-87.01,851.86,-938.87,-86.58,0.0,-0.43,-0.43,0.0,0.91,-0.44,51.5,8.270485436893203,-9.679072164948453,0.8544708930721407,-0.47,186.56,34.81,83,117,-0.07953382084095065,-0.21752500000000002,-0.43505000000000005,-0.00215,0.17405,completed,utf-16,completed,feature_csv_timestamp_not_found:2025.09.30 23:55:00,heavy_lifecycle_compression_lt20pct,negative_net_per_signal_or_pf_dd_fail,runtime_native_order_intent_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,oos,f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__target5_oos,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__target5_oos.htm,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__target5_oos_telemetry.csv,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__target5_oos_summary.csv,12,false,,,732,732,0,464,268,36605,250,250,125,250,125,125,1.0,0.34153005464480873,0.17076502732240437,1.0,0,true,true,97.98,692.41,-594.43,98.41000000000001,0.0,-0.43,-0.43,0.0,1.16,0.78,48.0,11.540166666666666,-9.145076923076923,1.2618993545637558,0.71,137.71,25.75,61,64,0.13385245901639345,0.39192,0.78384,-0.00344,0.206,completed,utf-16,completed,feature_csv_timestamp_not_found:2026.04.13 23:55:00,heavy_lifecycle_compression_lt20pct,positive_net_per_signal_but_pf_or_dd_fail,runtime_native_order_intent_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,validation_is,f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___e7ca8060,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___e7ca8060.htm,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___e7ca8060_telemetry.csv,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___e7ca8060_summary.csv,6,true,1.5,3,1678,1678,0,1093,585,51130,1527,1527,1067,2134,1067,1067,1.0,0.9100119189511323,0.6358760429082241,1.3975114603798298,607,true,false,51.86,3013.08,-2961.22,51.6,0.0,0.26000000000000006,0.26000000000000006,0.0,1.02,0.05,43.3,6.5218181818181815,-4.894578512396694,1.3324575681644728,0.35,147.3,26.9,390,677,0.030905840286054826,0.03396201702685003,0.04860356138706654,0.00024367385192127465,0.02521087160262418,completed,utf-16,completed,feature_csv_timestamp_not_found:2025.09.30 23:55:00,loose_lifecycle_compression_gte50pct,positive_net_per_signal_but_pf_or_dd_fail,runtime_native_order_intent_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,oos,f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___6429794d,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___6429794d.htm,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___6429794d_telemetry.csv,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___6429794d_summary.csv,6,true,1.5,3,1334,1334,0,883,451,36003,1202,1202,818,1636,818,818,1.0,0.9010494752623688,0.6131934032983508,1.3610648918469217,434,true,false,227.71,2502.43,-2274.72,228.11,0.0,-0.4,-0.4,0.0,1.1,0.28,45.6,6.708927613941018,-5.111730337078651,1.3124572642803305,1.64,138.7,25.53,278,540,0.17069715142428787,0.1894425956738769,0.27837408312958434,-0.000488997555012225,0.031210268948655258,completed,utf-16,completed,feature_csv_timestamp_not_found:2026.04.13 23:55:00,loose_lifecycle_compression_gte50pct,positive_net_per_signal_but_pf_or_dd_fail,runtime_native_order_intent_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,validation_is,f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_3a543ee3,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_3a543ee3.htm,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_3a543ee3_telemetry.csv,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_3a543ee3_summary.csv,12,false,,,5849,5849,0,5029,820,46959,1144,1144,572,1144,572,572,1.0,0.19558898957086682,0.09779449478543341,1.0,0,true,true,286.87,2779.53,-2492.66,322.60999999999996,0.0,-35.74,-35.74,5.684341886080802e-14,1.12,0.5,52.1,9.327281879194631,-9.097299270072993,1.0252803169703566,1.11,258.56,37.75,83,489,0.04904599076765259,0.2507604895104895,0.501520979020979,-0.062482517482517486,0.0659965034965035,completed,utf-16,completed,feature_csv_timestamp_not_found:2025.09.30 23:55:00,heavy_lifecycle_compression_lt20pct,positive_net_per_signal_but_pf_or_dd_fail,runtime_native_order_intent_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,oos,f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_bc4c970f,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_bc4c970f.htm,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_bc4c970f_telemetry.csv,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_bc4c970f_summary.csv,12,false,,,4803,4803,0,4254,549,32534,890,890,445,890,445,445,1.0,0.18530085363314594,0.09265042681657297,1.0,0,true,true,290.25,2243.82,-1953.57,314.83,0.0,-24.58,-24.58,0.0,1.15,0.65,55.51,9.084291497975709,-9.86651515151515,0.9207193582002132,0.98,296.8,35.86,62,383,0.06043098063710181,0.326123595505618,0.652247191011236,-0.05523595505617977,0.08058426966292134,completed,utf-16,completed,feature_csv_timestamp_not_found:2026.04.13 23:55:00,heavy_lifecycle_compression_lt20pct,positive_net_per_signal_but_pf_or_dd_fail,runtime_native_order_intent_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,validation_is,f66_f20_f20b_pair_0359_validation_is,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f20_f20b_pair_0359_validation_is.htm,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f20_f20b_pair_0359_validation_is_telemetry.csv,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f20_f20b_pair_0359_validation_is_summary.csv,12,false,,,1570,1570,0,1570,0,51238,522,522,261,522,261,261,1.0,0.332484076433121,0.1662420382165605,1.0,0,true,true,331.79,1355.03,-1023.24,368.91,0.0,-37.12,-37.12,0.0,1.32,1.27,51.72,10.037259259259258,-8.120952380952382,1.2359707074260842,2.32,143.26,24.46,0,261,0.2113312101910828,0.6356130268199234,1.2712260536398468,-0.14222222222222222,0.09371647509578544,completed,utf-16,completed,feature_csv_timestamp_not_found:2025.09.30 23:55:00,heavy_lifecycle_compression_lt20pct,positive_net_per_signal_but_pf_or_dd_fail,runtime_native_order_intent_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,oos,f66_f20_f20b_pair_0359_oos,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/reports/Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f20_f20b_pair_0359_oos.htm,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f20_f20b_pair_0359_oos_telemetry.csv,C:/Users/awdse/AppData/Local/ObsidianPrime/mt5_portable_run329E/Common/Files/Project_Obsidian_Prime_v2/frontier66_proxy_signal_mt5_backfill/telemetry/f66_f20_f20b_pair_0359_oos_summary.csv,12,false,,,1298,1298,0,1298,0,36039,415,415,208,416,208,208,1.0,0.3197226502311248,0.16024653312788906,1.002409638554217,1,true,false,-49.81,963.45,-1013.26,-30.840000000000007,0.0,-18.97,-18.97,0.0,0.95,-0.24,52.4,8.838990825688073,-10.234949494949495,0.8636086411613202,-0.17,293.87,46.38,0,208,-0.03837442218798151,-0.12002409638554218,-0.23947115384615386,-0.09120192307692307,0.22298076923076923,completed,utf-16,completed,feature_csv_timestamp_not_found:2026.04.13 23:55:00,heavy_lifecycle_compression_lt20pct,negative_net_per_signal_or_pf_dd_fail,runtime_native_order_intent_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
